 INFO [report_frame] nxwarp atlas: 1 frames, avg skip 0 intra 578 coded 578, atlas 1 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 133 frames, avg skip 0 intra 578 coded 578, atlas 133 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 162 frames, avg skip 0 intra 578 coded 578, atlas 162 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 130 frames, avg skip 0 intra 578 coded 578, atlas 130 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 139 frames, avg skip 0 intra 578 coded 578, atlas 139 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 152 frames, avg skip 0 intra 578 coded 578, atlas 152 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 116 frames, avg skip 0 intra 578 coded 578, atlas 116 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 180 frames, avg skip 0 intra 578 coded 578, atlas 180 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 96 frames, avg skip 0 intra 578 coded 578, atlas 96 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 168 frames, avg skip 0 intra 578 coded 578, atlas 168 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 123 frames, avg skip 0 intra 578 coded 578, atlas 123 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 149 frames, avg skip 0 intra 578 coded 578, atlas 149 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 145 frames, avg skip 0 intra 578 coded 578, atlas 145 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 107 frames, avg skip 0 intra 578 coded 578, atlas 107 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 173 frames, avg skip 0 intra 578 coded 578, atlas 173 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 176 frames, avg skip 0 intra 578 coded 578, atlas 176 picture 0, avg worst disp 0.1 q4
 INFO [report_frame] nxwarp atlas: 114 frames, avg skip 0 intra 578 coded 578, atlas 114 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 154 frames, avg skip 0 intra 578 coded 578, atlas 154 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 140 frames, avg skip 0 intra 578 coded 578, atlas 140 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 111 frames, avg skip 0 intra 578 coded 578, atlas 111 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 167 frames, avg skip 0 intra 578 coded 578, atlas 167 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 91 frames, avg skip 0 intra 578 coded 578, atlas 91 picture 0, avg worst disp 0.0 q4
 INFO [report_frame] nxwarp atlas: 90 frames, avg skip 0 intra 578 coded 578, atlas 90 picture 0, avg worst disp 0.0 q4
