09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     R8G8B8A8Srgb
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     R8Unorm
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     R8G8Unorm
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     R8G8B8A8Unorm
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     Etc2R8G8B8UnormBlock
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     Etc2R8G8B8A1UnormBlock
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     Etc2R8G8B8A8UnormBlock
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     Etc2R8G8B8SrgbBlock
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     Etc2R8G8B8A1SrgbBlock
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     Etc2R8G8B8A8SrgbBlock
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     B8G8R8A8Unorm
09-07 18:16:15.665 17110 25869 I WiVRn   : [2026-09-07 18:16:15.665] [WiVRn] [info]     B8G8R8A8Srgb
09-07 18:16:15.785 17110 25869 I WiVRn   : [2026-09-07 18:16:15.785] [WiVRn] [info] Using format R8G8B8A8Srgb
09-07 18:16:15.820 17110 26060 I WiVRn   : [2026-09-07 18:16:15.820] [WiVRn] [info] nxwarp: decoupled display on
09-07 18:16:15.820 17110 26060 I WiVRn   : [2026-09-07 18:16:15.820] [WiVRn] [info] nxwarp: ycbcr chroma filter linear
09-07 18:16:15.820 17110 26060 I WiVRn   : [2026-09-07 18:16:15.820] [WiVRn] [info] nxwarp[0]: decoupled display -- frames are published complete and the reprojection pass waits on nothing
09-07 18:16:15.820 17110 26060 I WiVRn   : [2026-09-07 18:16:15.820] [WiVRn] [info] nxwarp: decoupled display on
09-07 18:16:15.820 17110 26060 I WiVRn   : [2026-09-07 18:16:15.820] [WiVRn] [info] nxwarp: ycbcr chroma filter linear
09-07 18:16:15.820 17110 26060 I WiVRn   : [2026-09-07 18:16:15.820] [WiVRn] [info] nxwarp[2]: decoupled display -- frames are published complete and the reprojection pass waits on nothing
09-07 18:16:40.413 17110 26060 I WiVRn   : [2026-09-07 18:16:40.413] [WiVRn] [info] nxwarp[0]: real R8 atlas display with per-frame GPU snapshots
09-07 18:16:40.413 17110 26060 I WiVRn   : [2026-09-07 18:16:40.413] [WiVRn] [info] nxwarp[0]: 1088x1088 per eye, 2 eyes, on Adreno (TM) 650, 34 x 17 tiles, 1166 bytes per tile
09-07 18:16:40.413 17110 26060 I WiVRn   : [2026-09-07 18:16:40.413] [WiVRn] [info] nxwarp[0] net: 1 frames closed in 24.6 s, 0 with a hole, 0 out-of-order datagrams, 0 frames completed late, 0 queued for the worker, 0 decoded so far, 0 stragglers dropped; last hole 0/0 chunks, first missing -1, short false, chunk 1166 B
09-07 18:16:40.413 17110 26060 I WiVRn   : [2026-09-07 18:16:40.413] [WiVRn] [info] nxwarp[0] net: 0.018 ms per datagram over 18 datagrams (0.01 ms of every second)
