frame 0: 38266 B, 578 tiles (0 tskip, 4 lane group(s), 8 dispatches)  parse 0.735  submit 3578.116  passA 0.000  passW 0.000  passB 0.000  gpu 0.000  total 3657.984 ms
[timing] frame 0 GPU timestamps unavailable; zero is not a performance result
frame 1: 117 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.047  submit 0.596  passA 0.044  passW 0.000  passB 0.694  gpu 0.739  total 4.186 ms
frame 2: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.039  submit 0.178  passA 0.048  passW 0.000  passB 0.722  gpu 0.770  total 0.977 ms
frame 3: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.031  submit 0.106  passA 0.047  passW 0.000  passB 0.694  gpu 0.742  total 0.931 ms
frame 4: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.030  submit 0.080  passA 0.048  passW 0.000  passB 0.694  gpu 0.742  total 0.901 ms
frame 5: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.030  submit 0.080  passA 0.047  passW 0.000  passB 0.700  gpu 0.747  total 0.910 ms
frame 6: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.029  submit 0.082  passA 0.048  passW 0.000  passB 0.706  gpu 0.754  total 0.913 ms
frame 7: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.030  submit 0.087  passA 0.048  passW 0.000  passB 0.708  gpu 0.757  total 0.942 ms
frame 8: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.030  submit 0.125  passA 0.043  passW 0.000  passB 0.695  gpu 0.738  total 2.953 ms
frame 9: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.029  submit 0.121  passA 0.044  passW 0.000  passB 0.723  gpu 0.767  total 4.890 ms
frame 10: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.029  submit 0.089  passA 0.047  passW 0.000  passB 0.694  gpu 0.742  total 0.906 ms
frame 11: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.025  submit 0.092  passA 0.047  passW 0.000  passB 0.733  gpu 0.781  total 0.956 ms
frame 12: 175 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.031  submit 0.118  passA 0.051  passW 0.000  passB 0.706  gpu 0.758  total 0.965 ms
frame 13: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.028  submit 0.099  passA 0.050  passW 0.000  passB 0.705  gpu 0.755  total 0.939 ms
frame 14: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.028  submit 0.089  passA 0.048  passW 0.000  passB 0.706  gpu 0.754  total 0.914 ms
frame 15: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.026  submit 0.119  passA 0.048  passW 0.000  passB 0.724  gpu 0.772  total 1.049 ms
frame 16: 175 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.025  submit 0.072  passA 0.048  passW 0.000  passB 2.944  gpu 2.993  total 3.142 ms
frame 17: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.026  submit 0.088  passA 0.049  passW 0.000  passB 0.694  gpu 0.743  total 0.904 ms
frame 18: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.025  submit 0.067  passA 0.048  passW 0.000  passB 2.140  gpu 2.188  total 2.336 ms
frame 19: 117 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.087  submit 0.071  passA 0.049  passW 0.000  passB 0.713  gpu 0.763  total 0.977 ms
frame 20: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.025  submit 0.069  passA 0.048  passW 0.000  passB 0.694  gpu 0.742  total 0.886 ms
frame 21: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.024  submit 0.067  passA 0.048  passW 0.000  passB 0.700  gpu 0.748  total 0.904 ms
frame 22: 175 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.074  submit 0.134  passA 0.049  passW 0.000  passB 0.696  gpu 0.745  total 1.030 ms
frame 23: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.028  submit 0.144  passA 0.052  passW 0.000  passB 0.729  gpu 0.781  total 1.042 ms
frame 24: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.029  submit 0.143  passA 0.048  passW 0.000  passB 0.925  gpu 0.973  total 1.197 ms
frame 25: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.025  submit 0.127  passA 0.053  passW 0.000  passB 0.749  gpu 0.802  total 1.005 ms
frame 26: 175 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.025  submit 0.075  passA 0.049  passW 0.000  passB 3.197  gpu 3.247  total 3.397 ms
frame 27: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.026  submit 0.078  passA 0.053  passW 0.000  passB 2.169  gpu 2.224  total 2.388 ms
frame 28: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.025  submit 0.116  passA 0.050  passW 0.000  passB 0.695  gpu 0.745  total 0.940 ms
frame 29: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.026  submit 0.073  passA 0.060  passW 0.000  passB 0.694  gpu 0.755  total 0.903 ms
frame 30: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.026  submit 0.074  passA 0.048  passW 0.000  passB 0.694  gpu 0.742  total 0.894 ms
frame 31: 146 B, 578 tiles (0 tskip, 0 lane group(s), 1 dispatches)  parse 0.026  submit 0.074  passA 0.048  passW 0.000  passB 0.694  gpu 0.743  total 0.899 ms
32 frame(s), 2176x1088 yuv420p on Adreno (TM) 650
