frame 0: 38266 B, 578 tiles (0 tskip, 4 lane group(s), 9 dispatches)  parse 0.085  submit 3570.404  passA 0.000  passW 0.000  passB 0.000  gpu 0.000  total 3653.662 ms
[timing] frame 0 GPU timestamps unavailable; zero is not a performance result
frame 1: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.044  submit 0.168  passA 0.044  passW 0.000  passB 3.472  gpu 3.517  total 6.582 ms
frame 2: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.061  submit 0.166  passA 0.045  passW 0.000  passB 1.034  gpu 1.079  total 3.742 ms
frame 3: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.175  passA 0.048  passW 0.000  passB 1.031  gpu 1.080  total 1.364 ms
frame 4: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.029  submit 0.072  passA 0.048  passW 0.000  passB 1.028  gpu 1.076  total 1.228 ms
frame 5: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.073  passA 0.048  passW 0.000  passB 1.031  gpu 1.079  total 1.242 ms
frame 6: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.029  submit 0.095  passA 0.046  passW 0.000  passB 1.056  gpu 1.103  total 3.414 ms
frame 7: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.072  submit 0.126  passA 0.042  passW 0.000  passB 2.457  gpu 2.500  total 2.823 ms
frame 8: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.134  passA 0.050  passW 0.000  passB 1.047  gpu 1.098  total 1.346 ms
frame 9: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.082  passA 0.048  passW 0.000  passB 1.027  gpu 1.075  total 1.236 ms
frame 10: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.100  passA 0.047  passW 0.000  passB 1.029  gpu 1.077  total 1.253 ms
frame 11: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.065  passA 0.048  passW 0.000  passB 1.032  gpu 1.081  total 1.220 ms
frame 12: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.072  passA 0.048  passW 0.000  passB 1.031  gpu 1.079  total 1.234 ms
frame 13: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.094  passA 0.048  passW 0.000  passB 3.354  gpu 3.404  total 3.585 ms
frame 14: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.035  submit 0.158  passA 0.062  passW 0.000  passB 2.704  gpu 2.767  total 3.041 ms
frame 15: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.102  passA 0.052  passW 0.000  passB 1.073  gpu 1.125  total 1.317 ms
frame 16: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.095  passA 0.048  passW 0.001  passB 1.092  gpu 1.141  total 1.324 ms
frame 17: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.091  passA 0.050  passW 0.000  passB 1.121  gpu 1.171  total 1.337 ms
frame 18: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.068  passA 0.048  passW 0.000  passB 1.034  gpu 1.082  total 1.231 ms
frame 19: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.076  passA 0.047  passW 0.000  passB 1.026  gpu 1.074  total 1.229 ms
frame 20: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.065  passA 0.048  passW 0.000  passB 2.483  gpu 2.532  total 3.669 ms
frame 21: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.086  passA 0.051  passW 0.000  passB 1.031  gpu 1.083  total 1.252 ms
frame 22: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.084  passA 0.043  passW 0.000  passB 1.025  gpu 1.068  total 2.518 ms
frame 23: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.069  passA 0.048  passW 0.000  passB 1.043  gpu 1.091  total 1.241 ms
frame 24: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.074  passA 0.048  passW 0.000  passB 1.028  gpu 1.077  total 1.233 ms
frame 25: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.066  passA 0.048  passW 0.000  passB 1.025  gpu 1.074  total 1.369 ms
frame 26: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.063  passA 0.048  passW 0.000  passB 1.030  gpu 1.079  total 1.220 ms
frame 27: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.064  passA 0.048  passW 0.000  passB 1.132  gpu 1.180  total 1.336 ms
frame 28: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.034  submit 0.133  passA 0.050  passW 0.000  passB 2.549  gpu 2.601  total 2.864 ms
frame 29: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.114  submit 0.125  passA 0.044  passW 0.000  passB 1.035  gpu 1.079  total 6.087 ms
frame 30: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.039  submit 0.144  passA 0.041  passW 0.000  passB 1.033  gpu 1.075  total 1.387 ms
frame 31: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.069  passA 0.048  passW 0.000  passB 1.031  gpu 1.079  total 1.233 ms
32 frame(s), 2176x1088 yuv420p on Adreno (TM) 650
