frame 0: 38266 B, 578 tiles (0 tskip, 4 lane group(s), 9 dispatches)  parse 0.082  submit 3525.524  passA 0.000  passW 0.000  passB 0.000  gpu 0.000  total 3605.142 ms
[timing] frame 0 GPU timestamps unavailable; zero is not a performance result
frame 1: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.043  submit 0.187  passA 0.044  passW 0.000  passB 0.935  gpu 0.980  total 8.211 ms
frame 2: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.053  submit 0.463  passA 0.046  passW 0.000  passB 0.969  gpu 1.015  total 1.454 ms
frame 3: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.035  submit 0.120  passA 0.050  passW 0.000  passB 0.964  gpu 1.014  total 1.223 ms
frame 4: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.065  passA 0.050  passW 0.000  passB 0.935  gpu 0.985  total 1.132 ms
frame 5: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.085  passA 0.048  passW 0.000  passB 3.368  gpu 3.418  total 3.585 ms
frame 6: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.067  passA 0.050  passW 0.000  passB 0.932  gpu 0.983  total 1.126 ms
frame 7: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.040  submit 0.062  passA 0.048  passW 0.000  passB 2.357  gpu 2.407  total 2.565 ms
frame 8: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.064  passA 0.050  passW 0.000  passB 0.929  gpu 0.979  total 1.122 ms
frame 9: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.080  passA 0.048  passW 0.000  passB 0.942  gpu 0.991  total 1.186 ms
frame 10: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.108  passA 0.050  passW 0.000  passB 0.969  gpu 1.019  total 1.224 ms
frame 11: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.099  passA 0.050  passW 0.000  passB 0.984  gpu 1.034  total 1.219 ms
frame 12: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.053  submit 0.105  passA 0.060  passW 0.001  passB 1.077  gpu 1.138  total 1.357 ms
frame 13: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.024  submit 0.083  passA 0.073  passW 0.000  passB 0.967  gpu 1.040  total 1.208 ms
frame 14: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.063  passA 0.050  passW 0.000  passB 3.453  gpu 3.504  total 3.652 ms
frame 15: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.090  passA 0.050  passW 0.000  passB 0.932  gpu 0.982  total 1.152 ms
frame 16: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.067  passA 0.043  passW 0.000  passB 0.925  gpu 0.968  total 2.325 ms
frame 17: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.089  passA 0.048  passW 0.000  passB 0.942  gpu 0.990  total 1.158 ms
frame 18: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.086  passA 0.048  passW 0.000  passB 0.927  gpu 0.975  total 1.145 ms
frame 19: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.074  passA 0.047  passW 0.000  passB 0.930  gpu 0.977  total 1.134 ms
frame 20: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.116  passA 0.048  passW 0.000  passB 0.941  gpu 0.990  total 1.201 ms
frame 21: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.104  passA 0.049  passW 0.000  passB 0.940  gpu 0.989  total 1.181 ms
frame 22: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.034  submit 0.113  passA 0.044  passW 0.000  passB 2.374  gpu 2.420  total 7.253 ms
frame 23: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 1.018  submit 0.220  passA 0.046  passW 0.000  passB 0.957  gpu 1.003  total 2.295 ms
frame 24: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.073  passA 0.048  passW 0.000  passB 0.938  gpu 0.986  total 1.145 ms
frame 25: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.075  passA 0.048  passW 0.000  passB 0.935  gpu 0.983  total 1.136 ms
frame 26: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.029  submit 0.069  passA 0.048  passW 0.000  passB 0.924  gpu 0.972  total 1.123 ms
frame 27: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.029  submit 0.118  passA 0.049  passW 0.000  passB 3.179  gpu 3.229  total 3.436 ms
frame 28: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.072  passA 0.051  passW 0.000  passB 0.929  gpu 0.979  total 1.135 ms
frame 29: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.056  submit 0.343  passA 0.043  passW 0.000  passB 0.943  gpu 0.986  total 2.540 ms
frame 30: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.035  submit 0.133  passA 0.044  passW 0.000  passB 0.981  gpu 1.025  total 1.331 ms
frame 31: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.107  passA 0.049  passW 0.000  passB 0.996  gpu 1.045  total 1.225 ms
32 frame(s), 2176x1088 yuv420p on Adreno (TM) 650
