frame 0: 38266 B, 578 tiles (0 tskip, 4 lane group(s), 9 dispatches)  parse 0.124  submit 3571.415  passA 0.000  passW 0.000  passB 0.000  gpu 0.000  total 3647.523 ms
[timing] frame 0 GPU timestamps unavailable; zero is not a performance result
frame 1: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.037  submit 0.163  passA 0.045  passW 0.000  passB 0.935  gpu 0.980  total 4.423 ms
frame 2: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.039  submit 0.422  passA 0.048  passW 0.000  passB 3.186  gpu 3.236  total 3.465 ms
frame 3: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.045  submit 0.122  passA 0.044  passW 0.000  passB 0.969  gpu 1.013  total 3.812 ms
frame 4: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.035  submit 0.132  passA 0.049  passW 0.000  passB 0.938  gpu 0.987  total 1.228 ms
frame 5: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.028  submit 0.081  passA 0.048  passW 0.000  passB 0.935  gpu 0.983  total 1.143 ms
frame 6: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.085  passA 0.048  passW 0.000  passB 3.174  gpu 3.224  total 3.388 ms
frame 7: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.063  passA 0.051  passW 0.000  passB 2.369  gpu 2.421  total 2.569 ms
frame 8: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.064  passA 0.049  passW 0.000  passB 0.929  gpu 0.978  total 1.124 ms
frame 9: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.080  passA 0.048  passW 0.000  passB 0.929  gpu 0.978  total 1.137 ms
frame 10: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.064  passA 0.048  passW 0.000  passB 0.988  gpu 1.037  total 1.186 ms
frame 11: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.111  passA 0.051  passW 0.000  passB 0.970  gpu 1.021  total 1.223 ms
frame 12: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.028  submit 0.080  passA 0.050  passW 0.000  passB 0.993  gpu 1.044  total 1.211 ms
frame 13: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.059  submit 0.068  passA 0.056  passW 0.000  passB 1.032  gpu 1.088  total 1.283 ms
frame 14: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.087  passA 0.050  passW 0.000  passB 3.448  gpu 3.499  total 3.676 ms
frame 15: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.073  passA 0.052  passW 0.000  passB 2.413  gpu 2.467  total 2.622 ms
frame 16: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.079  passA 0.051  passW 0.000  passB 0.925  gpu 0.976  total 1.155 ms
frame 17: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.073  passA 0.047  passW 0.000  passB 0.924  gpu 0.972  total 1.124 ms
frame 18: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.067  passA 0.048  passW 0.000  passB 0.927  gpu 0.975  total 1.119 ms
frame 19: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.025  submit 0.091  passA 0.048  passW 0.000  passB 0.927  gpu 0.975  total 1.148 ms
