frame 0: 38266 B, 578 tiles (0 tskip, 4 lane group(s), 9 dispatches)  parse 0.104  submit 3588.263  passA 0.000  passW 0.000  passB 0.000  gpu 0.000  total 3668.854 ms
[timing] frame 0 GPU timestamps unavailable; zero is not a performance result
frame 1: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.037  submit 0.151  passA 0.033  passW 0.000  passB 1.003  gpu 1.036  total 4.800 ms
frame 2: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.037  submit 0.504  passA 0.034  passW 0.000  passB 3.324  gpu 3.359  total 3.604 ms
frame 3: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.060  submit 0.151  passA 0.035  passW 0.000  passB 0.982  gpu 1.017  total 3.861 ms
frame 4: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.093  submit 0.108  passA 0.034  passW 0.000  passB 0.991  gpu 1.026  total 1.278 ms
frame 5: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.091  passA 0.032  passW 0.000  passB 0.931  gpu 0.963  total 1.136 ms
frame 6: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.125  passA 0.031  passW 0.000  passB 0.928  gpu 0.960  total 3.210 ms
frame 7: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.032  submit 0.099  passA 0.032  passW 0.000  passB 2.367  gpu 2.400  total 2.588 ms
frame 8: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.038  submit 0.176  passA 0.034  passW 0.000  passB 0.932  gpu 0.967  total 1.265 ms
frame 9: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.100  passA 0.032  passW 0.000  passB 0.930  gpu 0.963  total 1.180 ms
frame 10: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.032  submit 0.103  passA 0.032  passW 0.000  passB 0.934  gpu 0.966  total 1.146 ms
frame 11: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.032  submit 0.081  passA 0.032  passW 0.000  passB 0.927  gpu 0.960  total 1.128 ms
frame 12: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.032  submit 0.077  passA 0.032  passW 0.000  passB 0.932  gpu 0.965  total 1.134 ms
frame 13: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.033  submit 0.115  passA 0.032  passW 0.000  passB 0.933  gpu 0.965  total 1.171 ms
frame 14: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.030  submit 0.077  passA 0.032  passW 0.000  passB 2.397  gpu 2.431  total 2.634 ms
frame 15: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.043  submit 0.153  passA 0.033  passW 0.000  passB 3.197  gpu 3.231  total 3.557 ms
frame 16: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.039  submit 0.116  passA 0.033  passW 0.000  passB 0.950  gpu 0.984  total 1.231 ms
