frame 0: 38266 B, 578 tiles (0 tskip, 4 lane group(s), 9 dispatches)  parse 0.078  submit 3329.426  passA 0.000  passW 0.000  passB 0.000  gpu 0.000  total 3395.032 ms
[timing] frame 0 GPU timestamps unavailable; zero is not a performance result
frame 1: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.039  submit 0.134  passA 0.032  passW 0.000  passB 1.678  gpu 1.711  total 2.044 ms
frame 2: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.032  submit 0.137  passA 0.033  passW 0.000  passB 0.923  gpu 0.957  total 1.121 ms
frame 3: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.082  passA 0.032  passW 0.000  passB 0.929  gpu 0.961  total 1.133 ms
frame 4: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.149  submit 0.201  passA 0.030  passW 0.000  passB 0.929  gpu 0.959  total 1.438 ms
frame 5: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.029  submit 0.091  passA 0.032  passW 0.000  passB 0.929  gpu 0.961  total 1.411 ms
frame 6: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 1.043  submit 0.148  passA 0.033  passW 0.000  passB 1.782  gpu 1.817  total 4.862 ms
frame 7: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.040  submit 0.126  passA 0.031  passW 0.000  passB 0.922  gpu 0.954  total 1.242 ms
frame 8: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.058  passA 0.032  passW 0.000  passB 1.673  gpu 1.706  total 1.858 ms
frame 9: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.085  submit 0.197  passA 0.031  passW 0.000  passB 0.923  gpu 0.955  total 1.349 ms
frame 10: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.080  submit 0.202  passA 0.031  passW 0.000  passB 0.920  gpu 0.951  total 1.352 ms
frame 11: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.056  passA 0.032  passW 0.000  passB 0.925  gpu 0.957  total 1.315 ms
frame 12: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.027  submit 0.059  passA 0.030  passW 0.000  passB 0.937  gpu 0.967  total 1.187 ms
frame 13: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.061  submit 0.088  passA 0.035  passW 0.000  passB 0.946  gpu 0.981  total 1.404 ms
frame 14: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.035  submit 0.128  passA 0.032  passW 0.000  passB 1.838  gpu 1.871  total 2.150 ms
frame 15: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.040  submit 0.126  passA 0.036  passW 0.000  passB 0.997  gpu 1.033  total 1.455 ms
frame 16: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.083  passA 0.033  passW 0.000  passB 0.942  gpu 0.975  total 1.214 ms
frame 17: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.034  submit 0.063  passA 0.033  passW 0.000  passB 1.713  gpu 1.747  total 2.175 ms
frame 18: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.047  submit 0.066  passA 0.034  passW 0.000  passB 0.961  gpu 0.996  total 1.176 ms
frame 19: 117 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.076  passA 0.032  passW 0.000  passB 0.926  gpu 0.959  total 1.210 ms
frame 20: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.026  submit 0.073  passA 0.031  passW 0.000  passB 0.926  gpu 0.957  total 1.340 ms
frame 21: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.032  submit 0.077  passA 0.032  passW 0.000  passB 1.782  gpu 1.815  total 4.799 ms
frame 22: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.032  submit 0.296  passA 0.031  passW 0.000  passB 0.926  gpu 0.957  total 1.601 ms
frame 23: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.048  submit 0.103  passA 0.030  passW 0.000  passB 0.922  gpu 0.953  total 1.426 ms
frame 24: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.047  submit 0.097  passA 0.030  passW 0.000  passB 0.925  gpu 0.956  total 1.368 ms
frame 25: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.048  submit 0.074  passA 0.031  passW 0.000  passB 0.925  gpu 0.957  total 1.145 ms
frame 26: 175 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.069  passA 0.032  passW 0.000  passB 0.923  gpu 0.955  total 1.127 ms
frame 27: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.031  submit 0.128  passA 0.032  passW 0.000  passB 0.928  gpu 0.961  total 1.450 ms
frame 28: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.039  submit 0.129  passA 0.032  passW 0.000  passB 0.946  gpu 0.979  total 1.300 ms
frame 29: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.041  submit 0.104  passA 0.033  passW 0.000  passB 0.925  gpu 0.958  total 1.189 ms
frame 30: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.047  submit 0.099  passA 0.030  passW 0.000  passB 1.779  gpu 1.811  total 2.313 ms
frame 31: 146 B, 578 tiles (0 tskip, 0 lane group(s), 2 dispatches)  parse 0.048  submit 0.113  passA 0.031  passW 0.000  passB 0.927  gpu 0.958  total 1.242 ms
32 frame(s), 2176x1088 yuv420p on Adreno (TM) 650
