frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.322  submit 679.220  passA 16.135  passW 0.000  passB 65.110  gpu 81.245  total 766.469 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.232  submit 82.083  passA 0.757  passW 0.015  passB 0.579  gpu 1.336  total 88.490 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.211  submit 0.191  passA 0.678  passW 0.013  passB 0.413  gpu 1.091  total 2.976 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.139  submit 0.191  passA 0.680  passW 0.013  passB 0.537  gpu 1.217  total 2.124 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.170  submit 0.226  passA 0.756  passW 0.015  passB 0.555  gpu 1.312  total 2.162 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.125  submit 0.159  passA 0.747  passW 0.014  passB 0.543  gpu 1.291  total 1.726 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.103  submit 0.125  passA 0.512  passW 0.010  passB 0.373  gpu 0.885  total 1.541 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.102  submit 0.121  passA 0.527  passW 0.010  passB 0.391  gpu 0.918  total 1.290 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.102  submit 0.108  passA 0.472  passW 0.009  passB 0.373  gpu 0.845  total 2.274 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.129  submit 0.158  passA 0.472  passW 0.009  passB 0.374  gpu 0.846  total 1.755 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.117  submit 0.175  passA 0.524  passW 0.011  passB 0.387  gpu 0.911  total 1.690 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.115  submit 0.187  passA 0.520  passW 0.010  passB 0.382  gpu 0.902  total 1.388 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.143  submit 0.132  passA 0.520  passW 0.010  passB 0.393  gpu 0.913  total 1.341 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.112  submit 0.136  passA 0.521  passW 0.010  passB 0.399  gpu 0.920  total 1.370 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.117  passA 0.519  passW 0.010  passB 0.385  gpu 0.904  total 1.291 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.113  submit 0.137  passA 0.524  passW 0.010  passB 0.484  gpu 1.008  total 1.426 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.138  passA 0.519  passW 0.010  passB 0.393  gpu 0.912  total 1.390 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.152  passA 0.488  passW 0.009  passB 0.371  gpu 0.860  total 3.666 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.153  submit 0.299  passA 0.474  passW 0.009  passB 0.373  gpu 0.847  total 3.188 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.138  submit 0.200  passA 0.525  passW 0.010  passB 0.409  gpu 0.934  total 1.745 ms
frame 20: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.117  submit 0.174  passA 0.525  passW 0.010  passB 0.391  gpu 0.916  total 1.365 ms
frame 21: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.110  submit 0.133  passA 0.525  passW 0.010  passB 0.487  gpu 1.012  total 1.434 ms
frame 22: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.120  submit 0.135  passA 0.472  passW 0.009  passB 0.373  gpu 0.845  total 1.332 ms
frame 23: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.246  submit 0.473  passA 0.472  passW 0.009  passB 0.371  gpu 0.843  total 1.747 ms
frame 24: 1336 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.141  submit 0.143  passA 0.533  passW 0.011  passB 0.419  gpu 0.952  total 1.416 ms
frame 25: 25486 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.129  submit 0.166  passA 4.778  passW 0.136  passB 20.198  gpu 24.976  total 25.531 ms
frame 26: 55854 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.436  submit 0.391  passA 10.001  passW 0.312  passB 44.743  gpu 54.744  total 55.810 ms
frame 27: 26476 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.365  submit 0.374  passA 3.785  passW 0.112  passB 15.850  gpu 19.636  total 20.753 ms
frame 28: 53856 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 2.662  submit 327.966  passA 14.593  passW 0.263  passB 111.343  gpu 125.936  total 462.227 ms
frame 29: 25353 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.487  submit 0.500  passA 3.576  passW 0.104  passB 15.159  gpu 18.736  total 22.437 ms
frame 30: 55896 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.483  submit 0.444  passA 7.559  passW 0.244  passB 33.749  gpu 41.309  total 42.518 ms
frame 31: 26503 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.473  submit 0.531  passA 3.739  passW 0.111  passB 15.806  gpu 19.545  total 20.911 ms
frame 32: 53682 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.621  submit 3.281  passA 7.622  passW 0.245  passB 84.019  gpu 91.641  total 96.094 ms
frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.556  submit 0.733  passA 3.599  passW 0.106  passB 15.415  gpu 19.014  total 20.658 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.758  submit 0.762  passA 7.510  passW 0.237  passB 33.120  gpu 40.631  total 42.656 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.537  submit 0.930  passA 3.732  passW 0.111  passB 15.909  gpu 19.642  total 21.451 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 1.411  submit 4.017  passA 7.609  passW 0.243  passB 83.893  gpu 91.503  total 97.446 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.587  submit 1.771  passA 3.645  passW 0.106  passB 15.364  gpu 19.009  total 25.907 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.735  submit 0.883  passA 7.442  passW 0.236  passB 33.291  gpu 40.733  total 43.068 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.598  submit 0.735  passA 3.831  passW 0.115  passB 16.596  gpu 20.427  total 22.045 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.641  submit 3.669  passA 7.574  passW 0.271  passB 84.815  gpu 92.389  total 97.276 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.610  submit 0.789  passA 3.761  passW 0.109  passB 15.526  gpu 19.287  total 20.940 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.203  submit 1.016  passA 7.433  passW 0.244  passB 32.805  gpu 40.238  total 43.033 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.021  submit 0.730  passA 3.866  passW 0.117  passB 16.414  gpu 20.281  total 22.613 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.773  submit 3.228  passA 7.536  passW 0.246  passB 84.963  gpu 92.499  total 97.137 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.846  submit 0.806  passA 3.817  passW 0.114  passB 15.987  gpu 19.805  total 21.852 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.688  submit 0.788  passA 7.364  passW 0.230  passB 32.293  gpu 39.657  total 41.670 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.603  submit 0.654  passA 3.947  passW 0.119  passB 16.432  gpu 20.379  total 21.990 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.547  submit 0.659  passA 0.405  passW 0.008  passB 0.309  gpu 0.714  total 2.093 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.633  submit 3.151  passA 7.922  passW 0.268  passB 82.752  gpu 90.674  total 95.194 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 1.272  submit 0.882  passA 7.773  passW 0.254  passB 34.525  gpu 42.298  total 45.127 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 2.114  submit 1.959  passA 8.503  passW 0.290  passB 93.617  gpu 102.122  total 106.472 ms
frame 52: 57587 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.325  submit 0.318  passA 9.028  passW 0.247  passB 37.970  gpu 47.000  total 50.755 ms
frame 53: 57642 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.522  submit 1.050  passA 8.813  passW 0.280  passB 92.220  gpu 101.033  total 105.603 ms
frame 54: 57573 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.303  submit 0.332  passA 8.412  passW 0.262  passB 38.770  gpu 47.184  total 52.234 ms
frame 55: 57711 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.258  submit 0.683  passA 9.166  passW 0.277  passB 91.632  gpu 100.799  total 104.912 ms
