frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.300  submit 643.131  passA 16.195  passW 0.000  passB 64.143  gpu 80.338  total 729.032 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.179  submit 75.794  passA 0.774  passW 0.015  passB 0.580  gpu 1.355  total 82.373 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.162  submit 0.186  passA 0.676  passW 0.013  passB 0.531  gpu 1.206  total 2.019 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.118  submit 0.154  passA 0.675  passW 0.014  passB 0.533  gpu 1.208  total 1.927 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.104  submit 0.152  passA 0.747  passW 0.014  passB 0.575  gpu 1.322  total 1.731 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.108  passA 0.746  passW 0.014  passB 0.561  gpu 1.307  total 1.680 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.102  passA 0.646  passW 0.009  passB 0.375  gpu 1.021  total 1.384 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.103  submit 0.103  passA 0.574  passW 0.010  passB 0.389  gpu 0.963  total 1.321 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.102  passA 0.470  passW 0.010  passB 0.280  gpu 0.751  total 1.109 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.100  passA 0.468  passW 0.010  passB 0.376  gpu 0.845  total 1.211 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 2.355  passA 0.531  passW 0.010  passB 0.410  gpu 0.940  total 2.462 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.135  submit 0.169  passA 0.520  passW 0.010  passB 0.387  gpu 0.908  total 1.387 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.109  submit 1.426  passA 0.521  passW 0.010  passB 0.402  gpu 0.923  total 2.637 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.118  submit 0.123  passA 0.519  passW 0.010  passB 0.388  gpu 0.908  total 1.337 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.110  submit 0.103  passA 0.519  passW 0.010  passB 0.402  gpu 0.921  total 1.302 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.107  submit 0.119  passA 0.522  passW 0.010  passB 0.488  gpu 1.010  total 1.391 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.116  passA 0.521  passW 0.010  passB 0.383  gpu 0.904  total 1.278 ms
