frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.362  submit 767.040  passA 15.056  passW 0.000  passB 66.477  gpu 81.534  total 850.317 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.214  submit 84.801  passA 0.457  passW 0.009  passB 0.348  gpu 0.805  total 86.014 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.200  submit 0.164  passA 0.401  passW 0.008  passB 0.248  gpu 0.650  total 1.138 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.098  submit 0.113  passA 0.407  passW 0.008  passB 0.319  gpu 0.726  total 1.040 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.113  passA 0.446  passW 0.009  passB 0.340  gpu 0.786  total 1.079 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.098  submit 0.518  passA 0.449  passW 0.009  passB 0.328  gpu 0.777  total 2.495 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.139  submit 0.557  passA 0.404  passW 0.008  passB 0.321  gpu 0.726  total 1.545 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.128  submit 0.563  passA 0.471  passW 0.010  passB 0.350  gpu 0.821  total 2.484 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.127  submit 0.136  passA 0.409  passW 0.008  passB 0.319  gpu 0.728  total 1.588 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.108  submit 0.128  passA 0.413  passW 0.008  passB 0.325  gpu 0.738  total 1.053 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.102  submit 0.115  passA 0.457  passW 0.010  passB 0.352  gpu 0.809  total 1.101 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 0.122  passA 0.452  passW 0.009  passB 0.346  gpu 0.798  total 1.154 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.098  submit 0.118  passA 0.450  passW 0.009  passB 0.325  gpu 0.775  total 1.063 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.215  submit 0.143  passA 0.442  passW 0.009  passB 1.582  gpu 2.025  total 2.503 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.118  submit 0.135  passA 0.454  passW 0.009  passB 0.347  gpu 0.801  total 1.135 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.113  submit 0.131  passA 0.451  passW 0.009  passB 0.336  gpu 0.787  total 1.087 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.114  submit 0.119  passA 1.678  passW 0.009  passB 0.348  gpu 2.026  total 2.315 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.125  submit 0.136  passA 1.340  passW 0.009  passB 0.243  gpu 1.584  total 1.930 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.116  submit 0.126  passA 0.406  passW 0.008  passB 0.257  gpu 0.662  total 0.958 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.114  submit 0.119  passA 0.449  passW 0.009  passB 0.417  gpu 0.866  total 1.149 ms
frame 20: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.124  submit 0.117  passA 0.448  passW 0.009  passB 0.344  gpu 0.792  total 1.086 ms
frame 21: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.113  submit 0.120  passA 0.442  passW 0.009  passB 0.411  gpu 0.853  total 1.212 ms
frame 22: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.113  submit 0.142  passA 0.397  passW 0.008  passB 0.250  gpu 0.647  total 1.017 ms
frame 23: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.114  submit 0.159  passA 0.413  passW 0.010  passB 0.248  gpu 0.661  total 2.061 ms
frame 24: 1336 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.184  submit 0.239  passA 0.458  passW 0.010  passB 0.349  gpu 0.808  total 1.386 ms
frame 25: 25486 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.191  submit 0.252  passA 4.030  passW 0.116  passB 23.824  gpu 27.855  total 31.926 ms
frame 26: 55854 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.258  submit 0.346  passA 11.814  passW 0.262  passB 44.051  gpu 55.867  total 58.510 ms
frame 27: 26476 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.260  submit 0.417  passA 5.717  passW 0.109  passB 19.070  gpu 24.787  total 30.193 ms
frame 28: 53856 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.771  submit 366.377  passA 10.659  passW 1.666  passB 126.602  gpu 137.262  total 504.819 ms
frame 29: 25353 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.231  submit 0.255  passA 3.593  passW 0.104  passB 21.751  gpu 25.345  total 30.866 ms
frame 30: 55896 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.312  submit 0.324  passA 10.624  passW 0.244  passB 43.855  gpu 54.480  total 58.536 ms
frame 31: 26503 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.231  submit 0.261  passA 4.907  passW 0.110  passB 21.041  gpu 25.948  total 27.875 ms
frame 32: 53682 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.222  submit 0.898  passA 10.734  passW 0.268  passB 113.433  gpu 124.168  total 126.599 ms
frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.220  submit 0.284  passA 5.586  passW 0.106  passB 19.631  gpu 25.218  total 30.236 ms
