frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.254  submit 749.266  passA 15.114  passW 0.000  passB 68.269  gpu 83.384  total 833.122 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.186  submit 85.123  passA 0.491  passW 0.010  passB 0.370  gpu 0.861  total 86.458 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.166  submit 0.182  passA 0.427  passW 0.009  passB 0.275  gpu 0.702  total 1.167 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 0.119  passA 0.434  passW 0.008  passB 0.263  gpu 0.697  total 0.998 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.115  passA 0.484  passW 0.010  passB 0.347  gpu 0.832  total 1.897 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.158  submit 0.266  passA 0.475  passW 0.010  passB 0.347  gpu 0.823  total 1.369 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.140  submit 0.171  passA 0.425  passW 0.009  passB 0.258  gpu 0.683  total 1.107 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.128  submit 0.161  passA 1.774  passW 0.010  passB 0.364  gpu 2.138  total 3.769 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.169  passA 0.429  passW 0.009  passB 0.354  gpu 0.783  total 1.205 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.109  submit 0.119  passA 0.432  passW 0.009  passB 0.341  gpu 0.773  total 1.069 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.101  submit 0.108  passA 0.475  passW 0.009  passB 0.364  gpu 0.840  total 1.135 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 0.106  passA 0.476  passW 0.009  passB 0.345  gpu 0.821  total 1.127 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 0.111  passA 0.476  passW 0.010  passB 1.349  gpu 1.825  total 2.131 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.131  submit 0.176  passA 0.482  passW 0.011  passB 0.371  gpu 0.852  total 1.284 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.105  submit 0.136  passA 0.488  passW 0.009  passB 0.369  gpu 0.858  total 1.221 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.126  submit 0.565  passA 1.821  passW 0.011  passB 1.784  gpu 3.605  total 3.989 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.105  submit 0.138  passA 0.488  passW 0.009  passB 0.364  gpu 0.852  total 1.240 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.122  passA 0.424  passW 0.008  passB 0.337  gpu 0.761  total 1.112 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 0.108  passA 0.434  passW 0.009  passB 0.338  gpu 0.773  total 1.069 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.103  submit 0.111  passA 0.481  passW 0.009  passB 0.370  gpu 0.852  total 1.151 ms
