frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.245  submit 748.859  passA 15.040  passW 0.000  passB 64.781  gpu 79.823  total 829.224 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.213  submit 81.899  passA 0.417  passW 0.009  passB 0.319  gpu 0.736  total 83.497 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.204  submit 0.189  passA 0.366  passW 0.007  passB 0.287  gpu 0.653  total 1.801 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.141  submit 0.162  passA 0.362  passW 0.007  passB 0.286  gpu 0.649  total 1.068 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.169  submit 0.148  passA 0.396  passW 0.008  passB 0.293  gpu 0.689  total 1.130 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.124  submit 0.118  passA 0.394  passW 0.008  passB 0.311  gpu 0.705  total 1.063 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.098  submit 0.106  passA 0.364  passW 0.007  passB 0.255  gpu 0.619  total 0.881 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.114  submit 0.567  passA 0.412  passW 0.008  passB 0.306  gpu 0.718  total 2.346 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.098  submit 0.101  passA 1.561  passW 0.008  passB 0.294  gpu 1.855  total 2.162 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.117  submit 0.553  passA 0.367  passW 0.008  passB 0.238  gpu 0.606  total 1.400 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.117  submit 0.150  passA 0.402  passW 0.009  passB 0.316  gpu 0.718  total 1.104 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.127  submit 0.254  passA 0.430  passW 0.013  passB 1.142  gpu 1.573  total 2.083 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.108  submit 0.113  passA 0.400  passW 0.008  passB 0.298  gpu 0.699  total 1.052 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.102  submit 0.104  passA 0.405  passW 0.008  passB 0.307  gpu 0.712  total 1.005 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.095  submit 0.116  passA 0.414  passW 0.008  passB 0.298  gpu 0.712  total 1.030 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.096  submit 0.106  passA 0.421  passW 0.008  passB 0.305  gpu 0.726  total 1.008 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.096  submit 0.105  passA 1.540  passW 0.008  passB 0.314  gpu 1.854  total 2.119 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.101  submit 0.124  passA 1.482  passW 0.008  passB 0.292  gpu 1.774  total 2.126 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.129  submit 0.191  passA 0.371  passW 0.007  passB 0.293  gpu 0.664  total 2.775 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.110  submit 0.135  passA 0.402  passW 0.008  passB 1.150  gpu 1.552  total 1.952 ms
frame 20: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.105  submit 0.137  passA 0.399  passW 0.008  passB 0.312  gpu 0.711  total 1.075 ms
frame 21: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.095  submit 0.100  passA 0.402  passW 0.008  passB 0.310  gpu 0.712  total 0.958 ms
frame 22: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.097  passA 0.364  passW 0.007  passB 0.221  gpu 0.585  total 0.829 ms
frame 23: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.109  submit 0.105  passA 0.365  passW 0.007  passB 0.214  gpu 0.579  total 0.870 ms
frame 24: 1336 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.129  submit 0.126  passA 0.397  passW 0.008  passB 0.311  gpu 0.709  total 1.215 ms
frame 25: 25486 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.176  submit 0.221  passA 4.742  passW 0.104  passB 19.431  gpu 24.174  total 25.084 ms
frame 26: 55854 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.412  submit 0.274  passA 10.613  passW 0.245  passB 43.189  gpu 53.803  total 55.725 ms
frame 27: 26476 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.202  submit 0.250  passA 4.492  passW 0.108  passB 19.025  gpu 23.517  total 29.777 ms
frame 28: 53856 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.238  submit 345.036  passA 12.029  passW 0.276  passB 114.619  gpu 126.649  total 472.191 ms
frame 29: 25353 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.524  submit 0.425  passA 4.356  passW 0.105  passB 20.584  gpu 24.941  total 31.105 ms
