frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.243  submit 724.734  passA 16.512  passW 0.000  passB 65.609  gpu 82.121  total 807.316 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.284  submit 79.653  passA 0.455  passW 0.009  passB 0.346  gpu 0.801  total 80.924 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.171  submit 0.148  passA 0.400  passW 0.008  passB 0.260  gpu 0.660  total 1.093 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.109  passA 0.405  passW 0.008  passB 0.238  gpu 0.644  total 0.935 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.096  submit 0.102  passA 0.444  passW 0.009  passB 0.340  gpu 0.783  total 1.031 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.096  submit 2.677  passA 1.680  passW 0.009  passB 0.338  gpu 2.019  total 4.980 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.150  submit 0.194  passA 0.411  passW 0.008  passB 0.241  gpu 0.653  total 1.126 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.119  submit 0.152  passA 1.286  passW 0.009  passB 0.350  gpu 1.636  total 2.021 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.102  submit 0.113  passA 0.404  passW 0.008  passB 0.317  gpu 0.721  total 1.017 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.102  passA 0.405  passW 0.008  passB 0.318  gpu 0.723  total 0.973 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.097  submit 0.101  passA 0.448  passW 0.009  passB 0.343  gpu 0.791  total 1.042 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.096  submit 0.105  passA 0.446  passW 0.008  passB 0.343  gpu 0.790  total 1.050 ms
