frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.262  submit 755.159  passA 15.118  passW 0.000  passB 64.926  gpu 80.046  total 838.602 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.220  submit 80.316  passA 0.457  passW 0.009  passB 0.417  gpu 0.874  total 82.024 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.184  submit 0.161  passA 0.399  passW 0.008  passB 0.259  gpu 0.659  total 1.127 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.115  submit 0.121  passA 0.399  passW 0.008  passB 0.316  gpu 0.715  total 1.074 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.120  passA 1.294  passW 0.009  passB 0.330  gpu 1.625  total 1.924 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.118  passA 0.447  passW 0.009  passB 0.325  gpu 0.772  total 1.095 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.109  submit 0.385  passA 0.405  passW 0.008  passB 0.318  gpu 0.724  total 1.310 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.128  submit 0.151  passA 0.447  passW 0.009  passB 0.416  gpu 0.862  total 1.878 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.788  submit 0.223  passA 0.419  passW 0.008  passB 0.259  gpu 0.678  total 2.480 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.113  submit 0.464  passA 0.407  passW 0.009  passB 0.325  gpu 0.733  total 2.252 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.119  submit 0.183  passA 0.458  passW 0.011  passB 0.357  gpu 0.814  total 1.414 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.164  submit 0.254  passA 0.443  passW 0.009  passB 0.333  gpu 0.777  total 1.311 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.384  submit 0.179  passA 0.447  passW 0.009  passB 0.326  gpu 0.773  total 1.860 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.137  submit 0.177  passA 0.446  passW 0.009  passB 0.340  gpu 0.785  total 1.220 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.145  passA 0.443  passW 0.009  passB 0.324  gpu 0.767  total 1.170 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.109  submit 0.128  passA 0.439  passW 0.009  passB 0.332  gpu 0.771  total 1.130 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.112  submit 0.117  passA 1.696  passW 0.009  passB 0.332  gpu 2.028  total 2.332 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.124  submit 0.147  passA 1.634  passW 0.009  passB 0.265  gpu 1.900  total 2.324 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.121  submit 0.232  passA 0.404  passW 0.008  passB 0.335  gpu 0.739  total 1.237 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.149  submit 0.183  passA 0.448  passW 0.009  passB 0.348  gpu 0.796  total 1.275 ms
frame 20: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.145  submit 0.199  passA 0.464  passW 0.009  passB 0.347  gpu 0.811  total 4.439 ms
frame 21: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.149  submit 0.256  passA 0.448  passW 0.009  passB 0.332  gpu 0.780  total 1.268 ms
frame 22: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.126  submit 0.813  passA 0.406  passW 0.008  passB 1.593  gpu 1.998  total 2.441 ms
frame 23: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.168  submit 0.232  passA 0.407  passW 0.008  passB 1.548  gpu 1.955  total 2.473 ms
frame 24: 1336 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.162  submit 0.192  passA 0.457  passW 0.009  passB 0.433  gpu 0.890  total 1.376 ms
frame 25: 25486 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.164  submit 0.207  passA 4.837  passW 0.117  passB 23.029  gpu 27.868  total 28.411 ms
frame 26: 55854 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.261  submit 0.443  passA 11.842  passW 0.268  passB 45.100  gpu 56.944  total 59.145 ms
frame 27: 26476 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.246  submit 0.316  passA 6.028  passW 0.109  passB 19.896  gpu 25.924  total 29.925 ms
frame 28: 53856 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.248  submit 342.957  passA 11.054  passW 0.267  passB 116.389  gpu 127.444  total 471.671 ms
frame 29: 25353 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.275  submit 2.312  passA 3.635  passW 0.104  passB 19.247  gpu 22.882  total 28.531 ms
frame 30: 55896 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.193  submit 0.248  passA 8.385  passW 0.246  passB 45.665  gpu 54.051  total 60.304 ms
frame 31: 26503 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.208  submit 0.265  passA 4.499  passW 0.121  passB 21.459  gpu 25.960  total 27.887 ms
frame 32: 53682 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.232  submit 0.926  passA 9.531  passW 0.268  passB 108.760  gpu 118.291  total 120.268 ms
frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.210  submit 0.739  passA 4.407  passW 0.105  passB 19.708  gpu 24.116  total 30.298 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.225  submit 0.281  passA 8.315  passW 0.255  passB 45.688  gpu 54.004  total 56.888 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.208  submit 0.293  passA 4.626  passW 0.112  passB 21.274  gpu 25.902  total 27.931 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.233  submit 1.022  passA 9.575  passW 0.265  passB 109.071  gpu 118.646  total 120.754 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.787  submit 0.284  passA 4.468  passW 0.106  passB 20.976  gpu 25.445  total 31.501 ms
