frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 5 dispatches)  parse 0.233  submit 651.580  passA 16.123  passW 0.000  passB 59.794  gpu 75.918  total 732.354 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.224  submit 83.102  passA 0.752  passW 0.015  passB 0.497  gpu 1.249  total 87.950 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.221  submit 0.220  passA 0.681  passW 0.013  passB 0.459  gpu 1.140  total 1.801 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.136  submit 0.144  passA 0.698  passW 0.014  passB 0.361  gpu 1.059  total 1.553 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.124  submit 0.158  passA 1.903  passW 0.015  passB 0.496  gpu 2.400  total 3.085 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.131  submit 0.203  passA 0.531  passW 0.010  passB 0.334  gpu 0.865  total 1.642 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.176  submit 0.179  passA 1.216  passW 0.009  passB 0.318  gpu 1.535  total 2.343 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.145  submit 0.240  passA 0.523  passW 0.010  passB 0.337  gpu 0.860  total 1.970 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.161  submit 0.188  passA 0.469  passW 0.009  passB 0.321  gpu 0.791  total 1.460 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.124  submit 0.215  passA 0.471  passW 0.009  passB 0.249  gpu 0.719  total 1.893 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.135  submit 0.230  passA 0.522  passW 0.010  passB 0.345  gpu 0.867  total 2.912 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.163  submit 0.465  passA 0.521  passW 0.010  passB 0.322  gpu 0.844  total 1.768 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.131  submit 0.175  passA 0.519  passW 0.010  passB 0.345  gpu 0.864  total 1.683 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.173  submit 0.204  passA 0.520  passW 0.010  passB 0.325  gpu 0.845  total 4.066 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.143  submit 0.218  passA 0.520  passW 0.010  passB 0.344  gpu 0.864  total 2.962 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.167  submit 0.234  passA 0.564  passW 0.011  passB 0.347  gpu 0.911  total 1.604 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.144  submit 0.705  passA 0.524  passW 0.010  passB 0.342  gpu 0.867  total 2.201 ms
