frame 0: 33224 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.257  submit 704.220  passA 10.415  passW 0.000  passB 40.979  gpu 51.396  total 756.202 ms
frame 1: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.235  submit 81.335  passA 0.517  passW 0.010  passB 0.334  gpu 0.851  total 83.022 ms
frame 2: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.194  submit 0.206  passA 0.465  passW 0.009  passB 0.306  gpu 0.772  total 1.858 ms
frame 3: 1082 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.162  passA 0.462  passW 0.009  passB 0.300  gpu 0.762  total 1.764 ms
frame 4: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.116  submit 0.163  passA 0.502  passW 0.010  passB 0.326  gpu 0.828  total 1.254 ms
frame 5: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.112  submit 0.140  passA 0.502  passW 0.010  passB 0.306  gpu 0.808  total 1.216 ms
frame 6: 1082 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.138  passA 0.461  passW 0.009  passB 0.298  gpu 0.760  total 1.158 ms
frame 7: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.292  submit 0.172  passA 0.504  passW 0.010  passB 0.387  gpu 0.891  total 1.508 ms
frame 8: 1082 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.109  submit 0.111  passA 0.460  passW 0.009  passB 0.295  gpu 0.756  total 1.125 ms
frame 9: 1096 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.108  submit 0.106  passA 0.461  passW 0.009  passB 0.299  gpu 0.761  total 1.124 ms
frame 10: 1124 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.107  submit 0.111  passA 0.507  passW 0.010  passB 0.330  gpu 0.837  total 2.173 ms
frame 11: 1110 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.118  submit 0.214  passA 0.524  passW 0.010  passB 0.320  gpu 0.845  total 2.345 ms
