frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.292  submit 749.780  passA 11.176  passW 0.000  passB 50.702  gpu 61.878  total 812.292 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.205  submit 74.590  passA 0.542  passW 0.011  passB 0.408  gpu 0.950  total 75.962 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.196  submit 0.177  passA 0.472  passW 0.010  passB 0.377  gpu 0.849  total 1.372 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.132  submit 0.125  passA 0.470  passW 0.009  passB 0.284  gpu 0.755  total 1.155 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.113  submit 0.115  passA 0.518  passW 0.010  passB 1.460  gpu 1.978  total 2.395 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.130  submit 0.153  passA 0.525  passW 0.010  passB 0.403  gpu 0.929  total 1.369 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.127  submit 0.158  passA 0.474  passW 0.010  passB 0.292  gpu 0.767  total 1.212 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.138  submit 0.134  passA 0.531  passW 0.011  passB 0.408  gpu 0.939  total 1.357 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.106  submit 0.111  passA 0.476  passW 0.009  passB 0.371  gpu 0.847  total 1.301 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.106  submit 0.111  passA 0.481  passW 0.009  passB 0.306  gpu 0.787  total 1.151 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.105  submit 0.127  passA 0.530  passW 0.011  passB 0.405  gpu 0.935  total 1.309 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.120  submit 0.110  passA 0.530  passW 0.010  passB 0.404  gpu 0.934  total 1.266 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.105  submit 0.124  passA 0.523  passW 0.010  passB 0.393  gpu 0.916  total 1.294 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.104  submit 0.110  passA 0.522  passW 0.010  passB 0.405  gpu 0.927  total 1.298 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.104  submit 0.109  passA 0.520  passW 0.010  passB 1.386  gpu 1.906  total 2.275 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.218  submit 0.112  passA 0.534  passW 0.011  passB 0.390  gpu 0.924  total 1.413 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.103  submit 0.169  passA 0.519  passW 0.010  passB 0.404  gpu 0.924  total 1.371 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.105  submit 0.124  passA 0.470  passW 0.009  passB 0.371  gpu 0.841  total 1.287 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.371  submit 0.102  passA 0.471  passW 0.010  passB 0.375  gpu 0.847  total 1.465 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.104  submit 0.115  passA 0.526  passW 0.010  passB 0.411  gpu 0.938  total 1.319 ms
frame 20: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.102  submit 0.112  passA 0.521  passW 0.011  passB 0.406  gpu 0.927  total 1.299 ms
frame 21: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.102  submit 0.118  passA 0.522  passW 0.010  passB 0.394  gpu 0.917  total 1.283 ms
frame 22: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.104  submit 0.111  passA 0.469  passW 0.009  passB 0.375  gpu 0.845  total 1.304 ms
frame 23: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.152  submit 0.180  passA 0.475  passW 0.009  passB 0.370  gpu 0.845  total 1.579 ms
frame 24: 1336 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.162  submit 0.173  passA 0.522  passW 0.010  passB 0.410  gpu 0.932  total 1.424 ms
frame 25: 25486 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.139  submit 0.169  passA 4.696  passW 0.135  passB 22.432  gpu 27.130  total 27.663 ms
frame 26: 55854 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.201  submit 0.224  passA 10.105  passW 1.331  passB 48.015  gpu 58.121  total 58.743 ms
frame 27: 26476 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.451  submit 0.511  passA 4.506  passW 0.129  passB 20.836  gpu 25.344  total 29.821 ms
frame 28: 53856 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.478  submit 333.778  passA 14.585  passW 0.246  passB 114.735  gpu 129.320  total 468.765 ms
frame 29: 25353 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.191  submit 0.249  passA 3.574  passW 0.106  passB 14.838  gpu 18.411  total 19.325 ms
frame 30: 55896 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.351  submit 0.924  passA 7.592  passW 0.257  passB 33.677  gpu 41.269  total 42.994 ms
frame 31: 26503 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.418  submit 0.573  passA 3.720  passW 0.112  passB 15.797  gpu 19.518  total 20.900 ms
frame 32: 53682 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.642  submit 3.309  passA 7.682  passW 0.245  passB 83.613  gpu 91.296  total 95.820 ms
frame 33: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.871  submit 0.863  passA 3.607  passW 0.106  passB 15.176  gpu 18.783  total 20.820 ms
frame 34: 55259 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.598  submit 0.704  passA 7.543  passW 0.233  passB 33.384  gpu 40.927  total 42.850 ms
frame 35: 26888 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.623  submit 0.697  passA 3.742  passW 0.113  passB 15.995  gpu 19.736  total 21.401 ms
frame 36: 53471 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.622  submit 2.877  passA 7.580  passW 0.245  passB 83.904  gpu 91.484  total 95.511 ms
frame 37: 25724 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.567  submit 0.692  passA 3.634  passW 0.105  passB 15.356  gpu 18.990  total 20.575 ms
frame 38: 55030 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.683  submit 0.813  passA 7.447  passW 0.242  passB 32.937  gpu 40.384  total 42.592 ms
frame 39: 27548 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.571  submit 0.723  passA 3.889  passW 0.116  passB 16.210  gpu 20.099  total 21.669 ms
frame 40: 53018 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.779  submit 3.437  passA 7.552  passW 0.281  passB 84.006  gpu 91.558  total 96.271 ms
frame 41: 26214 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.576  submit 0.787  passA 3.668  passW 0.110  passB 15.736  gpu 19.404  total 21.024 ms
frame 42: 54952 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.708  submit 1.414  passA 7.437  passW 0.236  passB 32.729  gpu 40.166  total 42.881 ms
frame 43: 27507 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.766  submit 0.925  passA 3.845  passW 0.116  passB 16.276  gpu 20.121  total 22.174 ms
frame 44: 52706 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.645  submit 3.244  passA 7.556  passW 0.240  passB 84.323  gpu 91.880  total 96.267 ms
frame 45: 26897 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.755  submit 0.828  passA 3.784  passW 0.113  passB 16.113  gpu 19.897  total 21.944 ms
frame 46: 53971 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.615  submit 0.759  passA 7.302  passW 0.227  passB 32.150  gpu 39.453  total 41.413 ms
frame 47: 27965 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.522  submit 0.657  passA 3.937  passW 0.118  passB 16.447  gpu 20.383  total 24.397 ms
frame 48: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.477  submit 0.733  passA 0.410  passW 0.008  passB 0.306  gpu 0.717  total 2.094 ms
frame 49: 57248 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.650  submit 2.893  passA 7.854  passW 0.261  passB 82.662  gpu 90.517  total 94.899 ms
frame 50: 57362 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.785  submit 0.716  passA 7.776  passW 0.253  passB 34.469  gpu 42.246  total 44.245 ms
frame 51: 57610 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.844  submit 2.942  passA 7.947  passW 0.265  passB 83.116  gpu 91.064  total 95.443 ms
