frame 0: 64436 B, 2312 tiles (0 tskip, 1 lane group(s), 6 dispatches)  parse 0.244  submit 741.707  passA 15.048  passW 0.000  passB 64.977  gpu 80.026  total 822.301 ms
frame 1: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.314  submit 83.485  passA 0.456  passW 0.009  passB 0.344  gpu 0.800  total 84.791 ms
frame 2: 1249 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.382  submit 0.225  passA 0.408  passW 0.008  passB 0.258  gpu 0.666  total 1.965 ms
frame 3: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.122  submit 0.185  passA 0.407  passW 0.009  passB 0.253  gpu 0.661  total 1.311 ms
frame 4: 1290 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.160  submit 0.163  passA 0.475  passW 0.009  passB 0.354  gpu 0.829  total 1.683 ms
frame 5: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.115  submit 0.142  passA 0.473  passW 0.009  passB 1.177  gpu 1.650  total 2.028 ms
frame 6: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.135  passA 0.417  passW 0.009  passB 0.321  gpu 0.738  total 1.109 ms
frame 7: 1304 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.105  submit 0.138  passA 0.456  passW 0.009  passB 0.348  gpu 0.804  total 1.190 ms
frame 8: 1226 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.106  submit 0.139  passA 0.408  passW 0.008  passB 0.238  gpu 0.646  total 1.016 ms
frame 9: 1285 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.101  submit 0.124  passA 0.398  passW 0.009  passB 0.319  gpu 0.717  total 1.064 ms
frame 10: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.111  passA 0.451  passW 0.009  passB 0.337  gpu 0.788  total 1.082 ms
frame 11: 1263 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.461  passA 0.448  passW 0.009  passB 0.327  gpu 0.775  total 2.433 ms
frame 12: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.103  submit 0.107  passA 0.445  passW 0.009  passB 0.326  gpu 0.771  total 1.036 ms
frame 13: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.325  submit 0.135  passA 0.445  passW 0.009  passB 0.328  gpu 0.773  total 2.014 ms
frame 14: 1299 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.111  submit 0.114  passA 0.440  passW 0.008  passB 0.340  gpu 0.780  total 1.139 ms
frame 15: 1313 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.103  submit 0.114  passA 0.439  passW 0.009  passB 0.344  gpu 0.783  total 1.487 ms
frame 16: 1281 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.099  submit 0.125  passA 0.437  passW 0.008  passB 0.340  gpu 0.777  total 1.127 ms
frame 17: 1208 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.100  submit 0.104  passA 0.404  passW 0.008  passB 0.315  gpu 0.719  total 1.011 ms
frame 18: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.098  submit 0.101  passA 0.405  passW 0.008  passB 0.316  gpu 0.721  total 1.007 ms
frame 19: 1363 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.109  submit 0.102  passA 0.450  passW 0.009  passB 0.347  gpu 0.797  total 1.071 ms
frame 20: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.127  submit 0.121  passA 0.442  passW 0.009  passB 0.343  gpu 0.785  total 1.263 ms
frame 21: 1295 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.101  submit 0.292  passA 0.459  passW 0.009  passB 0.346  gpu 0.806  total 2.131 ms
frame 22: 1267 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.351  submit 0.232  passA 1.637  passW 0.009  passB 0.327  gpu 1.964  total 2.664 ms
frame 23: 1235 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.139  submit 0.194  passA 0.404  passW 0.008  passB 0.333  gpu 0.737  total 1.195 ms
frame 24: 1336 B, 2312 tiles (0 tskip, 1 lane group(s), 7 dispatches)  parse 0.147  submit 0.144  passA 0.445  passW 0.009  passB 0.338  gpu 0.783  total 1.536 ms
frame 25: 25486 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.169  submit 337.044  passA 11.247  passW 0.133  passB 140.607  gpu 151.854  total 489.266 ms
frame 26: 54021 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.331  submit 0.785  passA 9.573  passW 0.268  passB 111.233  gpu 120.806  total 126.006 ms
frame 27: 25119 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.218  submit 2.909  passA 6.348  passW 0.127  passB 122.144  gpu 128.493  total 134.546 ms
frame 28: 53558 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.268  submit 0.928  passA 10.641  passW 0.260  passB 110.809  gpu 121.451  total 125.542 ms
frame 29: 25078 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.262  submit 2.480  passA 7.826  passW 0.127  passB 123.057  gpu 130.884  total 134.833 ms
frame 30: 53453 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.302  submit 0.927  passA 9.881  passW 0.264  passB 109.847  gpu 119.730  total 124.449 ms
frame 31: 24876 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.216  submit 2.633  passA 6.655  passW 0.143  passB 122.586  gpu 129.241  total 133.878 ms
frame 32: 53210 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.231  submit 0.946  passA 9.568  passW 0.258  passB 110.094  gpu 119.663  total 122.853 ms
frame 33: 25426 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.287  submit 2.850  passA 7.509  passW 0.128  passB 120.879  gpu 128.389  total 133.419 ms
frame 34: 52899 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.244  submit 0.998  passA 9.962  passW 0.259  passB 109.930  gpu 119.893  total 124.955 ms
frame 35: 25412 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.242  submit 2.546  passA 6.688  passW 0.132  passB 121.134  gpu 127.823  total 130.846 ms
frame 36: 53091 B, 2312 tiles (0 tskip, 1 lane group(s), 8 dispatches)  parse 0.227  submit 0.955  passA 8.401  passW 0.271  passB 110.238  gpu 118.640  total 124.767 ms
