frame,render_index,decode_ms,render_ms,total_ms,gpu_ms
0,0,628.627,85.3339,713.961,
1,0,82.9335,5.92922,88.8627,
2,0,0.518073,3.76948,4.28755,
3,0,0.409532,5.90344,6.31297,
4,0,0.726875,3.93323,4.6601,
5,0,0.414948,3.26505,3.68,
6,0,0.392708,3.16667,3.55938,
7,0,0.334792,4.1163,4.45109,
8,0,0.33,4.30125,4.63125,
9,0,0.973385,3.21656,4.18995,
10,0,0.356355,4.13568,4.49203,
11,0,0.350104,4.04495,4.39505,
12,0,0.467396,3.33193,3.79932,
13,0,0.362708,4.15271,4.51542,
14,0,0.399792,6.0925,6.49229,
15,0,0.358645,3.3113,3.66995,
16,0,0.526875,4.16276,4.68963,
17,0,0.613281,4.02922,4.6425,
18,0,0.505416,5.03964,5.54505,
19,0,0.408907,4.14536,4.55427,
20,0,0.521094,6.21583,6.73693,
21,0,0.364271,3.29479,3.65906,
22,0,0.427344,3.75245,4.17979,
23,0,0.341145,5.43932,5.78047,
24,0,0.524948,3.05349,3.57844,
25,0,0.620104,27.4373,28.0574,
26,0,0.714843,56.3309,57.0457,
27,0,0.66448,27.1022,27.7667,
28,0,338.117,111.438,449.555,
29,0,3.12729,24.5534,27.6807,
30,0,0.525416,54.0655,54.5909,
31,0,0.755625,24.5257,25.2813,
32,0,1.49781,106.062,107.56,
33,0,0.5975,27.6481,28.2456,
34,0,0.687448,49.2957,49.9832,
35,0,1.20391,25.616,26.8199,
36,0,1.75562,110.652,112.407,
37,0,0.675781,31.0583,31.7341,
38,0,0.711302,52.3716,53.0829,
39,0,0.502969,29.8393,30.3422,
40,0,1.10339,121.074,122.178,
41,0,0.58125,31.8081,32.3893,
42,0,0.536562,58.4554,58.9919,
43,0,0.59901,29.6609,30.2599,
44,0,1.29323,123.649,124.942,
45,0,0.52099,32.5726,33.0936,
46,0,0.51375,55.9565,56.4702,
47,0,0.49151,31.4667,31.9582,
48,0,0.380052,5.01979,5.39984,
49,0,2.72688,121.317,124.044,
50,0,0.599375,61.4158,62.0152,
51,0,1.05417,124.471,125.525,
52,0,0.868698,62.4187,63.2874,
53,0,1.03297,121.417,122.45,
54,0,0.766198,61.7243,62.4905,
55,0,1.04021,121.458,122.498,
56,0,0.620417,62.5993,63.2197,
57,0,0.928281,122.811,123.739,
58,0,0.561511,61.3026,61.8641,
59,0,1.00349,122.781,123.785,
60,0,0.658646,61.5171,62.1758,
61,0,1.0938,122.905,123.999,
62,0,0.604739,62.1596,62.7644,
63,0,0.958593,122.322,123.281,
64,0,0.571823,60.3009,60.8728,
65,0,0.995885,123.099,124.094,
66,0,0.788021,63.4079,64.1959,
67,0,1.21412,121.536,122.75,
68,0,0.654427,61.4657,62.1202,
69,0,0.943959,122.45,123.394,
70,0,0.653594,58.4444,59.098,
71,0,1.02531,125.99,127.015,
72,0,0.544062,8.12151,8.66557,
73,0,0.932188,122.058,122.99,
74,0,0.922031,125.122,126.044,
75,0,1.09323,123.053,124.146,
76,0,0.972344,124.949,125.921,
77,0,1.09307,125.687,126.78,
78,0,0.926615,122.802,123.728,
79,0,1.03062,126.288,127.319,
80,0,1.09823,126.913,128.012,
81,0,0.950886,122.347,123.298,
82,0,1.00687,125.672,126.678,
83,0,0.94526,125.197,126.142,
84,0,0.937605,121.242,122.179,
85,0,0.974219,126.45,127.424,
86,0,1.06,122.292,123.352,
87,0,1.11849,126.399,127.518,
88,0,0.982031,123.086,124.068,
89,0,0.955782,125.391,126.347,
90,0,1.26333,125.526,126.789,
91,0,1.20469,121.897,123.101,
92,0,0.971302,125.693,126.664,
93,0,0.952656,122.163,123.115,
94,0,1.43615,126.588,128.024,
95,0,1.08927,124.636,125.725,
96,0,0.418334,4.83245,5.25078,
97,0,0.284427,2.4675,2.75193,
98,0,0.35224,4.28927,4.64151,
99,0,0.49125,2.40896,2.90021,
100,0,0.342343,3.32844,3.67078,
101,0,0.343594,2.37771,2.7213,
102,0,0.287448,4.45391,4.74135,
103,0,0.406042,2.7775,3.18354,
104,0,0.297031,3.37182,3.66885,
105,0,0.268698,3.70182,3.97052,
106,0,0.282916,3.57885,3.86177,
107,0,0.58276,4.85422,5.43698,
108,0,0.306563,2.39573,2.70229,
109,0,0.878541,4.14849,5.02703,
110,0,0.398021,2.52792,2.92594,
111,0,0.398177,3.36787,3.76604,
112,0,0.336406,3.6274,3.9638,
113,0,0.414948,3.95974,4.37469,
114,0,0.404635,3.35885,3.76349,
115,0,0.342344,2.42578,2.76812,
116,0,0.305469,3.61802,3.92349,
117,0,0.295208,3.40453,3.69974,
118,0,0.350834,3.29974,3.65057,
119,0,0.280833,2.46969,2.75052,
