frame 0: 81776 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.414  submit 325.684  passA 0.127  passW 0.000  passB 32.729  gpu 32.856  total 359.425 ms
frame 1: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.508  submit 0.332  passA 0.448  passW 0.000  passB 33.188  gpu 33.637  total 38.218 ms
frame 2: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.635  submit 0.449  passA 0.409  passW 0.000  passB 26.197  gpu 26.606  total 31.603 ms
frame 3: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.588  submit 0.398  passA 0.355  passW 0.000  passB 23.997  gpu 24.353  total 29.409 ms
frame 4: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.844  submit 0.387  passA 0.353  passW 0.000  passB 23.542  gpu 23.896  total 25.341 ms
frame 5: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.788  submit 0.578  passA 0.351  passW 0.000  passB 23.885  gpu 24.236  total 26.267 ms
frame 6: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.450  submit 0.446  passA 0.354  passW 0.000  passB 23.173  gpu 23.527  total 26.125 ms
frame 7: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 2.532  submit 0.418  passA 0.357  passW 0.000  passB 23.998  gpu 24.355  total 28.590 ms
frame 8: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.620  submit 0.404  passA 0.354  passW 0.000  passB 23.498  gpu 23.853  total 25.871 ms
frame 9: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.055  submit 0.459  passA 0.367  passW 0.000  passB 23.016  gpu 23.384  total 28.770 ms
frame 10: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.989  submit 0.543  passA 0.357  passW 0.000  passB 23.858  gpu 24.215  total 28.420 ms
frame 11: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.817  submit 0.527  passA 0.352  passW 0.000  passB 23.519  gpu 23.871  total 25.927 ms
frame 12: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 1.239  submit 0.602  passA 0.384  passW 0.000  passB 23.385  gpu 23.769  total 28.481 ms
frame 13: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.578  submit 1.242  passA 0.357  passW 0.000  passB 23.147  gpu 23.504  total 26.089 ms
frame 14: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.795  submit 0.541  passA 0.357  passW 0.000  passB 23.452  gpu 23.809  total 28.608 ms
frame 15: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.906  submit 0.556  passA 0.352  passW 0.000  passB 23.448  gpu 23.801  total 26.502 ms
frame 16: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.692  submit 0.483  passA 0.355  passW 0.000  passB 23.737  gpu 24.093  total 28.889 ms
frame 17: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.926  submit 0.584  passA 0.361  passW 0.000  passB 23.745  gpu 24.107  total 26.880 ms
frame 18: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.499  submit 0.386  passA 0.351  passW 0.000  passB 23.738  gpu 24.090  total 28.720 ms
frame 19: 81848 B, 2312 tiles (0 tskip, 0 lane group(s), 4 dispatches)  parse 0.777  submit 0.572  passA 0.358  passW 0.000  passB 23.615  gpu 23.973  total 26.598 ms
