frame,render_index,decode_ms,render_ms,total_ms
0,0,703.786,69.9796,773.766
0,1,0,10.2129,10.2129
0,2,0,8.0725,8.0725
0,3,0,4.28099,4.28099
1,0,79.2602,5.5338,84.794
1,1,0,3.27505,3.27505
1,2,0,3.23198,3.23198
1,3,0,2.84484,2.84484
2,0,0.381875,3.67734,4.05922
2,1,0,3.44974,3.44974
2,2,0,3.31219,3.31219
2,3,0,2.86594,2.86594
3,0,0.383906,6.75974,7.14365
3,1,0,3.21865,3.21865
3,2,0,2.83875,2.83875
3,3,0,2.0212,2.0212
4,0,0.408281,5.05573,5.46401
4,1,0,3.25922,3.25922
4,2,0,5.11219,5.11219
4,3,0,2.06271,2.06271
5,0,0.386771,4.50104,4.88781
5,1,0,3.02531,3.02531
5,2,0,2.62969,2.62969
5,3,0,3.88766,3.88766
6,0,0.368854,4.18615,4.555
6,1,0,2.9475,2.9475
6,2,0,2.69901,2.69901
6,3,0,4.01255,4.01255
7,0,0.35849,5.44396,5.80245
7,1,0,1.81271,1.81271
7,2,0,2.64729,2.64729
7,3,0,2.09214,2.09214
8,0,0.495104,7.46219,7.95729
8,1,0,2.61146,2.61146
8,2,0,1.79766,1.79766
8,3,0,1.79474,1.79474
9,0,0.413542,7.33964,7.75318
9,1,0,2.71807,2.71807
9,2,0,1.81094,1.81094
9,3,0,1.80531,1.80531
10,0,0.439219,7.82865,8.26787
10,1,0,2.8025,2.8025
10,2,0,1.86182,1.86182
10,3,0,1.80391,1.80391
11,0,0.458333,5.59432,6.05266
11,1,0,4.59927,4.59927
11,2,0,1.79328,1.79328
11,3,0,1.77062,1.77062
12,0,0.386667,6.06958,6.45625
12,1,0,4.59438,4.59438
12,2,0,1.80463,1.80463
12,3,0,1.78646,1.78646
13,0,0.479688,8.32573,8.80542
13,1,0,1.82057,1.82057
13,2,0,1.80677,1.80677
13,3,0,1.80677,1.80677
14,0,0.659427,7.75406,8.41349
14,1,0,1.77807,1.77807
14,2,0,1.74417,1.74417
14,3,0,1.78141,1.78141
15,0,0.532343,7.98906,8.52141
15,1,0,1.795,1.795
15,2,0,1.74229,1.74229
15,3,0,1.76417,1.76417
16,0,0.425625,5.38719,5.81281
16,1,0,4.69271,4.69271
16,2,0,1.83136,1.83136
16,3,0,1.77385,1.77385
17,0,0.526719,4.84453,5.37125
17,1,0,4.6124,4.6124
17,2,0,1.81594,1.81594
17,3,0,1.82792,1.82792
18,0,0.673177,5.46146,6.13464
18,1,0,4.60214,4.60214
18,2,0,1.81203,1.81203
18,3,0,1.82698,1.82698
19,0,0.774323,7.7999,8.57422
19,1,0,1.85885,1.85885
19,2,0,1.79229,1.79229
19,3,0,3.02234,3.02234
20,0,0.422865,6.76714,7.19
20,1,0,1.81792,1.81792
20,2,0,1.82917,1.82917
20,3,0,3.70984,3.70984
21,0,0.429427,6.21172,6.64115
21,1,0,1.8688,1.8688
21,2,0,1.82776,1.82776
21,3,0,3.24266,3.24266
22,0,0.545625,6.81187,7.3575
22,1,0,1.81224,1.81224
22,2,0,1.76865,1.76865
22,3,0,2.9401,2.9401
23,0,0.427969,6.86193,7.2899
23,1,0,2.25276,2.25276
23,2,0,1.91396,1.91396
23,3,0,2.98875,2.98875
24,0,0.464375,6.92458,7.38896
24,1,0,1.88385,1.88385
24,2,0,2.04365,2.04365
24,3,0,3.19411,3.19411
25,0,0.811458,6.53068,7.34213
25,1,0,1.77333,1.77333
25,2,0,2.96354,2.96354
25,3,0,1.80995,1.80995
26,0,0.403594,6.9937,7.39729
26,1,0,1.83854,1.83854
26,2,0,2.98219,2.98219
26,3,0,1.82208,1.82208
27,0,0.409479,7.17031,7.57979
27,1,0,2.09,2.09
27,2,0,3.09479,3.09479
27,3,0,3.05812,3.05812
28,0,0.410781,5.59912,6.0099
28,1,0,1.7799,1.7799
28,2,0,2.96219,2.96219
28,3,0,5.78714,5.78714
29,0,0.41,3.11505,3.52505
29,1,0,1.77323,1.77323
29,2,0,2.92875,2.92875
29,3,0,5.78359,5.78359
30,0,0.428281,3.37271,3.80099
30,1,0,1.77052,1.77052
30,2,0,3.10052,3.10052
30,3,0,5.79583,5.79583
31,0,0.367708,3.14516,3.51286
31,1,0,1.76438,1.76438
31,2,0,2.96219,2.96219
31,3,0,5.91437,5.91437
32,0,0.433698,3.12703,3.56073
32,1,0,2.92359,2.92359
32,2,0,1.78193,1.78193
32,3,0,6.04797,6.04797
