frame,render_index,decode_ms,render_ms,total_ms
0,0,611.296,76.8095,688.106
0,1,0,1.91458,1.91458
0,2,0,1.75193,1.75193
0,3,0,1.75719,1.75719
1,0,66.9136,3.2712,70.1848
1,1,0,4.51922,4.51922
1,2,0,2.06276,2.06276
1,3,0,1.74818,1.74818
2,0,0.3425,3.22531,3.56781
2,1,0,2.62625,2.62625
2,2,0,2.79083,2.79083
2,3,0,1.91031,1.91031
3,0,0.334218,3.24391,3.57812
3,1,0,2.57708,2.57708
3,2,0,1.89276,1.89276
3,3,0,1.7638,1.7638
4,0,0.316042,3.48391,3.79995
4,1,0,2.47219,2.47219
4,2,0,2.65943,2.65943
4,3,0,2.36792,2.36792
5,0,0.371302,3.40443,3.77573
5,1,0,1.86891,1.86891
5,2,0,2.47745,2.47745
5,3,0,3.10542,3.10542
6,0,0.720729,4.02281,4.74354
6,1,0,1.96792,1.96792
6,2,0,1.83828,1.83828
6,3,0,1.80052,1.80052
7,0,0.649062,3.86386,4.51292
7,1,0,2.58797,2.58797
7,2,0,1.99438,1.99438
7,3,0,1.83474,1.83474
8,0,0.641406,4.1712,4.8126
8,1,0,2.11323,2.11323
8,2,0,1.91562,1.91562
8,3,0,1.96109,1.96109
9,0,1.35521,3.22583,4.58104
9,1,0,1.84203,1.84203
9,2,0,1.8651,1.8651
9,3,0,2.63557,2.63557
10,0,1.11151,3.34974,4.46125
10,1,0,2.02557,2.02557
10,2,0,2.05047,2.05047
10,3,0,1.83932,1.83932
11,0,0.922708,3.25604,4.17875
11,1,0,1.82359,1.82359
11,2,0,2.02854,2.02854
11,3,0,1.83865,1.83865
12,0,0.856615,3.68896,4.54557
12,1,0,2.17599,2.17599
12,2,0,1.83833,1.83833
12,3,0,1.90323,1.90323
13,0,1.05349,3.27307,4.32656
13,1,0,1.94063,1.94063
13,2,0,1.8838,1.8838
13,3,0,2.00104,2.00104
14,0,1.0362,3.34625,4.38245
14,1,0,1.85948,1.85948
14,2,0,2.00193,2.00193
14,3,0,1.85469,1.85469
15,0,0.885417,3.20198,4.0874
15,1,0,1.96307,1.96307
15,2,0,1.83411,1.83411
15,3,0,1.83224,1.83224
16,0,0.856666,3.19995,4.05661
16,1,0,2.00953,2.00953
16,2,0,1.93323,1.93323
16,3,0,2.25646,2.25646
17,0,1.29307,3.18438,4.47745
17,1,0,2.1137,2.1137
17,2,0,2.04266,2.04266
17,3,0,2.08844,2.08844
18,0,1.17203,3.53979,4.71182
18,1,0,1.83156,1.83156
18,2,0,2.11958,2.11958
18,3,0,1.9074,1.9074
19,0,0.929375,3.13359,4.06297
19,1,0,1.83505,1.83505
19,2,0,1.89984,1.89984
19,3,0,1.85271,1.85271
20,0,1.83614,3.2549,5.09104
20,1,0,1.9013,1.9013
20,2,0,1.83818,1.83818
20,3,0,1.83214,1.83214
21,0,0.979636,3.2676,4.24724
