frame,render_index,decode_ms,render_ms,total_ms
0,0,690.937,70.6342,761.572
1,0,78.7298,6.66984,85.3997
2,0,0.378229,4.8474,5.22562
3,0,0.365417,5.46849,5.83391
4,0,0.364531,5.59448,5.95901
5,0,0.355,4.85448,5.20948
6,0,0.398282,8.27812,8.67641
7,0,0.53974,4.37521,4.91495
8,0,0.364688,7.00958,7.37427
9,0,0.345417,5.05427,5.39969
10,0,0.584583,8.29375,8.87833
11,0,0.3825,4.66464,5.04714
12,0,0.311198,6.64078,6.95198
13,0,0.424427,6.6076,7.03203
14,0,0.405,6.05068,6.45568
15,0,0.431406,3.4201,3.85151
16,0,0.465052,7.2038,7.66885
17,0,0.325365,4.5475,4.87287
18,0,0.348282,4.37755,4.72583
19,0,0.350677,7.39693,7.7476
20,0,0.831927,4.20302,5.03495
21,0,0.452552,7.33698,7.78953
22,0,0.516927,3.5449,4.06182
23,0,0.436719,3.82047,4.25719
24,0,0.497761,7.5,7.99776
25,0,0.350469,4.11146,4.46193
26,0,0.398333,4.51792,4.91625
27,0,0.402917,7.54234,7.94526
28,0,0.377344,3.3524,3.72974
29,0,0.415364,7.48656,7.90193
30,0,0.41125,3.76641,4.17766
31,0,0.485052,5.59146,6.07651
32,0,0.398437,5.86484,6.26328
33,0,0.391771,4.71167,5.10344
34,0,0.511928,6.73339,7.24531
35,0,0.3625,3.22271,3.58521
36,0,0.339947,5.87172,6.21167
37,0,0.616406,5.74,6.35641
38,0,0.367552,5.98813,6.35568
39,0,0.385521,5.8824,6.26792
40,0,0.363698,3.42083,3.78453
41,0,0.734896,7.3376,8.0725
42,0,0.396355,3.85198,4.24833
43,0,0.33,6.02714,6.35714
44,0,0.457552,5.77787,6.23542
45,0,0.318333,4.52912,4.84745
46,0,0.449427,7.0187,7.46812
47,0,0.334479,3.6076,3.94208
48,0,1.08646,5.41651,6.50297
49,0,0.43573,5.6451,6.08083
50,0,0.41224,6.04479,6.45703
51,0,0.470625,5.7901,6.26073
52,0,0.348959,4.5226,4.87156
53,0,0.401198,7.44234,7.84354
54,0,0.815469,3.57781,4.39328
55,0,0.482136,5.08333,5.56547
56,0,0.39849,6.01578,6.41427
57,0,0.454635,6.10521,6.55984
58,0,0.522604,5.72766,6.25026
59,0,0.353594,4.48526,4.83885
60,0,0.376718,6.96344,7.34016
61,0,0.402031,3.66729,4.06932
62,0,1.02026,5.29068,6.31094
63,0,0.3825,6.065,6.4475
64,0,0.44302,5.54021,5.98323
65,0,0.423333,5.81797,6.2413
66,0,0.351406,4.64417,4.99557
67,0,0.399688,6.27922,6.67891
68,0,0.415625,3.77219,4.18781
69,0,0.373125,5.65359,6.02672
70,0,0.389947,6.06052,6.45047
71,0,0.411458,4.61052,5.02198
72,0,0.45349,7.24104,7.69453
73,0,0.355677,3.44495,3.80063
74,0,0.348282,5.48427,5.83255
75,0,0.480052,5.85281,6.33286
76,0,0.325938,6.25755,6.58349
77,0,0.565,5.9274,6.4924
78,0,0.423334,4.56385,4.98719
79,0,0.40651,6.96896,7.37547
80,0,0.342812,3.31406,3.65687
81,0,0.452761,5.90437,6.35714
82,0,0.445,6.0625,6.5075
83,0,0.357969,5.54453,5.9025
84,0,0.476146,6.04318,6.51932
85,0,0.381354,4.62474,5.00609
86,0,0.730833,6.66365,7.39448
87,0,0.362917,3.57776,3.94068
88,0,0.325521,5.94937,6.2749
89,0,0.474375,5.72031,6.19469
90,0,0.343125,5.7851,6.12823
91,0,0.754375,6.07714,6.83151
92,0,0.338855,4.51693,4.85578
93,0,0.666666,7.07698,7.74365
94,0,0.354635,3.22083,3.57547
95,0,0.337656,5.85656,6.19422
96,0,0.53375,5.74687,6.28062
97,0,0.325261,5.96141,6.28667
98,0,0.532396,5.77026,6.30266
99,0,0.35349,3.24276,3.59625
100,0,0.440261,5.10964,5.5499
101,0,0.401459,5.89771,6.29917
102,0,0.473125,6.00885,6.48198
103,0,0.425209,5.85995,6.28516
104,0,0.355833,5.22797,5.5838
105,0,0.55099,6.60031,7.1513
106,0,0.366615,3.55927,3.92589
107,0,0.913646,5.09,6.00365
108,0,0.391458,5.92031,6.31177
109,0,0.400468,5.70099,6.10146
110,0,0.40599,6.06776,6.47375
111,0,0.390677,5.23203,5.62271
112,0,0.546302,3.67276,4.21906
113,0,0.372343,7.04422,7.41656
114,0,0.416146,4.97234,5.38849
115,0,0.662083,5.66411,6.3262
116,0,0.40901,5.64479,6.0538
117,0,0.506875,6.29016,6.79703
118,0,0.416042,4.73057,5.14661
119,0,0.751563,6.8451,7.59667
120,0,0.364531,3.46839,3.83292
121,0,0.856875,5.39385,6.25073
122,0,0.402344,5.82963,6.23198
123,0,0.435104,5.72693,6.16203
124,0,0.402084,6.13786,6.53995
125,0,0.429062,6.00417,6.43323
126,0,0.407553,5.86266,6.27021
127,0,0.345938,3.37984,3.72578
128,0,0.849792,5.0224,5.87219
129,0,0.568906,5.76,6.32891
130,0,0.36625,5.66234,6.02859
131,0,0.406875,6.02177,6.42865
132,0,0.391302,4.56536,4.95667
133,0,0.380157,4.52677,4.90693
134,0,0.397084,5.69078,6.08786
135,0,0.330469,5.79609,6.12656
136,0,0.611771,5.37339,5.98516
137,0,0.365208,4.53891,4.90411
138,0,0.488178,7.1512,7.63938
139,0,0.374739,3.45412,3.82885
140,0,0.304896,5.9588,6.2637
141,0,0.392396,5.90984,6.30224
142,0,0.342344,5.82443,6.16677
143,0,0.466615,5.79781,6.26443
144,0,0.358125,4.64391,5.00203
145,0,0.521094,4.21292,4.73401
146,0,0.457136,6.07135,6.52849
147,0,0.345156,5.55537,5.90052
148,0,0.405365,5.8187,6.22406
149,0,0.34349,5.89328,6.23677
150,0,0.531198,5.84849,6.37969
151,0,0.32974,4.86614,5.19588
152,0,0.416719,4.87458,5.2913
153,0,0.503125,5.8375,6.34063
154,0,0.346458,5.70427,6.05073
155,0,0.392084,6.29156,6.68365
156,0,0.553177,5.46505,6.01823
157,0,0.490468,5.78464,6.2751
158,0,0.327864,3.35667,3.68453
159,0,0.728073,5.33286,6.06094
160,0,0.50026,5.85755,6.35781
161,0,0.297916,5.72698,6.02489
162,0,0.399739,5.84156,6.2413
163,0,1.12427,4.11224,5.23651
164,0,0.464375,6.67776,7.14214
165,0,0.343646,3.48469,3.82833
166,0,1.29078,5.47328,6.76406
167,0,0.411198,5.81281,6.22401
168,0,0.342135,5.73443,6.07656
169,0,0.525834,5.72781,6.25365
170,0,0.502135,4.66172,5.16385
171,0,0.414167,7.05922,7.47339
172,0,0.388073,3.76953,4.1576
173,0,0.563438,5.39583,5.95927
174,0,0.382604,6.08036,6.46297
175,0,0.293802,6.66604,6.95984
176,0,0.390989,5.90099,6.29198
177,0,0.335156,5.59427,5.92943
178,0,0.38401,5.93161,6.31562
179,0,0.530052,3.41104,3.94109
180,0,0.631979,5.25188,5.88385
181,0,0.362916,6.33203,6.69495
182,0,0.288594,5.66531,5.95391
183,0,0.392083,5.98401,6.37609
184,0,0.355572,4.56625,4.92182
185,0,0.398698,6.42021,6.81891
186,0,0.479271,3.49125,3.97052
187,0,0.358594,5.94135,6.29995
188,0,0.348854,5.8487,6.19755
189,0,0.294063,5.86781,6.16188
190,0,0.467396,5.89995,6.36734
191,0,0.355052,3.34594,3.70099
192,0,0.310729,5.43229,5.74302
193,0,0.488802,6.00641,6.49521
194,0,0.354844,5.72208,6.07693
195,0,0.33224,5.99812,6.33036
196,0,0.319791,4.55396,4.87375
197,0,0.334114,4.65198,4.98609
198,0,0.381875,5.6762,6.05807
199,0,0.309844,5.6,5.90984
200,0,0.455573,6.3037,6.75927
201,0,0.371458,5.71828,6.08974
202,0,0.389271,5.9301,6.31937
203,0,0.330677,3.33349,3.66417
204,0,0.309948,5.98828,6.29823
205,0,0.464792,5.78193,6.24672
206,0,0.345208,5.88542,6.23062
207,0,0.634062,5.72589,6.35995
208,0,0.347708,4.7526,5.10031
209,0,0.466094,6.67036,7.13646
210,0,0.350938,3.63641,3.98734
211,0,0.419739,5.47667,5.89641
212,0,0.388542,5.87276,6.2613
213,0,0.305313,5.98849,6.2938
214,0,0.459115,5.8399,6.29901
215,0,0.346719,4.82568,5.1724
216,0,0.736666,4.38068,5.11734
217,0,0.468229,5.76479,6.23302
218,0,0.438177,5.77813,6.2163
219,0,0.404844,6.27563,6.68047
220,0,0.401771,5.65031,6.05208
221,0,0.49151,5.77953,6.27104
222,0,0.34151,3.29625,3.63776
223,0,0.345729,5.43151,5.77724
224,0,0.386042,5.98667,6.37271
225,0,0.35401,5.72646,6.08047
226,0,0.419896,6.80943,7.22932
227,0,0.445469,5.75276,6.19823
228,0,0.494687,5.88687,6.38156
229,0,0.36474,4.5126,4.87734
230,0,0.355417,4.81161,5.16703
231,0,0.426563,5.87057,6.29714
232,0,0.375468,5.56828,5.94375
233,0,0.404063,5.94594,6.35
234,0,0.49224,6.16115,6.65339
235,0,0.38401,5.81693,6.20094
236,0,0.30901,3.35187,3.66088
237,0,0.264844,5.44292,5.70776
238,0,0.387083,6.1651,6.55219
239,0,0.34375,5.80557,6.14932
240,0,0.40349,6.0251,6.42859
241,0,0.36474,4.52286,4.8876
242,0,0.362083,4.31375,4.67583
243,0,0.344584,5.80432,6.14891
244,0,0.310989,5.73766,6.04864
245,0,0.531146,5.85802,6.38917
246,0,0.315052,5.79271,6.10776
247,0,0.437031,6.21792,6.65495
248,0,0.356198,3.43562,3.79182
249,0,0.269792,5.61177,5.88156
250,0,0.367031,5.84849,6.21552
251,0,0.27526,6.02974,6.305
252,0,0.489375,5.74604,6.23542
253,0,0.300469,4.77438,5.07484
254,0,0.496042,4.02958,4.52562
255,0,0.494062,5.87011,6.36417
256,0,0.308333,5.68214,5.99047
257,0,0.410208,5.79219,6.2024
258,0,0.365573,5.74635,6.11193
259,0,0.532812,5.74812,6.28094
260,0,0.363854,3.29307,3.65693
261,0,0.978437,5.41354,6.39198
262,0,0.488541,5.72734,6.21589
263,0,0.353333,5.4101,5.76344
264,0,0.375521,6.04823,6.42375
265,0,0.359271,3.48438,3.84365
266,0,0.458333,5.05427,5.5126
267,0,0.362448,5.99401,6.35646
268,0,0.307188,6.08729,6.39448
269,0,0.439739,5.8612,6.30094
270,0,0.362708,4.5912,4.95391
271,0,0.416979,3.87927,4.29625
272,0,0.392864,6.15365,6.54651
273,0,0.379375,5.67292,6.05229
274,0,0.407657,6.17594,6.58359
275,0,0.382656,5.87604,6.2587
276,0,0.457448,5.92219,6.37964
277,0,0.352187,4.48089,4.83307
278,0,0.392916,4.56333,4.95625
279,0,0.399843,6.12641,6.52625
280,0,1.75979,5.27859,7.03839
281,0,0.401927,5.91287,6.31479
282,0,0.588177,5.96266,6.55083
283,0,0.469584,6.26562,6.73521
284,0,0.358646,4.64198,5.00063
285,0,0.405312,6.95589,7.3612
286,0,0.517761,3.28401,3.80177
287,0,0.450208,5.3624,5.8126
288,0,0.402187,6.01453,6.41672
289,0,0.416302,5.91182,6.32812
290,0,0.405104,5.76443,6.16953
291,0,0.334636,4.37781,4.71245
292,0,0.359636,4.18687,4.54651
293,0,0.972187,5.37391,6.34609
294,0,0.374271,5.94672,6.32099
295,0,0.436615,6.03734,6.47396
296,0,0.395572,5.86787,6.26344
297,0,0.414843,5.7438,6.15864
298,0,0.338645,3.54104,3.87969
299,0,0.335573,5.31641,5.65198
300,0,0.981302,5.41156,6.39286
301,0,0.367708,5.70125,6.06896
302,0,1.23792,5.45875,6.69667
303,0,0.429479,5.62188,6.05135
304,0,0.395885,5.07745,5.47333
305,0,0.329167,3.5949,3.92406
306,0,0.276823,5.80604,6.08286
307,0,0.428177,5.9087,6.33688
308,0,0.292031,5.42703,5.71906
309,0,0.462604,6.3349,6.7975
310,0,0.375364,3.48052,3.85588
311,0,0.263489,5.62427,5.88776
312,0,0.374584,5.92563,6.30021
313,0,0.276823,5.74297,6.01979
314,0,0.536563,5.68396,6.22052
315,0,0.375782,4.80385,5.17964
316,0,1.28036,3.62458,4.90495
317,0,0.417604,6.31245,6.73005
318,0,0.341563,5.6937,6.03526
319,0,0.403854,5.97859,6.38245
320,0,0.354687,5.74839,6.10307
321,0,0.410989,5.84729,6.25828
322,0,0.347084,3.38104,3.72812
323,0,0.398073,5.56302,5.96109
324,0,0.45849,5.81713,6.27562
325,0,0.352135,5.68625,6.03838
326,0,0.48198,5.77328,6.25526
327,0,0.358125,5.52906,5.88719
328,0,0.459792,3.65755,4.11734
329,0,0.391667,5.86573,6.2574
330,0,0.405572,5.89469,6.30026
331,0,0.520989,5.81813,6.33911
332,0,0.346875,5.60031,5.94719
333,0,0.398802,5.9651,6.36391
334,0,0.395156,3.41495,3.8101
335,0,0.439635,5.16635,5.60599
336,0,0.372135,6.20547,6.5776
337,0,0.485625,5.90401,6.38964
338,0,0.524323,6.01292,6.53724
339,0,0.336771,6.26958,6.60635
340,0,0.375625,5.88307,6.2587
341,0,0.373907,3.45281,3.82672
342,0,0.40375,5.10922,5.51297
343,0,0.394218,6.29083,6.68505
344,0,0.381563,6.13479,6.51635
345,0,0.374375,5.96839,6.34276
346,0,0.292552,5.72891,6.02146
347,0,0.377291,6.27234,6.64963
348,0,0.349166,3.38198,3.73115
349,0,0.357604,5.24891,5.60651
350,0,0.408125,6.96865,7.37677
351,0,0.416094,6.10719,6.52328
352,0,0.423542,5.75969,6.18323
353,0,0.328437,5.67073,5.99917
354,0,0.400521,5.84891,6.24943
355,0,0.366042,3.32443,3.69047
356,0,0.315729,5.38234,5.69807
357,0,0.453125,5.84427,6.2974
358,0,0.347916,5.50859,5.85651
359,0,0.401093,5.80062,6.20172
360,0,0.325729,3.40375,3.72948
361,0,0.336406,5.22984,5.56625
362,0,0.470677,6.05708,6.52776
363,0,0.313802,5.75328,6.06708
364,0,0.54823,5.58099,6.12922
365,0,0.381563,4.49083,4.8724
366,0,0.62948,4.45505,5.08453
367,0,0.390156,5.75307,6.14323
368,0,0.328125,5.7863,6.11443
369,0,0.438698,5.79328,6.23198
370,0,0.424114,5.53521,5.95932
371,0,0.448802,3.55089,3.99969
372,0,0.446406,5.80708,6.25349
373,0,0.852135,5.49526,6.3474
374,0,0.384479,5.90651,6.29099
375,0,0.325417,5.85411,6.17953
376,0,0.506719,5.81958,6.3263
377,0,0.326771,5.71797,6.04474
378,0,0.600469,6.41984,7.02031
379,0,0.34901,3.61849,3.9675
380,0,0.370677,5.17687,5.54755
381,0,0.392656,6.22719,6.61984
382,0,0.632604,5.53037,6.16297
383,0,0.57224,5.68974,6.26198
384,0,0.333334,4.94896,5.28229
385,0,0.561406,3.94708,4.50849
386,0,0.460157,5.96406,6.42422
387,0,0.354063,5.69786,6.05193
388,0,0.371458,5.86432,6.23578
389,0,0.401979,5.75354,6.15552
390,0,0.4075,4.97865,5.38614
391,0,0.308282,3.65026,3.95854
392,0,0.38427,6.01068,6.39495
393,0,0.523073,5.7813,6.30438
394,0,0.291823,4.43604,4.72786
395,0,0.299062,4.01672,4.31578
396,0,0.352031,6.01615,6.36818
397,0,0.352083,5.59161,5.9437
398,0,0.374843,6.02177,6.39661
399,0,0.579427,5.56276,6.14219
400,0,0.497864,6.03615,6.53401
401,0,0.292031,4.46021,4.75224
402,0,0.36125,4.48589,4.84714
403,0,0.370729,5.85073,6.22146
404,0,0.355469,5.82536,6.18083
405,0,0.394427,6.09776,6.49219
406,0,0.405781,5.85807,6.26385
407,0,0.41349,6.14703,6.56052
408,0,0.350678,4.75891,5.10958
409,0,0.834166,3.76427,4.59844
410,0,0.566406,5.81672,6.38312
411,0,0.329323,5.98474,6.31406
412,0,0.376146,6.26318,6.63932
413,0,0.355625,5.79323,6.14885
414,0,0.419323,6.01271,6.43203
415,0,0.365313,4.7351,5.10042
416,0,0.460625,4.26953,4.73016
417,0,0.475677,5.76766,6.24333
418,0,0.32323,5.96734,6.29057
419,0,0.444167,3.48859,3.93276
420,0,0.436302,8.23729,8.67359
421,0,0.411302,5.01599,5.42729
422,0,0.350416,3.6074,3.95781
423,0,0.299271,5.84245,6.14172
424,0,0.422761,5.85948,6.28224
425,0,0.318021,5.37234,5.69036
426,0,0.474323,5.39547,5.86979
427,0,0.352917,3.91906,4.27198
428,0,0.25375,5.70208,5.95583
429,0,0.38526,5.86688,6.25213
430,0,0.269167,4.75578,5.02495
431,0,0.519428,6.64021,7.15964
432,0,0.36573,3.34672,3.71245
433,0,0.318229,5.62412,5.94234
434,0,0.437135,5.98599,6.42312
435,0,0.324844,5.64828,5.97312
436,0,0.369323,6.01938,6.3887
437,0,0.32026,4.92594,5.2462
438,0,0.49625,5.81588,6.31213
439,0,0.36151,4.19823,4.55974
440,0,1.45255,5.50802,6.96057
441,0,0.446042,6.13953,6.58557
442,0,0.354583,5.62234,5.97693
443,0,0.404375,6.17568,6.58005
444,0,0.82927,4.52339,5.35266
445,0,0.506927,7.08615,7.59307
446,0,0.331042,3.49375,3.82479
447,0,0.702291,5.12641,5.8287
448,0,0.496667,5.76708,6.26375
449,0,0.362343,5.89187,6.25422
450,0,0.411354,5.93141,6.34276
451,0,0.388542,5.4676,5.85615
452,0,0.374166,6.8674,7.24156
453,0,0.374583,4.79172,5.1663
454,0,0.832343,3.62771,4.46005
455,0,0.403438,5.82396,6.2274
456,0,0.331302,5.84583,6.17714
457,0,0.47875,5.93849,6.41724
458,0,1.22844,4.50537,5.7338
459,0,0.434636,3.96338,4.39802
460,0,0.352448,6.15667,6.50912
461,0,0.397552,5.42635,5.82391
462,0,0.389114,5.97469,6.3638
463,0,0.317396,5.47443,5.79182
464,0,0.397708,6.18271,6.58042
465,0,0.381771,4.53,4.91177
466,0,0.77125,3.96068,4.73193
467,0,1.05828,5.26042,6.3187
468,0,0.363645,5.83938,6.20302
469,0,0.394844,5.88594,6.28078
470,0,0.321146,5.76469,6.08583
471,0,0.377709,5.02588,5.40359
472,0,0.364166,4.16505,4.52922
473,0,0.321198,5.81682,6.13802
474,0,0.472708,6.00557,6.47828
475,0,0.365209,5.99349,6.3587
476,0,0.413073,5.84589,6.25896
477,0,0.326302,4.82484,5.15115
478,0,0.482396,3.81896,4.30136
479,0,0.410105,6.13021,6.54031
480,0,0.291041,5.7487,6.03974
481,0,0.5425,5.86771,6.41021
482,0,0.30849,5.59859,5.90708
483,0,0.577083,4.85797,5.43505
484,0,0.28323,3.74906,4.03229
485,0,0.250312,5.73177,5.98208
486,0,0.460313,5.71042,6.17073
487,0,0.282552,5.50901,5.79156
488,0,0.491562,3.5824,4.07396
489,0,0.41677,5.7888,6.20557
490,0,0.902656,5.58849,6.49115
491,0,0.407552,5.82078,6.22833
492,0,0.351718,5.59786,5.94958
493,0,0.498854,5.84729,6.34615
494,0,0.343698,4.87875,5.22245
495,0,0.504688,3.87052,4.37521
496,0,0.396042,5.955,6.35104
497,0,0.309219,5.65708,5.9663
498,0,0.365989,6.23161,6.5976
499,0,0.356354,5.49938,5.85573
500,0,0.456927,5.08276,5.53969
501,0,0.343437,4.02854,4.37198
502,0,0.389427,6.06167,6.45109
503,0,0.543333,5.78734,6.33068
504,0,0.337864,5.44703,5.7849
505,0,0.396719,6.19531,6.59203
506,0,0.481667,4.53922,5.02089
507,0,0.474792,4.12432,4.59912
508,0,0.356667,5.92292,6.27958
509,0,0.547396,6.24729,6.79469
510,0,0.442136,5.9026,6.34474
511,0,0.354427,5.48016,5.83458
512,0,0.390938,5.10349,5.49443
513,0,0.458021,4.30088,4.75891
514,0,0.374323,5.19234,5.56667
515,0,0.401771,6.06516,6.46693
516,0,0.422291,5.51708,5.93938
517,0,0.427656,5.94245,6.3701
518,0,0.339584,4.35948,4.69906
519,0,0.348385,4.29031,4.6387
520,0,0.401667,6.16776,6.56943
521,0,0.416719,5.72354,6.14026
522,0,0.386198,6.17458,6.56078
523,0,0.377604,5.75365,6.13125
524,0,0.425365,6.64016,7.06552
525,0,0.329844,4.52307,4.85292
526,0,0.423281,3.95708,4.38037
527,0,0.508906,5.83682,6.34573
528,0,0.344427,6.03698,6.38141
529,0,0.523021,6.01568,6.5387
530,0,0.362343,3.29208,3.65443
531,0,0.514166,4.7288,5.24297
532,0,0.412031,5.87391,6.28594
533,0,0.393906,5.91963,6.31354
534,0,0.46526,5.89302,6.35828
535,0,0.36401,5.80771,6.17172
536,0,0.574479,6.20953,6.78401
537,0,0.454271,4.59969,5.05396
538,0,0.378125,3.95411,4.33224
539,0,0.417083,6.16891,6.58599
540,0,0.402812,6.02536,6.42818
541,0,0.415156,5.77984,6.195
542,0,0.384948,4.87125,5.2562
543,0,0.710989,4.01167,4.72266
544,0,0.440313,5.81047,6.25078
545,0,0.3575,5.63156,5.98906
546,0,0.421302,4.98505,5.40635
547,0,0.423646,6.13932,6.56297
548,0,0.435052,5.80787,6.24292
549,0,0.343177,3.39354,3.73672
550,0,0.401823,5.56786,5.96969
551,0,0.435521,5.92656,6.36208
552,0,0.324687,5.70042,6.0251
553,0,0.380729,5.79396,6.17469
554,0,0.326718,5.73318,6.0599
555,0,0.438594,5.24677,5.68537
556,0,0.340521,3.69333,4.03385
557,0,0.358125,5.97047,6.32859
558,0,0.464114,6.0876,6.55172
559,0,0.320677,5.61161,5.93229
560,0,0.408125,5.85333,6.26146
561,0,0.360156,3.42542,3.78557
562,0,2.23781,4.27057,6.50838
563,0,0.405,5.88547,6.29047
564,0,0.585885,6.04359,6.62948
565,0,0.5425,6.54057,7.08307
566,0,0.347448,5.7213,6.06875
567,0,0.441927,5.84787,6.28979
