frame,decode_ms,render_ms,total_ms
0,685.19,6.32948,691.52
1,85.6951,5.45693,91.152
2,3.43703,3.82953,7.26656
3,2.77886,3.64786,6.42672
4,3.16094,4.1763,7.33724
5,3.13766,3.4774,6.61505
6,2.52229,3.58047,6.10276
7,2.91906,4.16443,7.08349
8,3.00458,3.38427,6.38886
9,3.54255,3.72057,7.26312
10,3.09437,4.29729,7.39167
11,2.79338,3.67974,6.47312
12,3.65797,3.52104,7.17901
13,2.98255,3.40224,6.38479
14,2.99568,3.44578,6.44146
15,3.10578,3.84141,6.94719
16,3.05104,3.9963,7.04734
17,3.51031,3.83208,7.34239
18,3.32776,3.46969,6.79745
19,2.77729,3.4175,6.19479
20,2.9599,3.49854,6.45844
21,3.23984,3.58787,6.82771
22,3.11036,3.5049,6.61526
23,3.54656,3.98349,7.53005
24,3.37083,3.44411,6.81495
25,2.84719,3.43057,6.27776
26,2.9775,3.58448,6.56198
27,3.61453,3.64297,7.2575
28,2.975,3.52505,6.50005
29,3.41849,3.56266,6.98115
30,2.99344,3.5726,6.56604
31,3.02026,3.5276,6.54786
32,2.89495,3.61875,6.5137
33,4.26339,3.90901,8.1724
34,3.11276,5.22797,8.34073
35,3.2976,3.63979,6.9374
36,3.04943,3.61037,6.65979
37,4.55021,4.13005,8.68026
38,3.75172,3.6375,7.38922
39,3.53323,3.61469,7.14792
40,3.52484,3.53672,7.06156
41,4.64698,3.46156,8.10854
42,3.16276,3.65792,6.82068
43,3.56302,5.45573,9.01875
44,3.81047,3.58682,7.39729
45,5.92734,4.49745,10.4248
46,5.04292,7.00167,12.0446
47,7.40385,3.76042,11.1643
48,4.17516,4.51021,8.68536
49,2.60828,3.46943,6.07771
50,3.91318,4.21443,8.1276
51,2.71792,3.55318,6.27109
52,3.5363,4.18693,7.72323
53,3.04484,3.37328,6.41812
54,3.14026,4.34802,7.48828
55,2.40953,3.45344,5.86297
56,5.23943,4.53146,9.77088
57,2.91958,4.36974,7.28932
58,2.47073,4.33833,6.80906
59,2.35516,4.21307,6.56823
60,5.27302,3.38599,8.65901
61,2.93318,4.27609,7.20927
62,5.57792,3.5899,9.16781
63,3.40755,4.11557,7.52313
64,4.1812,3.38745,7.56865
65,3.07542,6.69677,9.77219
66,2.47776,4.22625,6.70401
67,4.92052,3.02182,7.94234
68,2.44547,4.07906,6.52453
69,4.5049,3.25745,7.76234
70,2.04385,3.91969,5.96354
71,4.8825,3.36078,8.24328
72,2.66516,3.85042,6.51557
73,4.90375,3.08542,7.98917
74,2.5574,3.33214,5.88953
75,4.5675,3.09266,7.66016
76,3.56823,2.87734,6.44557
77,4.71026,3.03474,7.745
78,2.08161,3.5712,5.65281
79,4.50068,3.15724,7.65792
80,2.05297,3.88854,5.94151
81,4.53745,2.93021,7.46766
82,2.68333,3.35427,6.0376
83,2.36313,4.83453,7.19766
84,1.92036,3.21896,5.13932
85,2.46224,5.10911,7.57135
86,1.86708,2.78984,4.65693
87,2.81073,3.21182,6.02255
88,4.20891,2.91328,7.12219
89,2.59781,2.57224,5.17005
90,4.30427,2.57625,6.88052
91,2.41792,3.24797,5.66589
92,2.56338,4.72136,7.28474
93,1.86261,3.23427,5.09687
94,1.80214,3.18818,4.99031
95,3.86833,2.59354,6.46188
96,2.90328,3.58338,6.48667
97,3.55531,2.54391,6.09922
98,1.77203,3.22505,4.99708
99,2.94745,4.65104,7.59849
100,1.92885,3.21177,5.14062
101,1.94401,3.29792,5.24193
102,3.9601,2.56292,6.52302
103,2.56729,2.80505,5.37234
104,4.11479,2.54344,6.65823
105,1.70396,3.26479,4.96875
106,3.0337,4.64797,7.68167
107,2.10615,3.28812,5.39427
108,2.25505,5.19042,7.44547
109,1.98188,2.71151,4.69339
