frame,decode_ms,render_ms,total_ms
0,707.751,70.056,777.807
1,77.9757,6.23333,84.209
2,0.652552,5.15635,5.80891
3,0.374739,5.18938,5.56411
4,0.329531,4.41135,4.74088
5,0.358646,9.52542,9.88406
6,0.433698,3.57604,4.00974
7,0.311407,5.12083,5.43224
8,0.555886,6.23839,6.79427
9,0.430833,5.15974,5.59057
10,0.427135,7.52167,7.9488
11,0.346875,4.80042,5.14729
12,0.317864,6.17615,6.49401
13,0.51625,5.44713,5.96338
14,0.29375,5.60828,5.90203
15,0.569896,3.74375,4.31365
16,0.408438,6.12214,6.53057
17,0.332084,5.15594,5.48802
18,0.400885,6.6263,7.02719
19,0.369115,4.26969,4.6388
20,0.56526,3.43432,3.99958
21,0.435729,6.15286,6.58859
22,0.435521,5.35672,5.79224
23,0.423698,3.44672,3.87042
24,0.429166,8.22573,8.6549
25,0.36349,3.12427,3.48776
26,0.346094,4.42135,4.76745
27,1.04219,6.47292,7.5151
28,0.361771,3.20521,3.56698
29,0.396979,8.39375,8.79073
30,0.417709,3.17276,3.59047
31,0.322396,4.27729,4.59969
32,0.363177,6.81323,7.17641
33,0.340312,3.30344,3.64375
34,1.98786,7.59073,9.57859
35,0.371042,3.04474,3.41578
36,0.319948,4.53281,4.85276
37,0.541771,6.7799,7.32167
38,0.375677,4.6601,5.03578
39,0.425468,6.9324,7.35786
40,0.579167,3.26349,3.84266
41,0.671771,4.3387,5.01047
42,0.40901,7.01063,7.41964
43,0.408125,4.86885,5.27698
44,0.492761,6.76766,7.26042
45,0.368229,3.22464,3.59286
46,0.504844,5.61667,6.12151
47,0.378333,5.93427,6.3126
48,0.433385,4.45911,4.8925
49,0.414375,6.59203,7.00641
50,0.727708,3.53224,4.25995
51,0.513594,4.97042,5.48401
52,0.396511,5.59266,5.98917
53,0.408802,4.86255,5.27135
54,0.373386,6.82948,7.20287
55,0.373593,3.22443,3.59802
56,0.419532,4.95432,5.37385
57,0.451198,6.00724,6.45844
58,0.418489,4.40911,4.8276
59,0.53177,6.64198,7.17375
60,0.331875,3.09354,3.42542
61,0.314427,5.79833,6.11276
62,0.371562,5.84318,6.21474
63,0.371927,4.40203,4.77396
64,0.400417,6.60713,7.00755
65,0.457084,3.20948,3.66656
66,0.413073,5.66292,6.07599
67,0.394739,5.59229,5.98703
68,0.313333,4.55802,4.87135
69,0.397969,6.75026,7.14823
70,0.380469,3.03422,3.41469
71,0.389115,4.29505,4.68417
72,0.365416,7.44276,7.80818
73,0.376979,4.48865,4.86562
74,0.418229,6.77026,7.18849
75,0.352343,3.18839,3.54073
76,0.824948,5.57792,6.40287
77,0.453281,5.53167,5.98495
78,0.32849,4.4376,4.76609
79,0.494531,6.81448,7.30901
80,0.38901,3.22912,3.61813
81,0.528125,4.98479,5.51292
82,0.361458,5.94271,6.30417
83,0.30849,4.315,4.62349
84,0.518802,6.67646,7.19526
85,0.357813,3.25698,3.61479
86,0.349427,4.44651,4.79594
87,0.647344,7.06917,7.71651
88,0.33849,4.61875,4.95724
89,0.378438,6.7701,7.14854
90,0.333385,3.26177,3.59516
91,0.682031,5.38828,6.07031
92,0.408854,5.60745,6.0163
93,0.310938,4.44328,4.75422
94,0.578489,6.80453,7.38302
95,0.350365,3.22026,3.57063
96,0.43224,5.14812,5.58036
97,0.328437,5.73969,6.06813
98,0.319427,4.30838,4.62781
99,0.413698,6.59656,7.01026
100,0.325,3.265,3.59
101,0.471562,4.57766,5.04922
102,0.707135,6.825,7.53214
103,0.327136,4.39583,4.72297
104,0.389583,6.83964,7.22922
105,0.339791,3.24396,3.58375
106,1.72224,7.66271,9.38495
107,0.358386,3.26594,3.62432
108,0.404583,4.5099,4.91448
109,0.467344,6.68385,7.1512
110,0.357657,4.6076,4.96526
111,0.414844,7.05823,7.47307
112,0.481302,3.28458,3.76588
113,0.354166,6.36245,6.71661
114,0.388645,5.7699,6.15854
115,0.49901,4.53875,5.03776
116,0.5025,6.65651,7.15901
117,0.357604,3.57583,3.93344
118,0.371094,5.01089,5.38198
119,0.39125,5.74354,6.13479
120,0.393542,4.48213,4.87568
121,0.412396,7.12214,7.53453
122,0.481458,3.15021,3.63167
123,0.36026,5.39833,5.75859
124,0.361354,5.70745,6.0688
125,0.327187,4.59917,4.92635
126,0.406875,6.75463,7.16151
127,0.368333,3.19021,3.55854
128,0.342812,5.55323,5.89604
129,0.445312,5.65505,6.10036
130,0.412917,4.45984,4.87276
131,0.396771,6.76016,7.15693
132,0.334271,3.15292,3.48719
133,0.290729,4.43094,4.72167
134,0.545208,6.63912,7.18432
