frame,parse_ms,upload_ms,gpu_ms,total_ms,deadline_miss
0,0.833021,0.041562,1.25927,2.62531,0
1,0.45026,0.011407,1.25969,1.99365,0
2,0.450781,0.013646,3.37156,4.11401,0
3,0.467916,0.01276,1.25786,2.04948,0
4,0.603333,0.014531,1.25641,4.21188,0
5,0.740573,0.014219,1.25802,2.3937,0
6,0.523073,0.015417,1.27339,2.14604,0
7,0.516094,0.016979,2.46161,3.81422,0
8,0.543489,0.018594,1.25672,2.07797,0
9,0.618334,0.022083,2.24995,3.13656,0
10,0.545937,0.02,2.25458,5.65797,0
11,0.624583,0.025677,1.27349,2.32339,0
12,0.560937,0.015209,2.47958,3.5876,0
13,0.582864,0.011615,1.25776,2.49734,0
14,0.590417,0.011823,1.25609,2.49589,0
15,0.972552,0.021823,1.25589,5.44104,0
16,0.588802,0.011719,1.27333,2.20984,0
17,0.639948,0.011198,1.25693,3.49995,0
18,0.539166,0.014271,1.2588,2.19036,0
19,0.516979,0.013542,1.25651,2.38505,0
20,0.517031,0.017447,1.25609,5.25089,0
21,0.591146,0.012031,1.25656,2.18026,0
22,0.517605,0.02151,1.25687,3.01443,0
23,0.538854,0.014687,2.46005,3.36505,0
24,0.509688,0.013958,1.25656,2.02234,0
25,0.513958,0.02474,2.25979,4.84448,0
26,0.851719,0.015417,1.25714,2.46963,0
27,0.54625,0.017083,1.2576,2.65094,0
28,0.51198,0.013229,3.36094,4.15557,0
29,0.57052,0.014635,1.25797,2.07047,0
30,0.606927,0.046355,1.25771,4.67651,0
31,0.620938,0.046198,1.25656,2.22224,0
32,0.506354,0.012656,1.25823,2.33297,0
33,0.508542,0.014948,3.37068,4.1749,0
34,0.538594,0.015313,1.25964,2.12875,0
35,0.528125,0.015469,1.25557,3.99912,0
36,0.706511,0.01875,1.2587,2.36187,0
37,0.541928,0.019531,1.25672,2.13443,0
38,0.514271,0.014062,3.37974,4.19005,0
39,0.529844,0.015208,1.25839,2.07594,0
40,0.527396,0.030886,1.25536,3.82693,0
41,0.61224,0.016094,1.2575,2.23583,0
42,0.571719,0.011563,1.27359,2.23667,0
43,0.584583,0.022553,2.44896,4.09563,0
44,0.506667,0.017812,1.25776,2.13042,0
45,0.530573,0.017031,1.25568,3.36208,0
46,0.501771,0.022083,1.25651,2.11599,0
47,0.522135,0.017292,1.27286,2.16318,0
48,0.563594,0.015261,2.45656,3.81365,0
49,0.585208,0.010886,1.25891,2.11807,0
50,0.609375,0.015521,1.2612,2.77641,0
51,0.886927,0.021667,2.25672,5.44505,0
52,0.528698,0.024427,1.27458,2.16828,0
53,0.503281,0.016146,2.44687,3.28974,0
54,0.629115,0.016927,1.25818,2.27365,0
55,0.561094,0.015365,1.25828,2.68448,0
56,0.504323,0.020469,1.25589,5.39745,0
57,0.510469,0.017396,1.27328,2.11266,0
58,0.541823,0.018281,1.25698,3.56495,0
59,0.591511,0.014791,1.25828,2.27312,0
60,0.782447,0.012187,1.25583,2.30557,0
61,0.621042,0.034427,1.25672,5.85198,0
62,0.542812,0.082761,1.25724,2.37886,0
63,0.521927,0.015468,1.25687,3.00896,0
64,0.519948,0.014635,2.43615,3.24453,0
65,0.508542,0.01651,1.25625,2.20911,0
66,0.539427,0.02026,1.25802,4.73604,0
67,0.558386,0.019062,1.25651,2.18088,0
68,0.598594,0.033907,1.25724,2.58141,0
69,0.553958,0.014428,3.37417,4.24375,0
70,0.612552,0.019063,1.25656,2.11995,0
71,0.536458,0.018385,2.26557,4.02068,0
72,0.655677,0.019687,1.25807,2.31365,0
73,0.588854,0.019636,1.25901,2.29557,0
74,0.53125,0.019167,3.36661,4.21354,0
75,0.506875,0.026042,1.2575,2.26495,0
76,0.616354,0.035885,1.2575,3.1874,0
77,0.595156,0.020312,1.2574,2.30437,0
78,0.448282,0.012656,1.2574,2.13563,0
79,1.25063,0.01302,2.45125,4.69365,0
80,0.640469,0.013281,1.25953,2.20349,0
81,0.594844,0.013177,1.25682,3.49219,0
82,0.582813,0.013073,1.25615,2.16604,0
83,0.524166,0.01526,1.2738,2.20323,0
84,0.520678,0.014375,2.44823,4.01568,0
85,0.539375,0.014948,1.25839,2.08135,0
86,0.537239,0.020261,1.26083,2.86495,0
87,0.900469,0.389948,1.26104,5.6874,0
88,0.579948,0.01125,1.27385,2.17167,0
89,0.546875,0.015052,2.44552,3.62531,0
90,0.550052,0.018386,1.25755,2.09162,0
91,0.545052,0.01474,1.25802,2.91844,0
92,0.741354,0.014583,1.25625,5.35448,0
93,0.587448,0.036614,1.27333,2.29427,0
94,0.509375,0.015208,2.4575,3.3637,0
95,0.51724,0.013906,1.25792,2.0575,0
96,0.508125,0.013854,1.25609,2.25568,0
97,0.514427,0.048125,1.26068,5.36099,0
98,0.511406,0.036719,1.27828,2.23573,0
99,0.500052,0.014792,2.44182,3.26115,0
100,0.522865,0.015052,2.46089,3.31667,0
101,0.858593,0.016875,1.25802,2.3988,0
102,0.683438,0.017448,1.25552,4.65615,0
103,0.658125,0.017395,1.25667,2.23536,0
104,1.10339,0.01552,1.2576,2.92974,0
105,0.519687,0.014896,2.48786,3.35156,0
106,0.51,0.01401,1.25693,1.97151,0
107,0.523855,0.015416,2.25901,4.23406,0
108,0.59224,0.019792,1.25729,2.20604,0
109,0.513594,0.013698,1.25828,2.57276,0
110,0.683438,0.014583,3.36245,4.3337,0
111,0.557083,0.014427,1.25833,2.17563,0
112,0.50948,0.015416,1.2588,4.31057,0
113,0.502969,0.017135,1.2576,2.09318,0
114,0.519584,0.014375,1.25708,2.23136,0
115,0.514896,0.014323,3.3676,4.22938,0
116,0.56099,0.013333,1.26109,2.16708,0
117,0.542656,0.014479,1.2575,3.98557,0
118,0.512032,0.01776,1.25714,2.16438,0
119,0.589792,0.017291,1.25724,2.14484,0
120,0.523489,0.017343,3.64271,4.49219,0
121,0.510313,0.01625,1.25641,2.03661,0
122,0.564948,0.025313,1.25781,3.98766,0
123,0.629636,0.017344,1.26234,2.2987,0
124,0.502292,0.012917,1.27786,2.1287,0
125,0.512188,0.015885,2.46276,4.13089,0
126,0.564948,0.018021,1.25854,2.10589,0
127,0.564739,0.01599,1.25844,3.51969,0
128,0.579792,0.012708,1.25667,2.17807,0
129,0.606407,0.021406,1.27521,2.27214,0
130,0.552917,0.036406,2.48839,3.97922,0
131,0.5075,0.013802,1.25844,2.08969,0
132,0.521771,0.018438,1.25766,2.81182,0
133,0.53776,0.016615,1.25937,2.23531,0
134,0.596823,0.014948,1.27495,2.25312,0
135,0.503385,0.01349,2.44474,3.46583,0
136,0.562135,0.01875,1.25937,2.22036,0
137,0.578958,0.022395,1.25714,2.6762,0
138,0.533177,0.018698,1.2551,5.51031,0
139,0.575573,0.01224,1.27297,2.1687,0
140,0.825833,0.012865,1.25745,3.25943,0
141,0.574948,0.015781,1.25969,2.22953,0
142,0.618698,0.012136,1.25609,2.49755,0
143,0.619636,0.012708,2.28276,5.31536,0
144,0.595729,0.012604,1.2588,2.30938,0
145,0.534427,0.018281,1.25818,2.92297,0
146,0.514688,0.014687,2.45125,3.25193,0
147,0.652448,0.018593,1.25771,2.66297,0
148,0.554532,0.013437,1.25781,5.2763,0
149,0.493229,0.013958,1.25729,2.05958,0
150,0.50323,0.01276,1.2575,2.60271,0
151,0.5125,0.013906,3.36,4.16287,0
152,0.511562,0.014427,1.2576,2.02385,0
153,0.546042,0.014792,1.25568,4.42479,0
154,0.549375,0.019062,1.25953,2.25896,0
155,0.511354,0.028854,1.25943,2.33948,0
156,0.535834,0.013802,3.36875,4.19302,0
157,0.525469,0.013073,1.25786,2.1163,0
158,0.552292,0.015104,1.25521,4.44516,0
159,0.51276,0.014427,1.25745,2.1238,0
160,0.50026,0.015104,1.25729,2.08792,0
161,0.526927,0.026979,3.39818,4.38349,0
162,0.65724,0.013802,1.25708,2.20187,0
163,0.612656,0.014584,1.25615,4.39104,0
164,0.584844,0.012291,1.25677,2.17651,0
165,0.596667,0.012708,1.25719,2.26104,0
166,1.26776,0.015417,1.25807,4.61068,0
167,0.616667,0.012552,1.2563,2.13776,0
168,0.591979,0.014115,2.25552,3.53255,0
169,0.53224,0.0225,1.2626,2.1537,0
170,0.562708,0.014375,1.27505,2.20948,0
171,0.516562,0.015104,2.44812,4.12635,0
172,0.540052,0.016093,1.26385,2.14786,0
173,0.539583,0.016042,1.26021,3.53146,0
