frame 0: 141047 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.411  submit 728.610  passA 2.185  passW 0.000  passB 6.806  gpu 8.991  total 738.280 ms
frame 1: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.298  submit 0.556  passA 2.500  passW 0.000  passB 6.902  gpu 9.402  total 14.724 ms
frame 2: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.343  submit 0.629  passA 2.483  passW 0.000  passB 9.708  gpu 12.191  total 16.997 ms
frame 3: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.396  submit 0.387  passA 3.366  passW 0.000  passB 8.536  gpu 11.903  total 17.527 ms
frame 4: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.398  submit 0.992  passA 2.336  passW 0.000  passB 7.722  gpu 10.058  total 13.924 ms
frame 5: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.464  submit 0.472  passA 2.109  passW 0.000  passB 7.214  gpu 9.324  total 12.517 ms
frame 6: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.502  submit 0.513  passA 2.636  passW 0.000  passB 6.426  gpu 9.062  total 11.335 ms
frame 7: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.447  passA 1.859  passW 0.000  passB 5.296  gpu 7.156  total 9.272 ms
frame 8: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.472  submit 0.492  passA 1.781  passW 0.000  passB 5.281  gpu 7.062  total 11.682 ms
frame 9: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.429  passA 1.639  passW 0.000  passB 4.389  gpu 6.028  total 10.912 ms
frame 10: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.004  submit 0.404  passA 1.774  passW 0.000  passB 6.458  gpu 8.232  total 10.870 ms
frame 11: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.429  submit 0.420  passA 2.796  passW 0.000  passB 6.599  gpu 9.395  total 11.648 ms
frame 12: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.440  submit 0.388  passA 1.768  passW 0.000  passB 5.195  gpu 6.963  total 9.088 ms
frame 13: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.142  submit 0.372  passA 1.787  passW 0.000  passB 5.175  gpu 6.962  total 11.134 ms
frame 14: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.417  submit 0.383  passA 1.744  passW 0.000  passB 6.481  gpu 8.225  total 9.214 ms
frame 15: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.630  submit 0.455  passA 2.658  passW 0.000  passB 6.450  gpu 9.107  total 11.322 ms
frame 16: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.398  submit 0.402  passA 1.903  passW 0.000  passB 5.192  gpu 7.095  total 9.267 ms
frame 17: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.323  submit 0.434  passA 1.819  passW 0.000  passB 5.264  gpu 7.083  total 11.333 ms
frame 18: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.431  submit 0.384  passA 1.747  passW 0.000  passB 6.558  gpu 8.305  total 9.298 ms
frame 19: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.429  submit 0.411  passA 2.725  passW 0.000  passB 6.450  gpu 9.175  total 11.321 ms
frame 20: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.445  submit 0.448  passA 1.763  passW 0.000  passB 5.208  gpu 6.971  total 9.193 ms
frame 21: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.498  submit 2.011  passA 1.770  passW 0.000  passB 5.145  gpu 6.915  total 11.203 ms
frame 22: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.392  submit 0.380  passA 1.750  passW 0.000  passB 6.541  gpu 8.292  total 9.206 ms
frame 23: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.418  submit 0.410  passA 2.846  passW 0.000  passB 6.494  gpu 9.341  total 11.524 ms
frame 24: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.465  submit 0.397  passA 1.732  passW 0.000  passB 5.178  gpu 6.910  total 9.129 ms
frame 25: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.476  submit 0.506  passA 1.775  passW 0.000  passB 5.164  gpu 6.939  total 11.606 ms
frame 26: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.087  submit 0.440  passA 4.215  passW 0.000  passB 4.388  gpu 8.604  total 10.274 ms
frame 27: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.398  submit 0.405  passA 1.737  passW 0.000  passB 6.561  gpu 8.298  total 11.185 ms
frame 28: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.399  passA 2.973  passW 0.000  passB 6.482  gpu 9.456  total 11.608 ms
frame 29: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.480  submit 0.397  passA 1.774  passW 0.000  passB 5.204  gpu 6.978  total 9.115 ms
frame 30: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.488  submit 1.441  passA 1.765  passW 0.000  passB 5.141  gpu 6.907  total 12.601 ms
frame 31: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.428  submit 0.393  passA 3.999  passW 0.000  passB 4.363  gpu 8.362  total 9.322 ms
frame 32: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.397  submit 0.736  passA 2.720  passW 0.000  passB 6.490  gpu 9.210  total 11.417 ms
frame 33: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.394  submit 0.393  passA 1.701  passW 0.000  passB 5.249  gpu 6.951  total 9.103 ms
frame 34: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.475  submit 0.447  passA 1.866  passW 0.000  passB 5.175  gpu 7.041  total 11.303 ms
frame 35: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.478  submit 0.390  passA 3.896  passW 0.000  passB 4.390  gpu 8.287  total 9.491 ms
frame 36: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.422  submit 1.916  passA 1.780  passW 0.000  passB 6.424  gpu 8.205  total 10.944 ms
frame 37: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.404  submit 0.386  passA 1.784  passW 0.000  passB 7.405  gpu 9.189  total 11.374 ms
frame 38: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.409  submit 0.495  passA 1.802  passW 0.000  passB 5.184  gpu 6.986  total 9.058 ms
frame 39: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.390  submit 0.370  passA 3.789  passW 0.000  passB 4.428  gpu 8.218  total 9.170 ms
frame 40: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.499  submit 0.472  passA 1.776  passW 0.000  passB 6.475  gpu 8.251  total 11.080 ms
frame 41: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.402  submit 1.147  passA 1.787  passW 0.000  passB 5.265  gpu 7.052  total 9.236 ms
frame 42: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.475  submit 0.526  passA 1.702  passW 0.000  passB 5.275  gpu 6.977  total 11.434 ms
frame 43: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.458  submit 0.452  passA 3.940  passW 0.000  passB 4.378  gpu 8.319  total 9.405 ms
frame 44: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.477  submit 0.502  passA 2.603  passW 0.000  passB 6.479  gpu 9.082  total 11.221 ms
frame 45: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.497  submit 0.491  passA 1.816  passW 0.000  passB 5.177  gpu 6.992  total 9.245 ms
frame 46: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.473  submit 0.469  passA 1.844  passW 0.000  passB 5.162  gpu 7.006  total 11.236 ms
frame 47: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.532  submit 0.553  passA 3.939  passW 0.000  passB 4.421  gpu 8.360  total 9.618 ms
frame 48: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.461  submit 0.482  passA 1.683  passW 0.000  passB 6.495  gpu 8.178  total 11.076 ms
frame 49: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.538  submit 0.639  passA 1.792  passW 0.000  passB 7.302  gpu 9.094  total 11.407 ms
frame 50: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.466  submit 0.461  passA 1.850  passW 0.000  passB 5.205  gpu 7.055  total 9.193 ms
frame 51: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.498  submit 0.449  passA 3.886  passW 0.000  passB 4.335  gpu 8.222  total 9.299 ms
frame 52: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.490  submit 0.455  passA 1.824  passW 0.000  passB 6.571  gpu 8.395  total 11.288 ms
frame 53: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.499  submit 0.480  passA 1.895  passW 0.000  passB 7.283  gpu 9.178  total 11.419 ms
frame 54: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.478  submit 0.532  passA 1.719  passW 0.000  passB 5.214  gpu 6.934  total 9.148 ms
frame 55: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.504  passA 3.938  passW 0.000  passB 4.355  gpu 8.293  total 9.401 ms
frame 56: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.487  submit 0.447  passA 1.824  passW 0.000  passB 6.670  gpu 8.494  total 11.386 ms
frame 57: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.409  submit 0.416  passA 1.714  passW 0.000  passB 7.375  gpu 9.089  total 11.238 ms
frame 58: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.491  submit 0.443  passA 1.761  passW 0.000  passB 5.218  gpu 6.979  total 9.233 ms
frame 59: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.146  submit 0.433  passA 1.918  passW 0.000  passB 5.267  gpu 7.185  total 11.263 ms
decode-throughput status complete (decode-only, --no-out): 60 frames, 1.389651 s, 43.176 fps, frame wall ms max 738.283 p50 11.135 p95 14.726 p99 738.283, <=4.167ms 0.0%
60 frame(s), 4352x2176 yuv420p on Adreno (TM) 650
