frame 0: 141047 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 777.785  passA 4.972  passW 0.000  passB 13.572  gpu 18.543  total 796.973 ms
frame 1: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.373  submit 0.750  passA 2.324  passW 0.000  passB 13.469  gpu 15.793  total 18.782 ms
frame 2: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.553  submit 0.706  passA 2.461  passW 0.000  passB 13.460  gpu 15.922  total 24.966 ms
frame 3: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.484  submit 0.438  passA 4.694  passW 0.000  passB 9.525  gpu 14.220  total 21.056 ms
frame 4: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.484  submit 0.488  passA 1.928  passW 0.000  passB 10.397  gpu 12.325  total 19.121 ms
frame 5: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.454  passA 2.713  passW 0.000  passB 9.539  gpu 12.252  total 14.422 ms
frame 6: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 0.510  passA 2.659  passW 0.000  passB 9.508  gpu 12.167  total 14.355 ms
frame 7: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.513  submit 0.557  passA 2.587  passW 0.000  passB 9.408  gpu 11.995  total 14.299 ms
frame 8: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.464  submit 0.626  passA 1.875  passW 0.000  passB 9.415  gpu 11.290  total 14.429 ms
frame 9: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.414  submit 0.410  passA 3.934  passW 0.000  passB 8.173  gpu 12.107  total 17.460 ms
frame 10: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.413  submit 0.385  passA 3.851  passW 0.000  passB 8.296  gpu 12.148  total 14.408 ms
frame 11: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.457  submit 0.407  passA 1.908  passW 0.000  passB 8.204  gpu 10.112  total 14.333 ms
frame 12: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.408  submit 0.402  passA 1.738  passW 0.000  passB 8.183  gpu 9.922  total 14.253 ms
frame 13: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.410  submit 0.860  passA 1.828  passW 0.000  passB 8.270  gpu 10.098  total 14.422 ms
frame 14: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.697  submit 0.390  passA 1.818  passW 0.000  passB 10.322  gpu 12.141  total 16.149 ms
frame 15: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.509  passA 1.743  passW 0.000  passB 10.278  gpu 12.021  total 14.391 ms
frame 16: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.471  passA 1.786  passW 0.000  passB 10.129  gpu 11.915  total 14.283 ms
frame 17: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.494  submit 0.446  passA 1.785  passW 0.000  passB 10.402  gpu 12.187  total 14.472 ms
frame 18: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.468  submit 0.456  passA 1.703  passW 0.000  passB 10.349  gpu 12.052  total 14.434 ms
frame 19: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.490  submit 0.461  passA 2.641  passW 0.000  passB 9.540  gpu 12.182  total 14.654 ms
frame 20: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.508  submit 0.429  passA 2.682  passW 0.000  passB 9.504  gpu 12.187  total 14.587 ms
frame 21: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.470  submit 0.467  passA 2.499  passW 0.000  passB 9.359  gpu 11.859  total 14.153 ms
frame 22: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.472  submit 0.433  passA 1.897  passW 0.000  passB 9.469  gpu 11.367  total 14.334 ms
frame 23: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.500  submit 0.456  passA 1.899  passW 0.000  passB 9.427  gpu 11.326  total 14.379 ms
frame 24: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.536  submit 0.541  passA 1.779  passW 0.000  passB 9.408  gpu 11.187  total 14.251 ms
frame 25: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.453  submit 0.379  passA 1.787  passW 0.000  passB 10.198  gpu 11.985  total 15.114 ms
frame 26: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.542  submit 2.343  passA 1.792  passW 0.000  passB 8.219  gpu 10.012  total 16.629 ms
frame 27: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.413  submit 1.210  passA 1.731  passW 0.000  passB 8.147  gpu 9.878  total 14.216 ms
frame 28: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.490  submit 0.449  passA 1.858  passW 0.000  passB 10.117  gpu 11.975  total 16.378 ms
frame 29: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.495  submit 0.470  passA 1.913  passW 0.000  passB 10.224  gpu 12.137  total 14.377 ms
frame 30: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.502  submit 0.377  passA 1.729  passW 0.000  passB 10.370  gpu 12.099  total 14.407 ms
frame 31: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.530  submit 0.524  passA 1.780  passW 0.000  passB 10.201  gpu 11.982  total 14.301 ms
frame 32: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.490  submit 0.501  passA 1.786  passW 0.000  passB 10.234  gpu 12.020  total 14.470 ms
frame 33: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.475  passA 2.529  passW 0.000  passB 9.328  gpu 11.857  total 14.171 ms
frame 34: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.558  submit 0.467  passA 2.656  passW 0.000  passB 9.436  gpu 12.092  total 14.382 ms
frame 35: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.481  submit 0.483  passA 2.725  passW 0.000  passB 9.481  gpu 12.206  total 14.494 ms
frame 36: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.488  submit 0.432  passA 1.762  passW 0.000  passB 9.400  gpu 11.163  total 14.171 ms
frame 37: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.410  submit 0.395  passA 1.777  passW 0.000  passB 9.489  gpu 11.266  total 14.376 ms
frame 38: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.521  submit 0.565  passA 1.938  passW 0.000  passB 9.418  gpu 11.356  total 14.306 ms
frame 39: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.411  submit 0.405  passA 1.777  passW 0.000  passB 9.356  gpu 11.133  total 14.134 ms
frame 40: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.577  submit 0.445  passA 1.920  passW 0.000  passB 8.215  gpu 10.135  total 17.851 ms
frame 41: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.475  submit 0.439  passA 1.886  passW 0.000  passB 8.313  gpu 10.199  total 14.450 ms
frame 42: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.495  passA 1.713  passW 0.000  passB 10.363  gpu 12.077  total 16.468 ms
frame 43: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.538  submit 0.470  passA 1.863  passW 0.000  passB 10.336  gpu 12.199  total 14.535 ms
frame 44: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.430  submit 0.389  passA 1.970  passW 0.000  passB 10.643  gpu 12.613  total 14.876 ms
frame 45: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.408  submit 0.380  passA 1.732  passW 0.000  passB 10.288  gpu 12.020  total 14.281 ms
