frame 0: 144887 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.419  submit 791.122  passA 2.331  passW 0.000  passB 13.192  gpu 15.523  total 807.488 ms
frame 1: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.330  submit 0.551  passA 2.451  passW 0.000  passB 13.232  gpu 15.682  total 20.917 ms
frame 2: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.379  submit 0.681  passA 4.835  passW 0.000  passB 12.655  gpu 17.490  total 24.604 ms
frame 3: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.524  submit 0.547  passA 2.834  passW 0.000  passB 9.692  gpu 12.526  total 18.228 ms
frame 4: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.409  passA 1.902  passW 0.000  passB 9.139  gpu 11.041  total 14.102 ms
frame 5: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.443  submit 0.416  passA 1.881  passW 0.000  passB 9.298  gpu 11.179  total 14.287 ms
frame 6: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.724  submit 0.469  passA 1.759  passW 0.000  passB 9.265  gpu 11.024  total 14.164 ms
frame 7: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.574  submit 0.409  passA 1.847  passW 0.000  passB 9.168  gpu 11.015  total 14.061 ms
frame 8: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.127  submit 1.106  passA 1.875  passW 0.000  passB 8.350  gpu 10.226  total 17.770 ms
frame 9: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.497  submit 1.119  passA 1.710  passW 0.000  passB 8.285  gpu 9.995  total 14.131 ms
frame 10: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.046  submit 0.384  passA 1.818  passW 0.000  passB 8.213  gpu 10.031  total 14.101 ms
