frame 0: 144887 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.362  submit 777.456  passA 2.202  passW 0.000  passB 6.948  gpu 9.150  total 789.690 ms
frame 1: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.340  submit 0.716  passA 2.371  passW 0.000  passB 6.975  gpu 9.346  total 13.576 ms
frame 2: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.341  submit 0.655  passA 2.440  passW 0.000  passB 7.001  gpu 9.441  total 14.710 ms
frame 3: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.073  submit 0.403  passA 2.310  passW 0.000  passB 9.190  gpu 11.500  total 17.003 ms
frame 4: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.694  submit 0.480  passA 3.509  passW 0.000  passB 7.828  gpu 11.337  total 17.620 ms
frame 5: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.456  submit 0.397  passA 2.165  passW 0.000  passB 7.237  gpu 9.402  total 13.013 ms
frame 6: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.462  submit 0.432  passA 2.927  passW 0.000  passB 6.327  gpu 9.254  total 11.877 ms
frame 7: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.568  submit 0.476  passA 1.916  passW 0.000  passB 7.127  gpu 9.043  total 11.600 ms
frame 8: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.446  submit 0.535  passA 1.821  passW 0.000  passB 5.312  gpu 7.134  total 9.428 ms
frame 9: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.493  submit 0.391  passA 1.765  passW 0.000  passB 4.497  gpu 6.262  total 10.323 ms
frame 10: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.473  submit 0.825  passA 1.890  passW 0.000  passB 6.322  gpu 8.212  total 9.865 ms
