frame 0: 144887 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.431  submit 776.652  passA 2.197  passW 0.000  passB 6.419  gpu 8.617  total 786.045 ms
frame 1: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.346  submit 0.641  passA 3.536  passW 0.000  passB 6.556  gpu 10.092  total 13.777 ms
frame 2: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.338  submit 0.715  passA 3.583  passW 0.000  passB 6.555  gpu 10.138  total 13.750 ms
frame 3: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.669  submit 0.417  passA 3.423  passW 0.000  passB 6.581  gpu 10.004  total 12.950 ms
frame 4: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.464  submit 0.563  passA 3.480  passW 0.000  passB 6.512  gpu 9.991  total 13.781 ms
frame 5: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.546  submit 0.500  passA 3.504  passW 0.000  passB 6.717  gpu 10.221  total 13.974 ms
frame 6: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.537  submit 0.540  passA 3.215  passW 0.000  passB 6.308  gpu 9.523  total 12.541 ms
frame 7: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.811  submit 0.525  passA 3.352  passW 0.000  passB 6.021  gpu 9.373  total 13.572 ms
frame 8: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.647  submit 0.511  passA 2.149  passW 0.000  passB 4.813  gpu 6.962  total 8.251 ms
frame 9: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.505  submit 0.442  passA 2.021  passW 0.000  passB 4.734  gpu 6.755  total 11.483 ms
frame 10: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.513  submit 0.458  passA 4.218  passW 0.000  passB 3.937  gpu 8.155  total 10.929 ms
frame 11: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.609  submit 0.605  passA 2.077  passW 0.000  passB 5.640  gpu 7.717  total 11.165 ms
frame 12: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.521  submit 0.483  passA 1.758  passW 0.000  passB 4.024  gpu 5.782  total 8.195 ms
frame 13: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.509  submit 0.480  passA 3.579  passW 0.000  passB 3.181  gpu 6.760  total 7.903 ms
frame 14: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.445  submit 0.406  passA 1.882  passW 0.000  passB 5.141  gpu 7.023  total 10.092 ms
frame 15: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.569  submit 0.507  passA 1.762  passW 0.000  passB 3.983  gpu 5.745  total 8.095 ms
frame 16: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.515  submit 0.469  passA 3.675  passW 0.000  passB 3.281  gpu 6.956  total 8.080 ms
frame 17: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.528  submit 0.476  passA 2.755  passW 0.000  passB 5.046  gpu 7.802  total 10.144 ms
frame 18: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.523  submit 0.414  passA 1.676  passW 0.000  passB 4.041  gpu 5.717  total 8.085 ms
frame 19: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.518  submit 0.476  passA 1.855  passW 0.000  passB 4.967  gpu 6.822  total 8.009 ms
frame 20: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.531  submit 0.571  passA 1.873  passW 0.000  passB 4.394  gpu 6.268  total 8.796 ms
frame 21: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.476  submit 0.402  passA 1.815  passW 0.000  passB 4.027  gpu 5.842  total 9.600 ms
frame 22: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.449  submit 0.370  passA 1.834  passW 0.000  passB 5.004  gpu 6.838  total 7.809 ms
