frame 0: 144887 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.476  submit 785.751  passA 2.242  passW 0.000  passB 6.956  gpu 9.198  total 795.675 ms
frame 1: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.712  submit 0.601  passA 2.390  passW 0.000  passB 6.972  gpu 9.363  total 14.648 ms
frame 2: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.334  submit 1.184  passA 2.437  passW 0.000  passB 6.968  gpu 9.405  total 15.660 ms
frame 3: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.338  submit 0.426  passA 2.279  passW 0.000  passB 9.309  gpu 11.589  total 15.951 ms
frame 4: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 0.398  passA 3.081  passW 0.000  passB 7.063  gpu 10.145  total 15.777 ms
frame 5: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.569  submit 0.537  passA 2.773  passW 0.000  passB 6.289  gpu 9.063  total 11.816 ms
frame 6: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.530  submit 0.518  passA 1.722  passW 0.000  passB 5.303  gpu 7.025  total 9.449 ms
frame 7: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.527  submit 0.510  passA 1.877  passW 0.000  passB 5.330  gpu 7.208  total 11.344 ms
frame 8: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.655  submit 0.449  passA 1.766  passW 0.000  passB 6.320  gpu 8.087  total 9.370 ms
frame 9: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.525  submit 0.615  passA 2.542  passW 0.000  passB 6.263  gpu 8.806  total 11.227 ms
frame 10: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.531  submit 0.520  passA 1.799  passW 0.000  passB 5.302  gpu 7.101  total 9.644 ms
frame 11: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.516  submit 0.445  passA 1.778  passW 0.000  passB 5.393  gpu 7.171  total 11.307 ms
frame 12: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.583  submit 0.501  passA 1.740  passW 0.000  passB 4.465  gpu 6.205  total 11.417 ms
frame 13: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.538  submit 0.448  passA 1.844  passW 0.000  passB 6.287  gpu 8.130  total 9.287 ms
frame 14: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.544  submit 0.551  passA 1.855  passW 0.000  passB 7.050  gpu 8.906  total 11.385 ms
frame 15: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.440  submit 0.544  passA 1.687  passW 0.000  passB 5.270  gpu 6.957  total 9.282 ms
frame 16: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.476  submit 0.385  passA 3.687  passW 0.000  passB 4.508  gpu 8.195  total 9.225 ms
frame 17: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.575  submit 0.500  passA 1.864  passW 0.000  passB 6.317  gpu 8.181  total 11.273 ms
frame 18: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.523  submit 0.535  passA 1.691  passW 0.000  passB 5.312  gpu 7.003  total 9.435 ms
frame 19: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.514  submit 0.496  passA 1.793  passW 0.000  passB 5.264  gpu 7.057  total 11.127 ms
frame 20: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.657  submit 0.838  passA 3.743  passW 0.000  passB 4.536  gpu 8.280  total 9.943 ms
frame 21: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.527  submit 0.494  passA 1.718  passW 0.000  passB 6.248  gpu 7.966  total 11.121 ms
frame 22: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.545  submit 0.563  passA 2.656  passW 0.000  passB 6.286  gpu 8.943  total 11.452 ms
frame 23: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.419  passA 1.853  passW 0.000  passB 5.387  gpu 7.241  total 9.558 ms
frame 24: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.537  passA 1.680  passW 0.000  passB 5.261  gpu 6.941  total 12.056 ms
frame 25: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.529  submit 0.583  passA 1.876  passW 0.000  passB 6.273  gpu 8.150  total 9.338 ms
frame 26: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.514  submit 0.462  passA 2.783  passW 0.000  passB 6.274  gpu 9.058  total 11.562 ms
