frame 0: 144887 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 799.127  passA 4.496  passW 0.000  passB 4.252  gpu 8.748  total 808.588 ms
frame 1: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.481  submit 0.698  passA 4.744  passW 0.000  passB 4.276  gpu 9.021  total 13.053 ms
frame 2: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.557  passA 4.716  passW 0.000  passB 4.315  gpu 9.031  total 12.963 ms
frame 3: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.516  submit 0.500  passA 2.175  passW 0.000  passB 6.419  gpu 8.594  total 12.751 ms
frame 4: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.543  submit 0.517  passA 2.328  passW 0.000  passB 6.331  gpu 8.659  total 12.752 ms
frame 5: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.442  submit 0.408  passA 3.190  passW 0.000  passB 5.991  gpu 9.182  total 12.391 ms
frame 6: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.434  submit 0.403  passA 2.034  passW 0.000  passB 4.856  gpu 6.890  total 7.894 ms
frame 7: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.536  submit 0.473  passA 2.189  passW 0.000  passB 3.815  gpu 6.004  total 10.695 ms
frame 8: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.528  submit 0.454  passA 4.275  passW 0.000  passB 3.926  gpu 8.202  total 11.855 ms
frame 9: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 0.424  passA 1.893  passW 0.000  passB 5.567  gpu 7.461  total 10.744 ms
frame 10: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.519  submit 0.617  passA 1.930  passW 0.000  passB 4.023  gpu 5.952  total 8.344 ms
frame 11: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.510  submit 0.587  passA 1.770  passW 0.000  passB 3.246  gpu 5.016  total 7.842 ms
frame 12: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.537  submit 0.497  passA 1.707  passW 0.000  passB 4.930  gpu 6.637  total 9.705 ms
frame 13: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.465  submit 0.416  passA 1.852  passW 0.000  passB 3.992  gpu 5.844  total 8.068 ms
frame 14: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.451  submit 0.357  passA 3.539  passW 0.000  passB 3.265  gpu 6.804  total 7.765 ms
frame 15: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.457  submit 0.494  passA 2.571  passW 0.000  passB 3.233  gpu 5.805  total 9.060 ms
frame 16: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.763  submit 0.602  passA 1.790  passW 0.000  passB 4.044  gpu 5.834  total 11.248 ms
frame 17: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.326  submit 0.290  passA 3.620  passW 0.000  passB 3.288  gpu 6.908  total 7.673 ms
frame 18: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.330  submit 0.336  passA 2.691  passW 0.000  passB 4.927  gpu 7.618  total 9.961 ms
frame 19: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.504  submit 0.936  passA 1.856  passW 0.000  passB 4.007  gpu 5.863  total 9.798 ms
frame 20: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.541  passA 3.684  passW 0.000  passB 3.297  gpu 6.981  total 8.187 ms
frame 21: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.516  submit 0.517  passA 2.556  passW 0.000  passB 4.975  gpu 7.532  total 9.905 ms
frame 22: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.623  submit 0.436  passA 1.778  passW 0.000  passB 4.106  gpu 5.884  total 9.236 ms
