frame 0: 144887 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.437  submit 843.693  passA 3.306  passW 0.000  passB 5.397  gpu 8.703  total 856.168 ms
frame 1: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.394  submit 0.723  passA 2.443  passW 0.000  passB 4.147  gpu 6.591  total 7.845 ms
frame 2: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.418  submit 0.711  passA 2.477  passW 0.000  passB 3.115  gpu 5.593  total 10.856 ms
frame 3: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.347  submit 0.383  passA 4.656  passW 0.000  passB 2.928  gpu 7.585  total 11.602 ms
frame 4: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.358  submit 0.338  passA 2.502  passW 0.000  passB 5.340  gpu 7.842  total 11.858 ms
frame 5: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.490  passA 3.398  passW 0.000  passB 5.309  gpu 8.707  total 11.683 ms
frame 6: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.447  passA 2.032  passW 0.000  passB 3.571  gpu 5.603  total 8.278 ms
frame 7: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.500  submit 0.413  passA 4.222  passW 0.000  passB 2.701  gpu 6.923  total 7.971 ms
frame 8: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.531  submit 0.661  passA 3.156  passW 0.000  passB 4.862  gpu 8.019  total 10.961 ms
frame 9: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.539  submit 0.472  passA 1.933  passW 0.000  passB 3.452  gpu 5.386  total 7.977 ms
frame 10: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.515  submit 0.440  passA 3.886  passW 0.000  passB 2.538  gpu 6.424  total 7.521 ms
frame 11: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.516  submit 0.458  passA 2.803  passW 0.000  passB 2.629  gpu 5.432  total 7.967 ms
frame 12: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.501  submit 0.420  passA 1.829  passW 0.000  passB 2.490  gpu 4.320  total 7.162 ms
frame 13: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.539  submit 0.530  passA 2.930  passW 0.000  passB 4.510  gpu 7.441  total 10.188 ms
frame 14: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 3.082  submit 0.485  passA 1.858  passW 0.000  passB 3.116  gpu 4.974  total 8.711 ms
frame 15: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.433  submit 0.399  passA 3.473  passW 0.000  passB 2.288  gpu 5.762  total 6.761 ms
frame 16: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.409  passA 2.637  passW 0.000  passB 2.326  gpu 4.963  total 7.267 ms
frame 17: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.424  submit 0.349  passA 3.696  passW 0.000  passB 2.388  gpu 6.084  total 7.039 ms
frame 18: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.634  submit 0.452  passA 2.551  passW 0.000  passB 2.282  gpu 4.834  total 7.211 ms
frame 19: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.542  submit 0.425  passA 1.825  passW 0.000  passB 2.293  gpu 4.118  total 6.722 ms
frame 20: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.485  passA 2.624  passW 0.000  passB 2.364  gpu 4.989  total 7.298 ms
frame 21: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.551  submit 0.451  passA 1.707  passW 0.000  passB 2.306  gpu 4.014  total 6.024 ms
frame 22: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.516  submit 0.479  passA 2.826  passW 0.000  passB 2.339  gpu 5.165  total 7.452 ms
frame 23: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.577  submit 0.449  passA 1.851  passW 0.000  passB 2.367  gpu 4.218  total 6.337 ms
frame 24: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.438  submit 0.416  passA 2.631  passW 0.000  passB 2.327  gpu 4.958  total 7.270 ms
frame 25: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 3.430  submit 0.732  passA 1.792  passW 0.000  passB 3.187  gpu 4.979  total 10.972 ms
frame 26: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.437  submit 0.357  passA 1.889  passW 0.000  passB 4.101  gpu 5.990  total 6.937 ms
frame 27: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.436  submit 0.399  passA 1.661  passW 0.000  passB 3.186  gpu 4.847  total 7.156 ms
frame 28: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.429  submit 0.356  passA 3.637  passW 0.000  passB 2.320  gpu 5.958  total 6.913 ms
frame 29: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.455  submit 0.427  passA 1.798  passW 0.000  passB 3.166  gpu 4.964  total 7.289 ms
frame 30: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.534  submit 0.553  passA 3.599  passW 0.000  passB 2.286  gpu 5.885  total 7.148 ms
frame 31: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.512  submit 0.444  passA 2.766  passW 0.000  passB 2.346  gpu 5.113  total 7.423 ms
frame 32: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.433  submit 1.046  passA 1.928  passW 0.000  passB 2.329  gpu 4.258  total 6.987 ms
frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.560  submit 0.464  passA 2.612  passW 0.000  passB 2.266  gpu 4.878  total 7.175 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.530  submit 0.535  passA 1.912  passW 0.000  passB 2.277  gpu 4.190  total 6.360 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.553  submit 0.509  passA 2.562  passW 0.000  passB 2.318  gpu 4.880  total 7.234 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.573  submit 0.529  passA 1.734  passW 0.000  passB 2.268  gpu 4.002  total 6.176 ms
frame 37: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.509  submit 0.531  passA 2.766  passW 0.000  passB 2.281  gpu 5.048  total 7.368 ms
frame 38: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.635  submit 0.433  passA 1.827  passW 0.000  passB 2.352  gpu 4.180  total 5.864 ms
frame 39: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.396  passA 2.748  passW 0.000  passB 2.369  gpu 5.117  total 7.523 ms
frame 40: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.544  submit 0.660  passA 1.821  passW 0.000  passB 2.403  gpu 4.225  total 6.388 ms
frame 41: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.588  submit 0.497  passA 2.747  passW 0.000  passB 2.397  gpu 5.145  total 7.532 ms
frame 42: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.465  passA 1.673  passW 0.000  passB 2.253  gpu 3.926  total 5.587 ms
frame 43: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.545  submit 0.479  passA 2.694  passW 0.000  passB 2.355  gpu 5.049  total 7.359 ms
frame 44: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.504  submit 0.451  passA 1.780  passW 0.000  passB 2.363  gpu 4.144  total 6.386 ms
frame 45: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.503  submit 0.468  passA 2.659  passW 0.000  passB 2.342  gpu 5.001  total 7.329 ms
frame 46: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.514  submit 0.496  passA 1.810  passW 0.000  passB 2.354  gpu 4.165  total 6.363 ms
frame 47: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.562  submit 0.480  passA 2.726  passW 0.000  passB 2.400  gpu 5.127  total 7.480 ms
frame 48: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.548  submit 0.643  passA 1.739  passW 0.000  passB 2.228  gpu 3.967  total 5.633 ms
frame 49: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.512  submit 0.480  passA 2.828  passW 0.000  passB 2.263  gpu 5.091  total 7.394 ms
frame 50: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.154  submit 0.402  passA 1.788  passW 0.000  passB 2.347  gpu 4.135  total 6.365 ms
frame 51: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.501  submit 0.616  passA 2.659  passW 0.000  passB 2.249  gpu 4.907  total 7.424 ms
frame 52: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.597  passA 1.835  passW 0.000  passB 2.312  gpu 4.147  total 6.429 ms
frame 53: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.542  submit 0.619  passA 2.613  passW 0.000  passB 2.358  gpu 4.971  total 7.498 ms
frame 54: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.567  submit 0.522  passA 1.702  passW 0.000  passB 2.242  gpu 3.944  total 6.112 ms
frame 55: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.510  submit 0.459  passA 2.590  passW 0.000  passB 2.328  gpu 4.919  total 7.318 ms
frame 56: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.324  submit 0.509  passA 1.888  passW 0.000  passB 2.285  gpu 4.173  total 6.595 ms
frame 57: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.514  submit 0.522  passA 2.644  passW 0.000  passB 2.250  gpu 4.895  total 7.275 ms
