frame 0: 98942 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.455  submit 893.830  passA 4.376  passW 0.000  passB 16.739  gpu 21.115  total 915.640 ms
frame 1: 101216 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.561  submit 0.587  passA 7.467  passW 0.000  passB 17.442  gpu 24.909  total 30.062 ms
frame 2: 101956 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.353  submit 0.830  passA 5.692  passW 0.000  passB 14.518  gpu 20.210  total 27.691 ms
frame 3: 100718 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.373  submit 0.324  passA 4.602  passW 0.000  passB 12.701  gpu 17.303  total 23.073 ms
frame 4: 102886 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.453  submit 0.739  passA 4.466  passW 0.000  passB 12.503  gpu 16.969  total 22.617 ms
frame 5: 100692 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.495  submit 1.125  passA 4.381  passW 0.000  passB 12.782  gpu 17.163  total 22.721 ms
frame 6: 101898 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.391  submit 0.309  passA 5.918  passW 0.000  passB 12.676  gpu 18.595  total 20.878 ms
frame 7: 101948 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.379  submit 0.340  passA 5.727  passW 0.000  passB 12.696  gpu 18.424  total 20.859 ms
frame 8: 100440 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.393  submit 0.303  passA 3.950  passW 0.000  passB 11.628  gpu 15.579  total 18.871 ms
frame 9: 101656 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.384  submit 0.322  passA 3.820  passW 0.000  passB 12.663  gpu 16.483  total 23.131 ms
frame 10: 102190 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.495  submit 0.368  passA 4.650  passW 0.000  passB 12.507  gpu 17.157  total 20.370 ms
frame 11: 100778 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.540  submit 0.348  passA 5.114  passW 0.000  passB 12.638  gpu 17.753  total 23.100 ms
frame 12: 102992 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.430  submit 0.572  passA 5.756  passW 0.000  passB 12.662  gpu 18.419  total 21.647 ms
frame 13: 100626 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.397  submit 0.342  passA 4.855  passW 0.000  passB 12.460  gpu 17.315  total 23.376 ms
frame 14: 102102 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.375  submit 0.312  passA 4.431  passW 0.000  passB 12.602  gpu 17.033  total 19.576 ms
frame 15: 101756 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.385  submit 0.390  passA 4.908  passW 0.000  passB 12.563  gpu 17.471  total 23.311 ms
frame 16: 99200 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.423  submit 0.464  passA 2.486  passW 0.000  passB 12.597  gpu 15.083  total 18.224 ms
frame 17: 101544 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.512  submit 0.387  passA 6.670  passW 0.000  passB 12.627  gpu 19.297  total 21.713 ms
frame 18: 102426 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.409  submit 0.375  passA 5.245  passW 0.000  passB 11.549  gpu 16.795  total 22.538 ms
frame 19: 100792 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.373  submit 0.442  passA 4.674  passW 0.000  passB 12.671  gpu 17.345  total 20.881 ms
frame 20: 102998 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.397  submit 0.346  passA 5.504  passW 0.000  passB 11.982  gpu 17.487  total 23.459 ms
frame 21: 100658 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.398  submit 0.305  passA 4.530  passW 0.000  passB 12.713  gpu 17.243  total 20.534 ms
frame 22: 101786 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.378  submit 0.362  passA 6.782  passW 0.000  passB 11.651  gpu 18.434  total 20.978 ms
frame 23: 102106 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.380  submit 0.466  passA 4.018  passW 0.000  passB 12.804  gpu 16.822  total 23.337 ms
frame 24: 100420 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.379  submit 0.658  passA 3.818  passW 0.000  passB 11.649  gpu 15.467  total 18.949 ms
frame 25: 101692 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.839  submit 0.293  passA 4.603  passW 0.000  passB 12.545  gpu 17.148  total 20.638 ms
frame 26: 102110 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.445  submit 1.249  passA 4.650  passW 0.000  passB 12.431  gpu 17.081  total 23.204 ms
frame 27: 100452 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.430  submit 0.619  passA 5.542  passW 0.000  passB 12.560  gpu 18.103  total 20.620 ms
frame 28: 102992 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.496  submit 0.379  passA 4.931  passW 0.000  passB 12.502  gpu 17.433  total 20.780 ms
frame 29: 100514 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.423  submit 0.419  passA 4.863  passW 0.000  passB 11.565  gpu 16.429  total 22.453 ms
frame 30: 102246 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.430  submit 0.338  passA 4.443  passW 0.000  passB 11.842  gpu 16.285  total 20.121 ms
frame 31: 101724 B, 2312 tiles (0 tskip, 1 lane group(s), 2 dispatches)  parse 0.393  submit 0.411  passA 3.993  passW 0.000  passB 12.545  gpu 16.538  total 19.639 ms
32 frame(s), 1856x928 yuv420p on Adreno (TM) 650
