16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.480  submit 920.758  passA 21.220  passW 0.000  passB 4.379  gpu 25.598  total 947.009 ms
frame 1: 218492 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.379  submit 0.567  passA 21.592  passW 0.000  passB 3.150  gpu 24.742  total 31.939 ms
frame 2: 216720 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.399  submit 0.395  passA 17.982  passW 0.000  passB 2.352  gpu 20.334  total 27.291 ms
frame 3: 218320 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.534  submit 0.551  passA 14.352  passW 0.000  passB 3.409  gpu 17.761  total 24.359 ms
frame 4: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.596  submit 0.444  passA 14.549  passW 0.000  passB 3.969  gpu 18.519  total 23.297 ms
frame 5: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.531  submit 1.062  passA 14.072  passW 0.000  passB 2.344  gpu 16.417  total 19.727 ms
frame 6: 218084 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.500  submit 0.428  passA 14.771  passW 0.000  passB 4.089  gpu 18.861  total 21.176 ms
frame 7: 218088 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.498  submit 0.431  passA 14.639  passW 0.000  passB 2.341  gpu 16.980  total 20.266 ms
frame 8: 217676 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.512  submit 0.432  passA 14.618  passW 0.000  passB 2.419  gpu 17.038  total 23.468 ms
frame 9: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 0.550  passA 14.650  passW 0.000  passB 2.384  gpu 17.035  total 20.608 ms
frame 10: 216208 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.436  submit 0.393  passA 13.892  passW 0.000  passB 4.033  gpu 17.926  total 20.407 ms
frame 11: 218268 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.468  submit 0.409  passA 14.974  passW 0.000  passB 2.392  gpu 17.367  total 21.007 ms
frame 12: 218108 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.569  submit 0.438  passA 15.484  passW 0.000  passB 2.366  gpu 17.850  total 24.588 ms
frame 13: 218008 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.502  submit 0.428  passA 14.546  passW 0.000  passB 2.373  gpu 16.919  total 19.282 ms
frame 14: 218204 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.764  submit 0.500  passA 14.456  passW 0.000  passB 3.380  gpu 17.837  total 21.989 ms
frame 15: 218132 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.434  submit 0.398  passA 14.653  passW 0.000  passB 2.335  gpu 16.988  total 19.345 ms
