16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.530  submit 928.878  passA 23.136  passW 0.000  passB 3.078  gpu 26.214  total 958.542 ms
frame 1: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.387  submit 0.703  passA 21.276  passW 0.000  passB 4.939  gpu 26.215  total 35.548 ms
frame 2: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.943  submit 0.539  passA 17.641  passW 0.000  passB 3.292  gpu 20.934  total 26.670 ms
frame 3: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.524  submit 0.509  passA 15.648  passW 0.000  passB 4.100  gpu 19.748  total 24.834 ms
frame 4: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.383  passA 15.610  passW 0.000  passB 3.162  gpu 18.771  total 24.492 ms
frame 5: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 1.210  passA 15.489  passW 0.000  passB 2.390  gpu 17.879  total 24.093 ms
frame 6: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.519  submit 0.427  passA 16.295  passW 0.000  passB 3.351  gpu 19.647  total 22.728 ms
frame 7: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.519  submit 0.721  passA 15.661  passW 0.000  passB 2.375  gpu 18.036  total 20.431 ms
frame 8: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.692  submit 0.744  passA 15.666  passW 0.000  passB 2.312  gpu 17.978  total 25.619 ms
frame 9: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.504  submit 0.448  passA 16.243  passW 0.000  passB 3.320  gpu 19.563  total 22.625 ms
frame 10: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.438  submit 0.438  passA 15.642  passW 0.000  passB 4.173  gpu 19.815  total 24.839 ms
frame 11: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.433  submit 0.395  passA 15.675  passW 0.000  passB 2.411  gpu 18.087  total 21.456 ms
frame 12: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.489  submit 0.508  passA 16.477  passW 0.000  passB 2.412  gpu 18.889  total 25.757 ms
frame 13: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.434  submit 0.419  passA 15.681  passW 0.000  passB 4.161  gpu 19.842  total 22.292 ms
frame 14: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.452  submit 0.463  passA 15.621  passW 0.000  passB 3.153  gpu 18.774  total 24.527 ms
frame 15: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.446  submit 0.396  passA 16.199  passW 0.000  passB 2.399  gpu 18.598  total 22.202 ms
