32 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 104318 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 943.485  passA 4.505  passW 0.000  passB 3.484  gpu 7.989  total 952.117 ms
frame 1: 106592 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.457  submit 0.618  passA 6.442  passW 0.000  passB 4.489  gpu 10.932  total 15.065 ms
frame 2: 107332 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.415  submit 0.603  passA 6.548  passW 0.000  passB 4.523  gpu 11.071  total 14.146 ms
frame 3: 106094 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 0.436  passA 6.190  passW 0.000  passB 4.527  gpu 10.718  total 13.840 ms
frame 4: 108262 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 0.564  passA 6.087  passW 0.000  passB 4.601  gpu 10.688  total 13.721 ms
frame 5: 106068 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.442  submit 0.413  passA 5.534  passW 0.000  passB 3.265  gpu 8.799  total 11.915 ms
frame 6: 107274 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.472  submit 0.460  passA 5.738  passW 0.000  passB 1.930  gpu 7.669  total 11.460 ms
frame 7: 107324 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.422  submit 0.371  passA 4.936  passW 0.000  passB 2.754  gpu 7.689  total 11.844 ms
frame 8: 105816 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.421  submit 0.383  passA 3.797  passW 0.000  passB 1.722  gpu 5.520  total 8.755 ms
frame 9: 107032 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.430  submit 0.530  passA 4.804  passW 0.000  passB 2.714  gpu 7.518  total 8.622 ms
frame 10: 107566 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.433  submit 0.442  passA 3.723  passW 0.000  passB 2.729  gpu 6.452  total 9.718 ms
frame 11: 106154 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.419  submit 0.383  passA 5.717  passW 0.000  passB 1.782  gpu 7.499  total 9.810 ms
frame 12: 108368 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.532  submit 0.655  passA 6.684  passW 0.000  passB 2.553  gpu 9.238  total 10.564 ms
frame 13: 106002 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.424  submit 0.409  passA 4.913  passW 0.000  passB 1.732  gpu 6.645  total 9.041 ms
frame 14: 107478 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.426  submit 0.408  passA 3.792  passW 0.000  passB 1.728  gpu 5.520  total 9.812 ms
frame 15: 107132 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.419  submit 0.356  passA 5.622  passW 0.000  passB 1.719  gpu 7.341  total 10.742 ms
frame 16: 104576 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.570  submit 0.417  passA 3.485  passW 0.000  passB 1.681  gpu 5.166  total 6.297 ms
frame 17: 106920 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.430  submit 0.434  passA 5.097  passW 0.000  passB 2.785  gpu 7.883  total 11.957 ms
frame 18: 107802 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.553  submit 0.429  passA 5.963  passW 0.000  passB 1.726  gpu 7.690  total 10.067 ms
