frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.590  submit 919.635  passA 21.258  passW 0.000  passB 5.478  gpu 27.078  total 947.550 ms
frame 1: 218492 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.398  submit 2.019  passA 18.870  passW 0.000  passB 4.085  gpu 23.285  total 31.667 ms
frame 2: 216720 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.456  submit 0.477  passA 15.902  passW 0.000  passB 2.650  gpu 18.903  total 20.108 ms
frame 3: 218320 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.430  submit 0.506  passA 15.928  passW 0.000  passB 2.572  gpu 18.842  total 20.010 ms
frame 4: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.877  submit 0.418  passA 16.051  passW 0.000  passB 2.667  gpu 19.053  total 20.532 ms
frame 5: 218080 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.467  submit 0.440  passA 17.054  passW 0.000  passB 2.660  gpu 20.055  total 21.208 ms
frame 6: 218084 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.381  submit 0.375  passA 17.166  passW 0.000  passB 2.637  gpu 20.142  total 21.122 ms
frame 7: 218088 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.382  submit 0.796  passA 16.040  passW 0.000  passB 2.686  gpu 19.098  total 21.117 ms
frame 8: 217676 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.437  submit 0.426  passA 17.080  passW 0.000  passB 4.536  gpu 21.990  total 23.017 ms
frame 9: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.463  submit 0.459  passA 17.520  passW 0.000  passB 3.776  gpu 21.688  total 23.315 ms
frame 10: 216208 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.393  submit 0.365  passA 15.482  passW 0.000  passB 3.748  gpu 19.709  total 20.792 ms
frame 11: 218268 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.398  submit 0.387  passA 18.132  passW 0.000  passB 3.997  gpu 22.529  total 23.430 ms
frame 12: 218108 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.646  submit 0.370  passA 18.092  passW 0.000  passB 2.850  gpu 21.374  total 23.526 ms
frame 13: 218008 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.380  submit 0.371  passA 18.284  passW 0.000  passB 2.819  gpu 21.557  total 24.122 ms
frame 14: 218204 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.380  submit 0.393  passA 19.162  passW 0.000  passB 2.790  gpu 22.311  total 23.653 ms
frame 15: 218132 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.389  submit 0.382  passA 18.328  passW 0.000  passB 2.871  gpu 21.554  total 24.388 ms
16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
