frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.552  submit 927.033  passA 21.262  passW 0.000  passB 5.575  gpu 27.186  total 955.004 ms
frame 1: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.440  submit 0.741  passA 22.908  passW 0.000  passB 3.132  gpu 26.391  total 27.789 ms
frame 2: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.450  submit 0.735  passA 20.486  passW 0.000  passB 2.815  gpu 23.658  total 24.999 ms
frame 3: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.478  submit 0.476  passA 18.527  passW 0.000  passB 2.847  gpu 21.707  total 26.409 ms
frame 4: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.436  passA 21.228  passW 0.000  passB 2.837  gpu 24.398  total 25.445 ms
frame 5: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.458  submit 0.442  passA 19.312  passW 0.000  passB 3.972  gpu 23.620  total 25.459 ms
frame 6: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.471  submit 0.436  passA 16.495  passW 0.000  passB 4.525  gpu 21.363  total 22.373 ms
frame 7: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.438  submit 0.430  passA 16.637  passW 0.000  passB 2.659  gpu 19.631  total 20.718 ms
frame 8: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.483  submit 0.500  passA 18.291  passW 0.000  passB 2.659  gpu 21.320  total 23.635 ms
frame 9: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.409  submit 0.465  passA 18.577  passW 0.000  passB 3.812  gpu 22.750  total 23.786 ms
frame 10: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.415  submit 0.470  passA 17.245  passW 0.000  passB 3.694  gpu 21.304  total 25.427 ms
frame 11: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.521  submit 0.536  passA 17.346  passW 0.000  passB 4.521  gpu 22.199  total 24.303 ms
frame 12: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.436  submit 0.660  passA 18.857  passW 0.000  passB 3.792  gpu 22.982  total 24.775 ms
frame 13: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.418  submit 1.229  passA 18.195  passW 0.000  passB 2.777  gpu 21.301  total 23.354 ms
frame 14: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.981  submit 0.576  passA 17.470  passW 0.000  passB 2.581  gpu 20.377  total 22.108 ms
frame 15: 223608 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.398  submit 0.792  passA 17.589  passW 0.000  passB 2.732  gpu 20.654  total 22.305 ms
16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
