frame 0: 218056 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.515  submit 912.958  passA 22.407  passW 0.000  passB 4.407  gpu 27.257  total 940.992 ms
frame 1: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.668  submit 0.963  passA 22.006  passW 0.000  passB 3.124  gpu 25.493  total 27.906 ms
frame 2: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.402  submit 0.383  passA 21.073  passW 0.000  passB 4.697  gpu 26.132  total 27.169 ms
frame 3: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.444  submit 0.498  passA 17.190  passW 0.000  passB 2.657  gpu 20.199  total 21.326 ms
frame 4: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.445  submit 0.421  passA 18.006  passW 0.000  passB 2.593  gpu 20.960  total 22.491 ms
frame 5: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.541  submit 0.476  passA 18.653  passW 0.000  passB 3.725  gpu 22.730  total 23.849 ms
frame 6: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.459  submit 0.556  passA 18.843  passW 0.000  passB 3.725  gpu 22.954  total 24.144 ms
frame 7: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.589  submit 0.486  passA 18.047  passW 0.000  passB 3.673  gpu 22.081  total 25.889 ms
frame 8: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.438  submit 0.427  passA 18.650  passW 0.000  passB 3.688  gpu 22.920  total 25.431 ms
frame 9: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.442  submit 0.426  passA 18.969  passW 0.000  passB 2.604  gpu 23.087  total 24.187 ms
frame 10: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.435  submit 0.419  passA 17.343  passW 0.000  passB 4.609  gpu 22.636  total 26.314 ms
frame 11: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.457  submit 0.435  passA 18.994  passW 0.000  passB 2.699  gpu 23.215  total 25.933 ms
frame 12: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.386  submit 0.484  passA 17.369  passW 0.000  passB 4.651  gpu 22.418  total 24.404 ms
frame 13: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.673  submit 0.375  passA 17.365  passW 0.000  passB 4.793  gpu 22.566  total 26.380 ms
frame 14: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.387  submit 0.689  passA 17.405  passW 0.000  passB 4.769  gpu 22.590  total 26.741 ms
frame 15: 218128 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.432  submit 0.672  passA 17.341  passW 0.000  passB 4.802  gpu 22.512  total 26.277 ms
16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
