frame 0: 144887 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.570  submit 791.724  passA 3.820  passW 0.000  passB 10.370  gpu 14.191  total 806.663 ms
frame 1: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.390  submit 0.596  passA 4.055  passW 0.000  passB 10.537  gpu 14.593  total 17.906 ms
frame 2: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.354  submit 0.560  passA 4.230  passW 0.000  passB 9.056  gpu 13.286  total 16.104 ms
frame 3: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.532  submit 0.452  passA 2.202  passW 0.000  passB 9.354  gpu 11.556  total 15.386 ms
frame 4: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.436  passA 3.214  passW 0.000  passB 7.459  gpu 10.673  total 11.715 ms
frame 5: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.401  passA 3.094  passW 0.000  passB 7.293  gpu 10.387  total 11.491 ms
frame 6: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.481  submit 0.400  passA 2.832  passW 0.000  passB 7.152  gpu 9.984  total 11.070 ms
frame 7: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.587  submit 0.497  passA 2.040  passW 0.000  passB 7.281  gpu 9.321  total 11.368 ms
frame 8: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.442  passA 2.115  passW 0.000  passB 6.784  gpu 8.899  total 10.261 ms
frame 9: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.407  passA 2.460  passW 0.000  passB 6.463  gpu 8.923  total 10.018 ms
frame 10: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.581  submit 0.428  passA 2.701  passW 0.000  passB 6.560  gpu 9.261  total 10.445 ms
frame 11: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.472  submit 0.385  passA 2.602  passW 0.000  passB 5.571  gpu 8.173  total 9.501 ms
frame 12: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.500  submit 0.411  passA 1.688  passW 0.000  passB 5.245  gpu 6.933  total 7.951 ms
frame 13: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.505  submit 0.394  passA 2.778  passW 0.000  passB 5.326  gpu 8.104  total 9.669 ms
frame 14: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.523  submit 0.366  passA 3.981  passW 0.000  passB 5.319  gpu 9.300  total 10.349 ms
frame 15: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.610  submit 0.473  passA 2.814  passW 0.000  passB 6.262  gpu 9.076  total 10.288 ms
frame 16: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.455  submit 0.357  passA 2.780  passW 0.000  passB 5.437  gpu 8.218  total 9.202 ms
frame 17: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.547  submit 0.357  passA 1.902  passW 0.000  passB 6.520  gpu 8.422  total 9.771 ms
frame 18: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.437  submit 0.383  passA 2.661  passW 0.000  passB 6.555  gpu 9.217  total 10.248 ms
frame 19: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.604  submit 0.489  passA 2.756  passW 0.000  passB 6.571  gpu 9.327  total 10.602 ms
frame 20: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.564  submit 0.422  passA 2.530  passW 0.000  passB 6.584  gpu 9.115  total 10.253 ms
frame 21: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.498  submit 0.420  passA 1.703  passW 0.000  passB 6.377  gpu 8.079  total 9.139 ms
frame 22: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.523  submit 0.470  passA 1.837  passW 0.000  passB 5.308  gpu 7.145  total 8.738 ms
frame 23: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.525  submit 0.567  passA 2.861  passW 0.000  passB 5.309  gpu 8.170  total 9.663 ms
frame 24: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.521  submit 0.402  passA 3.723  passW 0.000  passB 5.374  gpu 9.098  total 10.103 ms
frame 25: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.508  submit 0.398  passA 2.933  passW 0.000  passB 6.299  gpu 9.233  total 10.280 ms
frame 26: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.446  submit 0.367  passA 1.785  passW 0.000  passB 6.522  gpu 8.307  total 9.366 ms
frame 27: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.538  submit 0.430  passA 1.713  passW 0.000  passB 6.530  gpu 8.243  total 9.889 ms
frame 28: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.511  submit 0.376  passA 2.645  passW 0.000  passB 6.493  gpu 9.138  total 10.187 ms
frame 29: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.444  submit 0.356  passA 2.767  passW 0.000  passB 6.494  gpu 9.260  total 10.231 ms
frame 30: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.439  submit 0.365  passA 1.687  passW 0.000  passB 6.313  gpu 8.000  total 8.980 ms
frame 31: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.655  submit 0.578  passA 1.815  passW 0.000  passB 5.275  gpu 7.090  total 8.496 ms
frame 32: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.860  submit 0.404  passA 2.742  passW 0.000  passB 5.445  gpu 8.188  total 9.735 ms
frame 33: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.428  submit 0.343  passA 2.837  passW 0.000  passB 6.268  gpu 9.105  total 10.055 ms
frame 34: 170501 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.447  submit 0.368  passA 2.954  passW 0.000  passB 5.461  gpu 8.415  total 9.405 ms
frame 35: 184570 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.528  submit 0.474  passA 1.948  passW 0.000  passB 6.503  gpu 8.452  total 9.873 ms
frame 36: 144959 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.504  submit 0.425  passA 2.534  passW 0.000  passB 6.509  gpu 9.043  total 10.086 ms
