frame 0: 141047 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.428  submit 805.503  passA 3.660  passW 0.000  passB 10.525  gpu 14.186  total 820.332 ms
frame 1: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.011  submit 0.628  passA 4.049  passW 0.000  passB 10.549  gpu 14.598  total 17.003 ms
frame 2: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.331  submit 0.554  passA 2.560  passW 0.000  passB 10.454  gpu 13.014  total 15.838 ms
frame 3: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.350  submit 0.357  passA 3.511  passW 0.000  passB 9.379  gpu 12.890  total 15.298 ms
frame 4: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.350  submit 0.343  passA 3.125  passW 0.000  passB 7.507  gpu 10.632  total 12.143 ms
frame 5: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.351  submit 0.354  passA 2.977  passW 0.000  passB 6.962  gpu 9.939  total 10.753 ms
frame 6: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.510  passA 2.488  passW 0.000  passB 5.544  gpu 8.033  total 9.259 ms
frame 7: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.477  submit 0.733  passA 1.906  passW 0.000  passB 6.343  gpu 8.249  total 9.947 ms
frame 8: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.488  submit 0.498  passA 1.822  passW 0.000  passB 5.341  gpu 7.163  total 9.113 ms
frame 9: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.107  submit 0.382  passA 2.770  passW 0.000  passB 5.353  gpu 8.123  total 10.661 ms
frame 10: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.552  submit 0.461  passA 3.806  passW 0.000  passB 4.496  gpu 8.302  total 9.529 ms
frame 11: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.476  submit 0.438  passA 2.865  passW 0.000  passB 5.472  gpu 8.337  total 9.554 ms
frame 12: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.673  submit 0.454  passA 1.675  passW 0.000  passB 6.457  gpu 8.132  total 9.514 ms
frame 13: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.355  submit 0.551  passA 2.559  passW 0.000  passB 6.567  gpu 9.126  total 10.219 ms
frame 14: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.408  submit 0.705  passA 2.793  passW 0.000  passB 6.535  gpu 9.327  total 10.535 ms
frame 15: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.438  submit 0.852  passA 1.739  passW 0.000  passB 7.930  gpu 9.670  total 11.265 ms
frame 16: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.453  submit 0.613  passA 2.717  passW 0.000  passB 6.529  gpu 9.246  total 10.303 ms
frame 17: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.361  submit 0.352  passA 1.850  passW 0.000  passB 6.374  gpu 8.224  total 9.032 ms
frame 18: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 4.080  submit 0.437  passA 2.491  passW 0.000  passB 6.525  gpu 9.016  total 13.682 ms
frame 19: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.313  submit 0.297  passA 2.804  passW 0.000  passB 6.452  gpu 9.256  total 9.965 ms
frame 20: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.306  submit 0.292  passA 1.877  passW 0.000  passB 6.332  gpu 8.209  total 8.918 ms
frame 21: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.392  submit 0.709  passA 1.736  passW 0.000  passB 5.281  gpu 7.017  total 9.301 ms
frame 22: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.458  submit 0.445  passA 2.804  passW 0.000  passB 5.373  gpu 8.177  total 9.708 ms
frame 23: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.463  submit 0.446  passA 2.997  passW 0.000  passB 6.263  gpu 9.260  total 10.288 ms
frame 24: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.466  submit 0.447  passA 2.831  passW 0.000  passB 6.273  gpu 9.103  total 10.143 ms
frame 25: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.461  submit 0.518  passA 1.779  passW 0.000  passB 6.534  gpu 8.313  total 9.453 ms
frame 26: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 0.430  passA 1.858  passW 0.000  passB 6.629  gpu 8.488  total 9.855 ms
frame 27: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.400  submit 0.366  passA 2.664  passW 0.000  passB 6.494  gpu 9.158  total 10.076 ms
frame 28: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.398  submit 0.458  passA 2.639  passW 0.000  passB 6.490  gpu 9.130  total 10.132 ms
frame 29: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.493  submit 0.594  passA 1.878  passW 0.000  passB 6.422  gpu 8.301  total 9.556 ms
frame 30: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.539  submit 0.417  passA 1.732  passW 0.000  passB 5.361  gpu 7.094  total 8.475 ms
frame 31: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.642  submit 0.419  passA 2.774  passW 0.000  passB 5.330  gpu 8.105  total 10.154 ms
frame 32: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.452  submit 0.392  passA 3.840  passW 0.000  passB 5.307  gpu 9.147  total 10.127 ms
frame 33: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.454  submit 0.397  passA 2.837  passW 0.000  passB 6.217  gpu 9.054  total 10.059 ms
frame 34: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.469  submit 0.418  passA 1.897  passW 0.000  passB 6.544  gpu 8.441  total 9.506 ms
frame 35: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.475  submit 0.425  passA 1.920  passW 0.000  passB 6.512  gpu 8.432  total 9.648 ms
