frame 0: 141047 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.421  submit 661.994  passA 2.657  passW 0.000  passB 8.558  gpu 11.215  total 673.879 ms
frame 1: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.346  submit 0.577  passA 2.655  passW 0.000  passB 8.455  gpu 11.110  total 12.424 ms
frame 2: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.299  submit 0.536  passA 3.821  passW 0.000  passB 7.587  gpu 11.408  total 12.393 ms
frame 3: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.293  submit 0.306  passA 3.311  passW 0.000  passB 7.550  gpu 10.861  total 11.618 ms
frame 4: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.482  submit 0.422  passA 2.631  passW 0.000  passB 7.685  gpu 10.316  total 11.380 ms
frame 5: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.460  submit 0.475  passA 2.466  passW 0.000  passB 6.854  gpu 9.320  total 10.465 ms
frame 6: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.470  submit 0.414  passA 2.177  passW 0.000  passB 6.805  gpu 8.982  total 10.587 ms
frame 7: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.418  submit 0.418  passA 3.137  passW 0.000  passB 6.864  gpu 10.001  total 11.250 ms
frame 8: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.397  submit 0.360  passA 3.152  passW 0.000  passB 6.865  gpu 10.018  total 10.915 ms
frame 9: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.387  submit 0.358  passA 3.099  passW 0.000  passB 6.814  gpu 9.914  total 10.797 ms
frame 10: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.405  submit 0.366  passA 2.867  passW 0.000  passB 6.277  gpu 9.144  total 10.059 ms
frame 11: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.418  submit 0.406  passA 3.063  passW 0.000  passB 6.198  gpu 9.262  total 10.241 ms
frame 12: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.458  submit 0.456  passA 2.024  passW 0.000  passB 6.989  gpu 9.014  total 10.068 ms
frame 13: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.698  submit 0.680  passA 2.154  passW 0.000  passB 6.943  gpu 9.097  total 10.643 ms
frame 14: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.547  submit 0.394  passA 2.198  passW 0.000  passB 5.930  gpu 8.128  total 9.458 ms
frame 15: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.784  submit 0.387  passA 2.036  passW 0.000  passB 5.949  gpu 7.985  total 9.985 ms
frame 16: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.631  submit 0.445  passA 2.899  passW 0.000  passB 5.873  gpu 8.772  total 10.115 ms
frame 17: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.411  submit 0.737  passA 3.282  passW 0.000  passB 5.583  gpu 8.865  total 10.256 ms
frame 18: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.390  submit 0.425  passA 2.769  passW 0.000  passB 4.374  gpu 7.144  total 8.416 ms
frame 19: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.369  submit 0.387  passA 1.868  passW 0.000  passB 5.230  gpu 7.099  total 8.833 ms
frame 20: 180730 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.383  submit 0.371  passA 2.383  passW 0.000  passB 4.663  gpu 7.046  total 8.181 ms
frame 21: 141119 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.301  submit 0.314  passA 1.736  passW 0.000  passB 4.942  gpu 6.678  total 8.391 ms
frame 22: 166661 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.635  submit 0.552  passA 2.810  passW 0.000  passB 5.043  gpu 7.854  total 9.532 ms
