frame 0: 152264 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.615  submit 872.096  passA 6.071  passW 0.000  passB 11.930  gpu 18.001  total 892.722 ms
frame 1: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.544  submit 0.779  passA 5.036  passW 0.000  passB 12.530  gpu 17.566  total 19.174 ms
frame 2: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.591  submit 0.900  passA 5.079  passW 0.000  passB 10.307  gpu 15.387  total 17.075 ms
frame 3: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.341  submit 0.355  passA 4.615  passW 0.000  passB 10.590  gpu 15.206  total 16.143 ms
frame 4: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.411  submit 0.417  passA 5.003  passW 0.000  passB 10.426  gpu 15.430  total 16.600 ms
frame 5: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.352  submit 0.380  passA 5.096  passW 0.000  passB 10.695  gpu 15.791  total 17.044 ms
frame 6: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 3.531  submit 2.471  passA 4.177  passW 0.000  passB 9.631  gpu 13.809  total 20.021 ms
frame 7: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 2.409  submit 1.946  passA 4.512  passW 0.000  passB 9.414  gpu 13.927  total 19.097 ms
frame 8: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.638  submit 0.691  passA 4.649  passW 0.000  passB 9.482  gpu 14.131  total 15.812 ms
frame 9: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.792  submit 4.419  passA 4.188  passW 0.000  passB 9.605  gpu 13.794  total 20.496 ms
frame 10: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.942  submit 1.349  passA 4.551  passW 0.000  passB 9.591  gpu 14.142  total 18.048 ms
frame 11: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.913  submit 1.847  passA 4.468  passW 0.000  passB 9.656  gpu 14.124  total 18.191 ms
frame 12: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.441  submit 1.799  passA 4.145  passW 0.000  passB 9.610  gpu 13.755  total 17.216 ms
frame 13: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.512  submit 1.602  passA 4.500  passW 0.000  passB 9.589  gpu 14.089  total 18.064 ms
frame 14: 199867 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.494  submit 1.355  passA 4.573  passW 0.000  passB 9.694  gpu 14.267  total 17.381 ms
frame 15: 152336 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.418  submit 1.386  passA 4.177  passW 0.000  passB 9.603  gpu 13.781  total 16.842 ms
frame 16: 183442 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.527  submit 1.557  passA 4.542  passW 0.000  passB 9.444  gpu 13.987  total 17.220 ms
