16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 271310 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.487  submit 794.119  passA 4.906  passW 0.000  passB 3.140  gpu 8.047  total 802.896 ms
frame 1: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.403  submit 0.726  passA 2.699  passW 0.000  passB 5.409  gpu 8.108  total 10.803 ms
frame 2: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.379  submit 0.365  passA 2.623  passW 0.000  passB 4.227  gpu 6.850  total 7.728 ms
frame 3: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.388  submit 0.928  passA 2.517  passW 0.000  passB 4.224  gpu 6.741  total 11.933 ms
frame 4: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.488  submit 0.416  passA 2.730  passW 0.000  passB 3.062  gpu 5.792  total 11.008 ms
frame 5: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.534  submit 0.539  passA 4.495  passW 0.000  passB 2.781  gpu 7.277  total 11.186 ms
frame 6: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.525  submit 0.484  passA 3.241  passW 0.000  passB 4.589  gpu 7.830  total 10.745 ms
frame 7: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.509  submit 0.552  passA 1.961  passW 0.000  passB 3.171  gpu 5.132  total 7.644 ms
frame 8: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.402  passA 1.875  passW 0.000  passB 4.144  gpu 6.020  total 7.103 ms
frame 9: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.549  submit 0.510  passA 1.915  passW 0.000  passB 3.202  gpu 5.118  total 7.056 ms
frame 10: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.811  submit 0.742  passA 3.660  passW 0.000  passB 2.427  gpu 6.087  total 7.816 ms
frame 11: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.527  submit 0.485  passA 2.751  passW 0.000  passB 2.390  gpu 5.141  total 7.527 ms
frame 12: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.558  submit 0.506  passA 1.884  passW 0.000  passB 2.410  gpu 4.295  total 6.484 ms
frame 13: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.559  submit 0.490  passA 2.720  passW 0.000  passB 2.390  gpu 5.110  total 7.758 ms
frame 14: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.543  submit 1.053  passA 1.933  passW 0.000  passB 3.320  gpu 5.253  total 10.089 ms
frame 15: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.572  submit 0.419  passA 1.899  passW 0.000  passB 4.117  gpu 6.016  total 7.270 ms
