16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 271310 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.490  submit 796.798  passA 2.581  passW 0.000  passB 3.124  gpu 5.705  total 803.227 ms
frame 1: 272034 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.461  submit 0.720  passA 4.623  passW 0.000  passB 3.017  gpu 7.641  total 11.596 ms
frame 2: 268270 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.438  submit 0.393  passA 2.393  passW 0.000  passB 5.461  gpu 7.854  total 11.740 ms
frame 3: 271814 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.456  submit 0.419  passA 3.565  passW 0.000  passB 5.574  gpu 9.139  total 12.182 ms
frame 4: 271154 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.606  submit 0.426  passA 2.514  passW 0.000  passB 4.067  gpu 6.582  total 9.669 ms
frame 5: 269754 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.593  submit 0.478  passA 2.228  passW 0.000  passB 2.817  gpu 5.046  total 8.082 ms
frame 6: 273394 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.624  submit 0.889  passA 2.155  passW 0.000  passB 4.970  gpu 7.125  total 10.741 ms
frame 7: 270226 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.564  submit 1.073  passA 2.335  passW 0.000  passB 3.763  gpu 6.098  total 8.943 ms
frame 8: 270508 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.626  submit 0.625  passA 2.352  passW 0.000  passB 2.781  gpu 5.133  total 8.015 ms
frame 9: 272018 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.616  submit 0.544  passA 2.155  passW 0.000  passB 4.760  gpu 6.915  total 10.417 ms
frame 10: 268444 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.591  submit 0.550  passA 1.997  passW 0.000  passB 3.679  gpu 5.676  total 8.299 ms
frame 11: 271668 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.015  submit 0.703  passA 1.849  passW 0.000  passB 2.310  gpu 4.159  total 7.044 ms
frame 12: 271434 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.663  submit 0.682  passA 2.693  passW 0.000  passB 2.424  gpu 5.117  total 7.477 ms
frame 13: 269922 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.860  submit 0.709  passA 1.844  passW 0.000  passB 2.381  gpu 4.225  total 5.967 ms
frame 14: 272602 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.601  submit 0.531  passA 2.682  passW 0.000  passB 2.309  gpu 4.992  total 7.299 ms
frame 15: 270560 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.694  submit 0.537  passA 1.823  passW 0.000  passB 2.368  gpu 4.192  total 6.189 ms
