16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 271310 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.517  submit 798.132  passA 4.753  passW 0.000  passB 3.064  gpu 7.818  total 806.707 ms
frame 1: 272034 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.442  submit 0.632  passA 3.590  passW 0.000  passB 5.477  gpu 9.068  total 12.184 ms
frame 2: 268270 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.480  submit 0.367  passA 3.618  passW 0.000  passB 5.405  gpu 9.023  total 12.028 ms
frame 3: 271814 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.475  submit 0.857  passA 3.623  passW 0.000  passB 5.372  gpu 8.996  total 13.661 ms
frame 4: 271154 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.588  submit 0.470  passA 2.508  passW 0.000  passB 4.022  gpu 6.531  total 7.711 ms
frame 5: 269754 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.501  submit 0.430  passA 4.407  passW 0.000  passB 2.846  gpu 7.253  total 10.190 ms
frame 6: 273394 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.547  submit 0.890  passA 2.224  passW 0.000  passB 4.533  gpu 6.757  total 10.346 ms
frame 7: 270226 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.007  submit 0.504  passA 1.935  passW 0.000  passB 3.162  gpu 5.097  total 7.531 ms
frame 8: 270508 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.410  passA 3.715  passW 0.000  passB 2.388  gpu 6.103  total 7.191 ms
frame 9: 272018 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.593  submit 0.506  passA 2.801  passW 0.000  passB 2.312  gpu 5.113  total 7.407 ms
frame 10: 268444 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.584  submit 0.461  passA 3.646  passW 0.000  passB 2.405  gpu 6.052  total 7.273 ms
frame 11: 271668 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.682  submit 0.578  passA 2.728  passW 0.000  passB 2.416  gpu 5.144  total 7.727 ms
frame 12: 271434 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.785  submit 0.504  passA 1.902  passW 0.000  passB 2.358  gpu 4.260  total 6.349 ms
frame 13: 269922 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.605  submit 0.536  passA 2.894  passW 0.000  passB 2.336  gpu 5.230  total 7.899 ms
frame 14: 272602 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.526  submit 0.431  passA 1.980  passW 0.000  passB 2.333  gpu 4.314  total 5.508 ms
frame 15: 270560 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.506  submit 0.440  passA 2.720  passW 0.000  passB 2.410  gpu 5.131  total 7.433 ms
