16 frame(s), 1856x928 yuv420p on Adreno (TM) 650
frame 0: 271310 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.518  submit 768.207  passA 3.538  passW 0.000  passB 5.389  gpu 8.928  total 778.865 ms
frame 1: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.456  submit 0.611  passA 2.561  passW 0.000  passB 3.079  gpu 5.641  total 6.920 ms
frame 2: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.394  submit 0.356  passA 4.566  passW 0.000  passB 3.154  gpu 7.721  total 11.987 ms
frame 3: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.384  submit 0.402  passA 4.712  passW 0.000  passB 3.175  gpu 7.887  total 11.581 ms
frame 4: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.548  submit 0.433  passA 3.488  passW 0.000  passB 5.396  gpu 8.884  total 11.857 ms
frame 5: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.504  submit 0.435  passA 3.580  passW 0.000  passB 3.077  gpu 6.657  total 9.699 ms
frame 6: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.607  submit 0.531  passA 2.431  passW 0.000  passB 3.043  gpu 5.475  total 7.740 ms
frame 7: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.534  submit 0.688  passA 4.394  passW 0.000  passB 2.876  gpu 7.271  total 11.304 ms
frame 8: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.500  submit 0.429  passA 3.029  passW 0.000  passB 2.642  gpu 5.671  total 8.722 ms
frame 9: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.532  passA 1.867  passW 0.000  passB 2.324  gpu 4.191  total 8.355 ms
frame 10: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.603  submit 1.542  passA 1.803  passW 0.000  passB 4.180  gpu 5.983  total 8.340 ms
frame 11: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 1.218  submit 0.531  passA 1.875  passW 0.000  passB 3.197  gpu 5.072  total 7.468 ms
frame 12: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.520  submit 0.437  passA 3.716  passW 0.000  passB 2.356  gpu 6.073  total 7.192 ms
frame 13: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.507  submit 0.448  passA 2.680  passW 0.000  passB 2.422  gpu 5.102  total 7.389 ms
frame 14: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.498  submit 0.402  passA 3.538  passW 0.000  passB 2.385  gpu 5.923  total 7.064 ms
frame 15: 271382 B, 2312 tiles (0 tskip, 1 lane group(s), 3 dispatches)  parse 0.619  submit 0.614  passA 2.615  passW 0.000  passB 2.343  gpu 4.959  total 7.512 ms
