frame,full,dx,gpu_ms
0,1,3,0.41588
1,0,3,0.4362
2,1,-3,0.40128
3,0,-3,0.58296
4,1,3,0.51404
5,0,3,0.57208
6,1,-3,0.51372
7,0,-3,0.5648
8,1,3,0.38868
9,0,3,0.53036
10,1,-3,0.46368
11,0,-3,0.42988
12,1,3,0.32408
13,0,3,0.48624
14,1,-3,0.48728
15,0,-3,0.59832
16,1,3,0.50448
17,0,3,0.46352
18,1,-3,0.41024
19,0,-3,0.53376
20,1,3,0.4088
21,0,3,0.45284
22,1,-3,0.41756
23,0,-3,0.55944
24,1,3,0.43816
25,0,3,0.46484
26,1,-3,0.42976
27,0,-3,0.4228
28,1,3,0.41408
29,0,3,0.43432
30,1,-3,0.40792
31,0,-3,0.58848
32,1,3,0.38936
33,0,3,0.43144
34,1,-3,0.39596
35,0,-3,0.44912
36,1,3,0.40164
37,0,3,0.58376
38,1,-3,0.49968
39,0,-3,0.43352
40,1,3,0.51648
41,0,3,0.56744
42,1,-3,0.51524
43,0,-3,0.55788
44,1,3,0.425
45,0,3,0.50484
46,1,-3,0.40244
47,0,-3,0.43816
48,1,3,0.40728
49,0,3,0.51036
50,1,-3,0.40488
51,0,-3,0.43228
52,1,3,0.51604
53,0,3,0.57628
54,1,-3,0.50412
55,0,-3,0.5834
56,1,3,0.48976
57,0,3,0.42332
58,1,-3,0.3942
59,0,-3,0.43656
60,1,3,0.39428
61,0,3,0.4838
62,1,-3,0.38288
63,0,-3,0.4306
64,1,3,0.38844
65,0,3,0.58512
66,1,-3,0.43632
67,0,-3,0.42968
68,1,3,0.39112
69,0,3,0.58148
70,1,-3,0.46272
71,0,-3,0.43928
72,1,3,0.4606
73,0,3,0.45964
74,1,-3,0.41028
75,0,-3,0.57392
76,1,3,0.32348
77,0,3,0.61472
78,1,-3,0.49824
79,0,-3,0.49536
80,1,3,0.40984
81,0,3,0.43348
82,1,-3,0.43668
83,0,-3,0.42328
84,1,3,0.45772
85,0,3,0.42032
86,1,-3,0.39924
87,0,-3,0.44376
88,1,3,0.40964
89,0,3,0.58868
90,1,-3,0.50312
91,0,-3,0.5726
92,1,3,0.51772
93,0,3,0.57536
94,1,-3,0.38412
95,0,-3,0.47452
96,1,3,0.38408
97,0,3,0.52872
98,1,-3,0.34348
99,0,-3,0.42628
100,1,3,0.42096
101,0,3,0.54548
102,1,-3,0.40232
103,0,-3,0.5478
104,1,3,0.41472
105,0,3,0.43432
106,1,-3,0.40944
107,0,-3,0.5442
108,1,3,0.40748
109,0,3,0.50396
110,1,-3,0.40196
111,0,-3,0.57452
112,1,3,0.51852
113,0,3,0.57772
114,1,-3,0.51472
115,0,-3,0.46748
116,1,3,0.38828
117,0,3,0.43864
118,1,-3,0.38236
119,0,-3,0.42764
