frame,full,dx,gpu_ms
0,1,3,1.12036
1,0,3,4.0876
2,1,-3,1.26349
3,0,-3,1.79167
4,1,3,1.13167
5,0,3,1.78708
6,1,-3,3.45865
7,0,-3,1.80495
8,1,3,1.16786
9,0,3,1.61151
10,1,-3,1.02229
11,0,-3,3.67047
12,1,3,1.03062
13,0,3,1.61177
14,1,-3,1.94365
15,0,-3,1.62568
16,1,3,1.0624
17,0,3,3.7525
18,1,-3,1.04729
19,0,-3,1.62708
20,1,3,1.02797
21,0,3,1.62359
22,1,-3,1.08104
23,0,-3,3.72068
24,1,3,1.09677
25,0,3,1.58542
26,1,-3,0.979375
27,0,-3,1.50865
28,1,3,2.90427
29,0,3,1.52802
30,1,-3,0.991198
31,0,-3,1.5112
32,1,3,1.09734
33,0,3,1.52703
34,1,-3,1.20781
35,0,-3,1.53531
36,1,3,1.04667
37,0,3,1.52328
38,1,-3,0.95526
39,0,-3,1.38484
40,1,3,1.20703
41,0,3,3.16318
42,1,-3,1.05964
43,0,-3,1.42312
44,1,3,0.94724
45,0,3,1.36057
46,1,-3,0.917604
47,0,-3,3.09156
48,1,3,0.935156
49,0,3,1.36193
50,1,-3,0.926979
51,0,-3,1.35786
52,1,3,1.89109
53,0,3,1.45401
54,1,-3,2.75089
55,0,-3,1.39891
56,1,3,0.981979
57,0,3,1.38505
58,1,-3,1.82937
59,0,-3,1.47932
60,1,3,0.979219
61,0,3,3.1775
62,1,-3,0.97776
63,0,-3,1.35885
64,1,3,0.929271
65,0,3,2.15964
66,1,-3,0.912187
67,0,-3,1.35693
68,1,3,0.934948
69,0,3,1.35781
70,1,-3,0.91901
71,0,-3,1.3649
72,1,3,1.93906
73,0,3,1.3875
74,1,-3,0.934115
75,0,-3,3.14891
76,1,3,0.980573
77,0,3,1.36667
78,1,-3,1.04323
79,0,-3,1.42536
80,1,3,0.964583
81,0,3,3.12443
82,1,-3,0.94276
83,0,-3,1.3601
84,1,3,0.923802
85,0,3,1.3601
86,1,-3,0.925156
87,0,-3,1.35594
88,1,3,0.911094
89,0,3,3.11828
90,1,-3,0.924375
91,0,-3,1.40646
92,1,3,0.987187
93,0,3,1.40521
94,1,-3,0.953646
95,0,-3,3.11328
96,1,3,1.01224
97,0,3,1.3638
98,1,-3,0.997552
99,0,-3,1.42729
100,1,3,0.998437
101,0,3,1.39115
102,1,-3,2.75599
103,0,-3,1.37646
104,1,3,0.926198
105,0,3,1.3601
106,1,-3,1.72703
107,0,-3,1.35922
108,1,3,0.913854
109,0,3,3.10042
110,1,-3,0.968229
111,0,-3,1.39307
112,1,3,1.00417
113,0,3,1.45927
114,1,-3,1.005
115,0,-3,1.3813
116,1,3,2.72901
117,0,3,1.39542
118,1,-3,0.99974
119,0,-3,1.54453
120,1,3,1.00286
121,0,3,1.39391
122,1,-3,0.909844
123,0,-3,3.11172
124,1,3,0.931927
125,0,3,1.35745
126,1,-3,0.927396
127,0,-3,1.3587
128,1,3,0.906719
129,0,3,1.35578
130,1,-3,2.80161
131,0,-3,1.40234
132,1,3,1.17771
133,0,3,1.44437
134,1,-3,0.954844
135,0,-3,1.36833
136,1,3,2.74615
137,0,3,1.40359
138,1,-3,1.2601
139,0,-3,1.45896
140,1,3,1.83854
141,0,3,1.35953
142,1,-3,0.908906
143,0,-3,3.11
144,1,3,0.93026
145,0,3,1.36104
146,1,-3,0.933906
147,0,-3,2.15203
148,1,3,0.915937
149,0,3,1.35656
150,1,-3,2.82812
151,0,-3,1.45062
152,1,3,1.05687
153,0,3,1.3651
154,1,-3,0.965625
155,0,-3,1.37016
156,1,3,0.997604
157,0,3,1.54151
158,1,-3,1.08583
159,0,-3,1.38198
160,1,3,1.74573
161,0,3,1.35625
162,1,-3,0.908021
163,0,-3,3.09823
164,1,3,0.929844
165,0,3,1.35859
166,1,-3,0.926094
167,0,-3,2.15625
168,1,3,0.915312
169,0,3,1.41812
170,1,-3,2.78885
171,0,-3,1.43776
172,1,3,1.02297
173,0,3,1.39984
174,1,-3,0.988646
175,0,-3,1.37422
176,1,3,2.90062
177,0,3,1.37396
178,1,-3,1.00937
179,0,-3,1.40474
180,1,3,0.920521
181,0,3,1.35583
182,1,-3,0.907969
183,0,-3,3.1125
184,1,3,0.923281
185,0,3,1.35922
186,1,-3,0.932083
187,0,-3,2.19734
188,1,3,0.960833
189,0,3,1.39411
190,1,-3,2.79552
191,0,-3,1.38094
192,1,3,0.973177
193,0,3,1.38208
194,1,-3,0.989531
195,0,-3,1.38266
196,1,3,1.2551
197,0,3,1.39958
198,1,-3,1.04021
199,0,-3,1.40875
200,1,3,0.933333
201,0,3,1.35875
202,1,-3,0.911302
203,0,-3,3.09266
204,1,3,0.942031
205,0,3,1.35589
206,1,-3,0.928698
207,0,-3,1.36115
208,1,3,1.8576
209,0,3,1.43724
210,1,-3,1.11187
211,0,-3,1.4199
212,1,3,1.01109
213,0,3,1.39391
214,1,-3,1.02177
215,0,-3,1.53005
216,1,3,1.10208
217,0,3,3.14422
218,1,-3,1.02745
219,0,-3,1.36224
220,1,3,0.925365
221,0,3,1.35557
222,1,-3,0.927865
223,0,-3,1.35823
224,1,3,2.65839
225,0,3,1.37839
226,1,-3,0.930729
227,0,-3,1.36203
228,1,3,1.86307
229,0,3,1.42698
230,1,-3,0.935
231,0,-3,3.12771
232,1,3,0.951719
233,0,3,1.37318
234,1,-3,1.01146
235,0,-3,2.26969
236,1,3,0.98901
237,0,3,3.13396
238,1,-3,0.953385
239,0,-3,1.3612
