frame,full,dx,gpu_ms
0,1,3,1.18729
1,0,3,1.79917
2,1,-3,1.25161
3,0,-3,1.79255
4,1,3,3.45818
5,0,3,1.8274
6,1,-3,1.34708
7,0,-3,1.61995
8,1,3,1.0175
9,0,3,3.66141
10,1,-3,1.04823
11,0,-3,1.61104
12,1,3,1.94953
13,0,3,1.61146
14,1,-3,1.02068
15,0,-3,3.68917
16,1,3,1.24198
17,0,3,1.64193
18,1,-3,1.04109
19,0,-3,1.53312
20,1,3,2.92547
21,0,3,1.61714
22,1,-3,1.17297
23,0,-3,1.52151
24,1,3,0.97625
25,0,3,1.50422
26,1,-3,2.9026
27,0,-3,1.52932
28,1,3,0.977865
29,0,3,1.50589
30,1,-3,0.976354
31,0,-3,1.505
32,1,3,1.08807
33,0,3,3.52062
34,1,-3,1.14495
35,0,-3,1.51234
36,1,3,0.962917
37,0,3,1.35797
38,1,-3,0.979375
39,0,-3,1.44552
40,1,3,0.989687
41,0,3,1.38349
42,1,-3,1.72328
43,0,-3,1.35516
44,1,3,0.907552
45,0,3,3.08807
46,1,-3,0.908958
47,0,-3,1.37682
48,1,3,0.916927
49,0,3,2.15047
50,1,-3,0.94875
51,0,-3,1.37958
52,1,3,1.02943
53,0,3,1.41302
54,1,-3,1.02922
55,0,-3,1.39958
56,1,3,1.07323
57,0,3,1.38339
58,1,-3,2.89078
59,0,-3,1.39599
60,1,3,1.01182
61,0,3,1.41453
62,1,-3,1.71797
63,0,-3,1.35698
64,1,3,0.900156
65,0,3,3.0976
66,1,-3,0.940208
67,0,-3,1.35875
68,1,3,0.923594
69,0,3,2.18109
70,1,-3,0.979844
71,0,-3,1.42849
72,1,3,2.80474
73,0,3,1.39646
74,1,-3,0.993073
75,0,-3,1.39766
76,1,3,1.85036
77,0,3,1.5137
78,1,-3,2.84682
79,0,-3,1.40786
80,1,3,1.09161
81,0,3,1.3588
82,1,-3,1.72562
83,0,-3,1.35786
84,1,3,0.907812
85,0,3,3.09443
86,1,-3,0.935
87,0,-3,1.35948
88,1,3,0.927604
89,0,3,1.35641
90,1,-3,1.14328
91,0,-3,1.39297
92,1,3,1.02365
93,0,3,1.40521
94,1,-3,1.01578
95,0,-3,1.40312
96,1,3,1.26594
97,0,3,1.42229
98,1,-3,2.76104
99,0,-3,1.4188
100,1,3,0.936562
101,0,3,1.35766
102,1,-3,1.72318
103,0,-3,1.35703
104,1,3,0.90526
105,0,3,3.09646
106,1,-3,0.923021
107,0,-3,1.36292
108,1,3,0.9425
109,0,3,1.42354
110,1,-3,1.92609
111,0,-3,1.36729
112,1,3,2.73437
113,0,3,1.39516
114,1,-3,0.965417
115,0,-3,1.40651
116,1,3,1.27562
117,0,3,1.41016
118,1,-3,2.85911
119,0,-3,1.39083
120,1,3,0.970052
121,0,3,1.37089
122,1,-3,0.966771
123,0,-3,1.3699
124,1,3,0.943073
125,0,3,1.35901
126,1,-3,0.968646
127,0,-3,1.41437
128,1,3,1.02479
129,0,3,2.22771
130,1,-3,1.005
131,0,-3,3.13234
132,1,3,0.982708
133,0,3,1.3874
134,1,-3,1.83172
135,0,-3,1.3799
136,1,3,1.0775
137,0,3,1.36026
138,1,-3,0.962865
139,0,-3,1.36307
140,1,3,0.939635
141,0,3,1.3587
142,1,-3,0.910677
143,0,-3,3.08995
144,1,3,0.931927
145,0,3,1.4237
146,1,-3,1.01318
147,0,-3,1.50339
148,1,3,1.01203
149,0,3,1.37495
150,1,-3,2.7063
151,0,-3,1.41432
152,1,3,1.0362
153,0,3,1.47375
154,1,-3,1.00865
155,0,-3,1.36271
156,1,3,2.6813
157,0,3,1.38104
158,1,-3,0.938542
159,0,-3,1.3624
160,1,3,0.916146
161,0,3,1.35365
162,1,-3,0.902135
163,0,-3,3.11354
164,1,3,1.02042
165,0,3,1.44229
166,1,-3,1.15693
167,0,-3,1.38969
168,1,3,0.982656
169,0,3,1.38516
170,1,-3,2.71589
171,0,-3,1.51312
172,1,3,1.12333
173,0,3,1.37849
174,1,-3,0.923542
175,0,-3,1.35344
176,1,3,0.907448
177,0,3,3.09422
178,1,-3,0.949948
179,0,-3,1.35828
180,1,3,0.920833
181,0,3,1.35781
182,1,-3,0.90599
183,0,-3,1.36167
184,1,3,2.80266
185,0,3,1.48016
186,1,-3,1.06193
187,0,-3,2.17958
188,1,3,0.984323
189,0,3,1.37708
190,1,-3,2.93661
191,0,-3,1.46911
192,1,3,0.972292
193,0,3,1.38422
194,1,-3,0.913177
195,0,-3,1.35292
196,1,3,0.905469
197,0,3,3.09365
198,1,-3,0.937031
199,0,-3,1.35885
200,1,3,0.92526
201,0,3,1.35937
202,1,-3,0.99401
203,0,-3,1.37156
204,1,3,2.85917
205,0,3,1.39547
206,1,-3,0.967917
207,0,-3,1.37187
208,1,3,0.931823
209,0,3,1.37932
210,1,-3,1.01932
211,0,-3,3.16891
212,1,3,1.02839
213,0,3,1.38474
214,1,-3,1.08536
215,0,-3,1.35745
216,1,3,0.90276
217,0,3,3.08792
218,1,-3,0.915417
219,0,-3,1.37677
220,1,3,0.922187
221,0,3,1.35443
222,1,-3,1.02156
223,0,-3,1.37729
224,1,3,1.11844
225,0,3,1.36219
226,1,-3,1.06578
227,0,-3,1.39932
228,1,3,1.00078
229,0,3,1.37167
230,1,-3,0.976458
231,0,-3,3.25396
232,1,3,1.0124
233,0,3,1.39281
234,1,-3,1.035
235,0,-3,1.35682
236,1,3,0.916198
237,0,3,1.35339
238,1,-3,2.65786
239,0,-3,1.37516
