frame,full,dx,gpu_ms
0,1,3,1.15042
1,0,3,4.04849
2,1,-3,1.12443
3,0,-3,1.7813
4,1,3,1.02687
5,0,3,1.61047
6,1,-3,1.04854
7,0,-3,1.63104
8,1,3,1.09104
9,0,3,1.65786
10,1,-3,1.08995
11,0,-3,3.68151
12,1,3,1.09974
13,0,3,1.64255
14,1,-3,1.99151
15,0,-3,1.62573
16,1,3,1.01651
17,0,3,3.43859
18,1,-3,0.982812
19,0,-3,1.50937
20,1,3,1.85151
21,0,3,1.5088
22,1,-3,0.96625
23,0,-3,3.4687
24,1,3,1.08844
25,0,3,1.58526
26,1,-3,1.09833
27,0,-3,1.53958
28,1,3,1.04484
29,0,3,3.46375
30,1,-3,1.24474
31,0,-3,1.43964
32,1,3,1.78885
33,0,3,1.35885
34,1,-3,0.909062
35,0,-3,3.11187
36,1,3,0.934948
37,0,3,1.36354
38,1,-3,0.933333
39,0,-3,2.14859
40,1,3,0.915156
41,0,3,1.35781
42,1,-3,2.85448
43,0,-3,1.4763
44,1,3,1.08932
45,0,3,1.36734
46,1,-3,0.965104
47,0,-3,1.37521
48,1,3,0.998125
49,0,3,1.49427
50,1,-3,1.17365
51,0,-3,1.38693
52,1,3,1.02844
53,0,3,1.35906
54,1,-3,0.903229
55,0,-3,3.09901
56,1,3,0.947552
57,0,3,1.35922
58,1,-3,0.937344
59,0,-3,2.15802
60,1,3,0.918125
61,0,3,1.42198
62,1,-3,1.1774
63,0,-3,1.40635
64,1,3,1.07031
65,0,3,2.17443
66,1,-3,1.01943
67,0,-3,1.37609
68,1,3,1.06974
69,0,3,1.37719
70,1,-3,1.02307
71,0,-3,1.39771
72,1,3,0.92224
73,0,3,1.35505
74,1,-3,0.916198
75,0,-3,3.11547
76,1,3,0.923125
77,0,3,1.3576
78,1,-3,0.932396
79,0,-3,1.42172
80,1,3,0.961302
81,0,3,1.40844
82,1,-3,0.952865
83,0,-3,1.3887
84,1,3,1.00812
85,0,3,1.37391
86,1,-3,0.956927
87,0,-3,1.3938
88,1,3,2.94818
89,0,3,1.39969
90,1,-3,1.06151
91,0,-3,1.40089
92,1,3,0.942552
93,0,3,1.35896
94,1,-3,0.917031
95,0,-3,3.09599
96,1,3,0.932812
97,0,3,1.35839
98,1,-3,0.927604
99,0,-3,1.36078
100,1,3,1.02052
101,0,3,1.4413
102,1,-3,2.82797
103,0,-3,1.39406
104,1,3,0.957448
105,0,3,1.37708
106,1,-3,0.996146
107,0,-3,1.4912
108,1,3,1.04969
109,0,3,3.14047
110,1,-3,1.02677
111,0,-3,1.36036
112,1,3,0.930208
113,0,3,2.15729
114,1,-3,0.909115
115,0,-3,1.35693
116,1,3,2.67229
117,0,3,1.36021
118,1,-3,0.921615
119,0,-3,1.36151
120,1,3,1.8849
121,0,3,1.40266
122,1,-3,0.92224
123,0,-3,3.14453
124,1,3,0.997396
125,0,3,1.3975
126,1,-3,1.01891
127,0,-3,1.42854
128,1,3,0.954896
129,0,3,3.13557
130,1,-3,0.931302
131,0,-3,1.36448
132,1,3,0.926667
133,0,3,1.35865
134,1,-3,0.917604
135,0,-3,1.35552
136,1,3,2.65391
137,0,3,1.37818
138,1,-3,0.930156
139,0,-3,1.39943
140,1,3,1.84385
141,0,3,1.3663
142,1,-3,0.967135
143,0,-3,3.15151
144,1,3,0.959531
145,0,3,1.41349
146,1,-3,0.999323
147,0,-3,1.37281
148,1,3,0.978281
149,0,3,3.13198
150,1,-3,0.933958
151,0,-3,1.3601
152,1,3,0.928229
153,0,3,1.35979
154,1,-3,0.919531
155,0,-3,1.35693
156,1,3,0.916823
157,0,3,1.37812
158,1,-3,1.0312
159,0,-3,1.3812
160,1,3,1.08083
161,0,3,1.37073
162,1,-3,0.957604
163,0,-3,3.10859
164,1,3,0.964687
165,0,3,1.37828
166,1,-3,1.04307
167,0,-3,1.52016
168,1,3,1.05245
169,0,3,1.39198
170,1,-3,2.66193
171,0,-3,1.37932
172,1,3,0.929635
173,0,3,1.36141
174,1,-3,1.73036
175,0,-3,1.35865
176,1,3,0.910417
177,0,3,3.10833
178,1,-3,0.998906
179,0,-3,1.39516
180,1,3,1.16026
181,0,3,2.16635
182,1,-3,0.943333
183,0,-3,1.36932
184,1,3,2.77125
185,0,3,1.40844
186,1,-3,1.18792
187,0,-3,1.43328
188,1,3,0.971042
189,0,3,1.35375
190,1,-3,0.911771
191,0,-3,1.37911
192,1,3,0.913021
193,0,3,1.35641
194,1,-3,0.921615
195,0,-3,1.35797
196,1,3,0.906667
197,0,3,1.35583
198,1,-3,2.77161
199,0,-3,1.43891
200,1,3,1.1425
201,0,3,1.37
202,1,-3,0.998542
203,0,-3,1.39068
204,1,3,0.926875
205,0,3,3.17547
206,1,-3,1.21151
207,0,-3,1.42547
208,1,3,0.997656
209,0,3,1.35807
210,1,-3,0.904271
211,0,-3,3.10224
212,1,3,0.939167
213,0,3,1.36026
214,1,-3,0.925365
215,0,-3,1.35724
216,1,3,0.915781
217,0,3,1.36359
218,1,-3,0.986146
219,0,-3,3.22625
220,1,3,1.1549
221,0,3,1.36104
222,1,-3,1.01786
223,0,-3,1.39484
224,1,3,0.992969
225,0,3,3.19495
226,1,-3,0.998854
227,0,-3,1.39297
228,1,3,1.07797
229,0,3,2.15406
230,1,-3,0.912656
231,0,-3,1.35656
232,1,3,2.67542
233,0,3,1.35865
234,1,-3,0.926302
235,0,-3,1.3613
236,1,3,1.73818
237,0,3,1.38474
238,1,-3,0.984583
239,0,-3,3.18969
