frame,full,dx,gpu_ms
0,1,3,1.14812
1,0,3,4.24766
2,1,-3,1.13391
3,0,-3,2.02698
4,1,3,1.1625
5,0,3,1.80417
6,1,-3,3.08307
7,0,-3,1.76151
8,1,3,1.02875
9,0,3,2.67401
10,1,-3,1.01068
11,0,-3,3.81547
12,1,3,1.13932
13,0,3,1.83068
14,1,-3,1.04453
15,0,-3,1.77635
16,1,3,1.01479
17,0,3,3.85594
18,1,-3,1.15521
19,0,-3,1.6725
20,1,3,0.970365
21,0,3,1.64609
22,1,-3,2.8776
23,0,-3,1.67047
24,1,3,0.975052
25,0,3,1.6488
26,1,-3,0.970469
27,0,-3,1.64745
28,1,3,1.08568
29,0,3,1.73016
30,1,-3,1.09812
31,0,-3,1.65312
32,1,3,0.996875
33,0,3,1.4863
34,1,-3,0.98526
35,0,-3,3.39318
36,1,3,1.00917
37,0,3,1.5174
38,1,-3,1.1026
39,0,-3,1.48859
40,1,3,0.899896
41,0,3,3.22115
42,1,-3,0.905573
43,0,-3,1.49219
44,1,3,0.923958
45,0,3,2.28411
46,1,-3,1.0463
47,0,-3,1.5051
48,1,3,2.89115
49,0,3,1.50021
50,1,-3,1.03401
51,0,-3,1.52979
52,1,3,1.02526
53,0,3,1.51344
54,1,-3,2.96641
55,0,-3,1.52125
56,1,3,1.0637
57,0,3,1.53625
58,1,-3,0.906094
59,0,-3,1.48448
60,1,3,0.90849
61,0,3,1.50641
62,1,-3,0.898594
63,0,-3,1.48984
64,1,3,0.911094
65,0,3,1.52078
66,1,-3,1.025
67,0,-3,3.31792
68,1,3,0.952917
69,0,3,1.51552
70,1,-3,0.96224
71,0,-3,1.5113
72,1,3,0.991927
73,0,3,1.60172
74,1,-3,0.989896
75,0,-3,1.52052
76,1,3,1.02714
77,0,3,1.48844
78,1,-3,0.905677
79,0,-3,1.48536
80,1,3,0.90276
81,0,3,1.50516
82,1,-3,0.908958
83,0,-3,1.48958
84,1,3,1.03089
85,0,3,1.55531
86,1,-3,1.09604
87,0,-3,3.27734
88,1,3,1.01036
89,0,3,1.52271
90,1,-3,1.00641
91,0,-3,2.40766
92,1,3,1.03885
93,0,3,3.26672
94,1,-3,1.02104
95,0,-3,1.48708
96,1,3,0.909323
97,0,3,2.28906
98,1,-3,0.897865
99,0,-3,1.48448
100,1,3,2.64672
101,0,3,1.50859
102,1,-3,0.908802
103,0,-3,1.49714
104,1,3,1.93266
105,0,3,1.50682
106,1,-3,0.938542
107,0,-3,3.28484
108,1,3,1.00604
109,0,3,1.49656
110,1,-3,0.976354
111,0,-3,1.50682
112,1,3,0.954427
113,0,3,3.25896
114,1,-3,0.903385
115,0,-3,1.48802
116,1,3,0.914792
117,0,3,1.48687
118,1,-3,0.893333
119,0,-3,3.21651
120,1,3,0.92224
121,0,3,1.48755
122,1,-3,0.995833
123,0,-3,1.53385
124,1,3,0.932083
125,0,3,1.50417
126,1,-3,1.0074
127,0,-3,1.49443
128,1,3,0.989427
129,0,3,1.55406
130,1,-3,0.982396
131,0,-3,1.51396
132,1,3,2.65125
133,0,3,1.49182
134,1,-3,0.909219
135,0,-3,1.48964
136,1,3,0.906094
137,0,3,1.48474
138,1,-3,0.896302
139,0,-3,3.24328
140,1,3,1.09089
141,0,3,1.52141
142,1,-3,1.15672
143,0,-3,1.50323
144,1,3,0.938906
145,0,3,3.26094
146,1,-3,0.969896
147,0,-3,1.54318
148,1,3,1.10292
149,0,3,1.52115
150,1,-3,0.909687
151,0,-3,3.22443
152,1,3,0.909948
153,0,3,1.48906
154,1,-3,0.920052
155,0,-3,2.2862
156,1,3,0.899323
157,0,3,1.48432
158,1,-3,2.74359
159,0,-3,1.5275
160,1,3,1.16781
161,0,3,1.57135
162,1,-3,0.938542
163,0,-3,1.49906
164,1,3,2.69021
165,0,3,1.53661
166,1,-3,1.18958
167,0,-3,1.5563
168,1,3,0.964167
169,0,3,1.48578
170,1,-3,0.895677
171,0,-3,3.24151
172,1,3,0.919115
173,0,3,1.49062
174,1,-3,0.908646
175,0,-3,2.27521
176,1,3,0.895521
177,0,3,1.49896
178,1,-3,1.06693
179,0,-3,1.5763
180,1,3,0.988646
181,0,3,1.49698
182,1,-3,0.987292
183,0,-3,1.49078
184,1,3,1.23047
185,0,3,1.56995
186,1,-3,0.986562
187,0,-3,1.50818
188,1,3,0.91
189,0,3,1.4837
190,1,-3,2.64583
191,0,-3,1.51115
192,1,3,0.913385
193,0,3,1.49141
194,1,-3,1.70875
195,0,-3,1.49464
196,1,3,1.00365
197,0,3,3.36031
198,1,-3,0.994583
199,0,-3,1.50911
200,1,3,0.979479
201,0,3,1.49443
202,1,-3,0.95526
203,0,-3,3.32229
204,1,3,1.01073
205,0,3,1.52099
206,1,-3,1.06953
207,0,-3,2.29422
208,1,3,0.899792
209,0,3,1.48474
210,1,-3,2.6599
211,0,-3,1.49187
212,1,3,0.914635
213,0,3,1.48797
214,1,-3,1.03828
215,0,-3,1.50432
216,1,3,1.10922
217,0,3,3.25656
218,1,-3,1.02359
219,0,-3,1.535
220,1,3,1.77453
221,0,3,1.51958
222,1,-3,1.21297
223,0,-3,3.27651
224,1,3,1.0874
225,0,3,1.52255
226,1,-3,0.909375
227,0,-3,1.48729
228,1,3,0.899583
229,0,3,3.22615
230,1,-3,0.927187
231,0,-3,1.48812
232,1,3,0.913437
233,0,3,1.53333
234,1,-3,1.03552
235,0,-3,1.55198
236,1,3,2.77594
237,0,3,1.52542
238,1,-3,0.984583
239,0,-3,1.52052
