(0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.004) (0.004,0.004) (0.004,0.004) (0.004,0.004) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.004,0.003) (-0.012,0.003) (-0.016,0.003) (-0.016,0.003) (-0.016,0.002) (-0.016,0.002) (-0.016,0.002) (-0.016,0.002) (-0.016,0.002) (-0.016,0.002) (-0.016,0.002) (-0.016,0.001) (-0.020,0.001) (-0.016,0.001) (-0.020,0.001) (-0.020,0.001) (-0.016,0.000) (-0.020,0.000)
(-0.020,0.001) (-0.017,0.001) (-0.002,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.014,0.001) (0.016,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.015,0.001) (0.015,0.002) (0.016,0.002) (0.015,0.002) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.001) (0.016,0.001) (0.017,0.001) (0.020,0.001) (0.021,0.000) (0.022,0.000) (0.020,0.000) (0.020,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.018,0.000) (0.029,0.000) (0.021,0.000) (0.018,0.000) (0.018,0.000) (0.017,0.000) (0.017,0.000) (0.016,0.000) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.017,0.000) (0.017,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.011,-0.001) (0.016,-0.001) (0.018,-0.001) (0.017,-0.001) (0.016,-0.001) (-0.016,-0.001) (-0.016,-0.001) (-0.020,-0.001)
(0.020,0.002) (0.027,0.001) (0.023,0.001) (0.021,0.001) (0.020,0.001) (0.019,0.001) (0.017,0.001) (0.017,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.016,0.000) (0.017,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.001) (0.018,-0.001) (0.018,-0.001) (0.019,-0.001) (0.016,-0.002) (-0.020,-0.001)
(0.023,0.002) (0.022,0.002) (0.022,0.001) (0.022,0.001) (0.020,0.001) (0.018,0.001) (0.017,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.017,0.000) (0.017,-0.000) (0.017,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.001) (0.017,-0.001) (0.019,-0.001) (0.020,-0.001) (0.019,-0.002) (0.021,-0.001)
(0.023,0.002) (0.022,0.001) (0.022,0.001) (0.021,0.000) (0.020,0.000) (0.019,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.002) (0.016,-0.002) (0.008,-0.008) (0.008,-0.008) (0.008,-0.008) (0.008,-0.008) (0.008,-0.008) (0.016,-0.003) (0.008,-0.008) (0.008,-0.008) (0.007,-0.008) (0.008,-0.008) (0.009,-0.008) (-0.002,-0.015)
(0.009,0.006) (0.009,0.006) (0.008,0.006) (0.007,0.006) (0.007,0.006) (0.032,-0.008) (0.032,-0.007) (0.032,-0.007) (0.032,-0.007) (0.032,-0.007) (0.032,-0.007) (0.018,0.001) (0.018,0.001) (0.032,-0.007) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.017,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.020,-0.000) (0.018,-0.000) (0.017,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.009,-0.009) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.008,-0.009) (0.008,-0.009) (0.008,-0.009) (0.008,-0.008) (-0.002,-0.015) (-0.001,-0.016)
(-0.003,0.014) (0.009,0.009) (0.009,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.007,0.007) (0.031,-0.008) (0.031,-0.008) (0.031,-0.008) (0.031,-0.008) (0.031,-0.008) (0.031,-0.008) (0.031,-0.008) (0.030,-0.008) (0.017,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.017,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.002) (0.017,-0.002) (0.017,-0.002) (0.017,-0.002) (0.017,-0.002) (0.009,-0.009) (0.009,-0.010) (0.009,-0.010) (0.000,-0.017) (-0.000,-0.017)
(-0.001,0.016) (-0.001,0.015) (0.009,0.008) (0.009,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.007,0.007) (0.007,0.007) (0.007,0.007) (0.007,0.007) (0.007,0.007) (0.006,0.007) (0.017,0.001) (0.017,0.000) (0.017,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,0.000) (0.015,-0.000) (0.015,-0.000) (0.014,-0.000) (0.013,-0.000) (0.016,0.000) (0.016,0.000) (0.018,-0.000) (0.017,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.023,0.008) (0.023,0.008) (0.024,0.007) (0.024,0.007) (0.024,0.007) (0.032,0.015) (0.032,0.015) (0.017,-0.003) (-0.001,-0.020) (0.001,-0.018)
(0.001,0.016) (0.000,0.016) (-0.000,0.015) (0.009,0.009) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.007) (0.007,0.007) (0.007,0.007) (0.007,0.007) (0.017,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,0.000) (0.015,-0.000) (0.014,-0.001) (0.014,-0.000) (0.013,-0.001) (0.016,0.000) (0.016,0.000) (0.018,-0.000) (0.017,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.001) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.002) (0.007,-0.015) (0.023,0.008) (0.007,-0.015) (0.007,-0.014) (0.024,0.007) (0.006,-0.013) (0.031,0.015) (-0.000,-0.024) (0.000,-0.024)
(0.001,0.017) (0.001,0.016) (0.001,0.016) (0.000,0.015) (0.009,0.009) (0.009,0.009) (0.009,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.007) (0.007,0.007) (0.007,0.007) (0.007,0.007) (0.007,0.007) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.014,-0.001) (0.014,-0.001) (0.012,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.008,-0.016) (0.016,-0.001) (0.008,-0.016) (0.008,-0.016) (0.008,-0.016) (0.008,-0.015) (0.007,-0.015) (0.024,0.007) (0.007,-0.014) (0.007,-0.014) (0.007,-0.014)
(-0.006,0.024) (-0.006,0.025) (0.001,0.017) (0.001,0.017) (0.001,0.016) (0.001,0.016) (0.009,0.009) (0.009,0.008) (0.009,0.008) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.007,0.007) (0.007,0.007) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.016,-0.000) (0.016,0.000) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.014,-0.001) (0.013,-0.001) (0.012,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.000) (0.016,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.002) (0.016,-0.002) (0.008,-0.017) (0.008,-0.016) (0.008,-0.016) (0.008,-0.016) (-0.001,-0.030)
(-0.004,0.021) (-0.004,0.026) (0.018,0.003) (0.018,0.003) (0.018,0.002) (0.025,-0.006) (0.001,0.017) (0.025,-0.006) (0.025,-0.007) (0.017,0.001) (0.008,0.008) (0.008,0.008) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.014,-0.002) (0.014,-0.001) (0.013,-0.002) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,0.000) (0.015,0.000) (0.015,-0.001) (0.016,-0.001) (0.016,-0.001) (0.015,-0.001) (0.016,-0.000) (0.016,-0.002) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.002) (0.016,-0.002) (0.016,-0.003) (0.017,-0.002) (0.009,-0.018) (0.024,0.007) (0.009,-0.019)
(-0.001,0.022) (-0.001,0.022) (0.006,0.013) (0.017,0.002) (0.024,-0.007) (0.024,-0.007) (0.024,-0.007) (0.024,-0.007) (0.024,-0.007) (0.024,-0.007) (0.008,0.008) (0.008,0.008) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.014,-0.002) (0.015,-0.001) (0.012,0.002) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.015,-0.002) (0.015,-0.001) (0.015,-0.002) (0.015,-0.001) (0.016,0.000) (0.015,-0.002) (0.015,-0.003) (0.015,0.000) (0.015,0.000) (0.015,0.001) (0.015,0.000) (0.016,-0.001) (0.015,-0.000) (0.015,0.000) (0.016,0.000) (0.016,-0.001) (0.016,-0.000) (0.015,-0.001) (0.016,-0.000) (0.016,-0.001) (0.016,-0.002) (0.016,-0.002) (0.016,-0.002) (0.016,-0.002) (0.017,-0.002) (0.023,0.009) (0.010,-0.020)
(0.001,0.024) (0.001,0.024) (0.007,0.014) (0.017,0.002) (0.023,-0.008) (0.023,-0.008) (0.023,-0.008) (0.023,-0.008) (0.024,-0.008) (0.024,-0.008) (0.024,-0.008) (0.008,0.008) (0.008,0.008) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.001) (0.016,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.015,-0.002) (0.015,-0.001) (0.015,-0.002) (0.015,-0.001) (0.016,0.000) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.015,-0.001) (0.015,0.000) (0.016,0.000) (0.015,0.004) (0.016,0.000) (0.015,0.000) (0.016,-0.003) (0.016,-0.002) (0.015,-0.002) (0.016,-0.001) (0.016,-0.002) (0.016,-0.002) (0.016,-0.003) (0.016,-0.002) (0.016,-0.002) (0.024,0.014) (0.015,-0.007) (0.014,-0.012)
(-0.003,0.028) (0.008,0.016) (0.007,0.015) (0.023,-0.009) (0.017,0.002) (0.017,0.002) (0.023,-0.009) (0.023,-0.009) (0.023,-0.009) (0.016,0.001) (0.016,0.000) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.000) (0.016,0.000) (0.016,-0.001) (0.015,-0.002) (0.016,-0.003) (0.015,-0.003) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.000) (0.009,0.009) (0.009,0.010) (0.015,-0.002) (0.015,-0.002) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.016,0.000) (0.016,-0.002) (0.015,-0.004) (0.015,-0.002) (0.015,0.000) (0.016,-0.004) (0.016,0.002) (0.015,0.004) (0.016,0.004) (0.016,0.004) (0.016,0.004) (0.017,0.004) (0.017,0.004) (0.017,0.004) (0.017,0.004) (0.025,0.013) (0.025,0.004)
(-0.001,0.030) (-0.001,0.029) (0.008,0.016) (0.017,0.002) (0.016,0.002) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,-0.000) (0.016,-0.001) (0.015,-0.001) (0.015,-0.001) (0.016,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.016,0.001) (0.015,0.000) (0.015,0.001) (0.015,0.001) (0.014,0.000) (0.014,0.000) (0.014,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.015,0.000) (0.008,0.008) (0.009,0.009) (0.009,0.009) (0.015,-0.001) (0.015,-0.002) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.015,-0.002) (0.016,-0.002) (0.015,-0.003) (0.015,-0.002) (0.016,-0.006) (0.015,-0.007) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.015,0.000) (0.015,-0.000) (0.014,-0.000) (0.015,-0.000) (0.016,-0.000) (0.017,-0.000) (0.019,-0.000) (0.030,-0.000)
(0.001,0.032) (0.000,0.031) (0.009,0.018) (0.017,0.003) (0.016,0.002) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.015,-0.000) (0.016,-0.001) (0.015,-0.002) (0.015,-0.001) (0.016,-0.001) (0.015,-0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.016,0.001) (0.015,0.001) (0.015,0.001) (0.014,0.001) (0.013,0.001) (0.013,0.001) (0.012,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.016,0.000) (0.015,-0.000) (0.008,0.008) (0.008,0.009) (0.008,0.009) (0.008,0.009) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.002) (0.015,-0.002) (0.015,-0.002) (0.015,-0.004) (0.016,-0.005) (0.016,-0.001) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.014,-0.000) (0.015,-0.000) (0.016,-0.000) (0.017,-0.000) (0.019,-0.000) (0.032,-0.000)
(0.002,0.034) (0.002,0.034) (0.007,0.021) (0.017,0.004) (0.017,0.002) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.001) (0.016,0.001) (0.015,0.001) (0.015,0.000) (0.015,-0.000) (0.015,0.000) (0.015,-0.000) (0.015,0.000) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.016,0.001) (0.015,0.000) (0.015,0.000) (0.014,0.001) (0.014,0.001) (0.014,0.000) (0.003,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.016,0.000) (0.015,-0.000) (0.008,0.008) (0.008,0.008) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,0.000) (0.016,-0.001) (0.017,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.014,-0.000) (0.015,-0.000) (0.016,-0.000) (0.016,-0.000) (0.019,-0.000) (0.033,-0.000)
(0.013,0.020) (0.016,0.011) (0.015,0.006) (0.015,0.005) (0.016,0.003) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.001) (0.016,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.016,0.001) (0.015,0.000) (0.015,0.001) (0.015,0.000) (0.014,0.001) (0.014,0.001) (0.014,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.000) (0.014,0.000) (0.014,0.000) (0.020,0.000) (0.003,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.016,0.000) (0.015,0.000) (0.015,-0.000) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.016,-0.000) (0.017,-0.001) (0.016,-0.002) (0.016,-0.002) (0.015,-0.002) (0.015,-0.002) (0.014,-0.002) (0.015,-0.002) (0.016,-0.002) (0.016,-0.002) (0.018,-0.002) (0.033,-0.002)
(0.014,0.003) (0.014,0.003) (0.015,0.003) (0.015,0.003) (0.015,0.003) (0.016,0.003) (0.015,0.003) (0.016,0.001) (0.016,0.001) (0.016,0.002) (0.016,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.015,0.001) (0.015,0.000) (0.014,0.001) (0.013,0.001) (0.014,0.001) (0.015,0.001) (0.015,0.001) (0.015,0.000) (0.015,0.000) (0.014,0.001) (0.014,0.002) (0.016,0.003) (0.016,0.003) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.003) (0.015,0.001) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.001) (0.016,-0.001) (0.017,-0.003) (0.016,-0.003) (0.016,-0.003) (0.016,-0.002) (0.015,-0.002) (0.014,-0.002) (0.016,-0.002) (0.016,-0.002) (0.016,-0.002) (0.018,-0.002) (0.034,-0.015)
