(0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (-0.002,0.003) (-0.004,0.002) (-0.004,0.002) (0.004,0.002) (0.035,0.002) (0.020,0.002) (0.023,0.002) (0.021,0.002) (0.018,0.002) (0.016,0.001) (0.014,0.001) (0.014,0.000) (0.013,-0.000) (0.014,-0.000) (0.015,-0.000) (0.014,-0.001) (0.013,-0.001) (0.014,-0.001) (-0.014,0.000) (-0.020,0.000) (-0.020,-0.000) (-0.020,-0.000) (-0.016,-0.000) (-0.020,-0.000)
(0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.000,0.000) (0.008,0.000) (0.000,0.008) (0.000,0.008) (0.000,0.008) (0.000,0.012) (0.000,0.012) (0.000,0.012) (0.000,0.012) (0.035,0.003) (0.035,0.003) (0.035,0.003) (0.035,0.002) (0.001,0.002) (-0.016,0.001) (-0.004,0.001) (0.007,0.001) (0.012,0.001) (0.016,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.002) (0.017,0.002) (0.016,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.015,0.000) (0.015,0.000) (0.014,0.000) (0.013,0.000) (0.010,0.000) (0.005,0.000) (0.000,0.000) (0.003,0.000) (0.004,0.000) (0.017,-0.000) (0.020,-0.000) (0.020,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,0.000) (0.017,0.000) (0.017,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.018,-0.001) (0.018,-0.001) (0.017,-0.001) (0.016,-0.001) (0.015,-0.001) (-0.016,-0.001) (-0.012,-0.001)
(0.027,0.002) (0.035,0.001) (0.035,0.001) (0.026,0.001) (0.025,0.001) (0.024,0.001) (0.023,0.001) (0.025,0.001) (0.024,0.001) (0.018,0.001) (0.018,0.001) (0.017,0.001) (0.020,0.001) (0.020,0.001) (0.018,0.001) (0.018,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.015,0.000) (0.014,0.000) (0.014,0.000) (0.014,0.000) (0.013,0.000) (0.009,0.000) (0.003,0.000) (0.003,-0.000) (0.020,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.016,-0.000) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.018,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.018,-0.001) (0.017,-0.001) (0.016,-0.002) (0.017,-0.002)
(0.025,0.002) (0.023,0.001) (0.023,0.001) (0.022,0.001) (0.022,0.001) (0.022,0.001) (0.021,0.001) (0.021,0.001) (0.020,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.019,0.001) (0.018,0.001) (0.018,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,0.000) (0.015,0.000) (0.015,0.000) (0.015,0.000) (0.014,0.000) (0.014,0.000) (0.013,0.000) (0.010,0.000) (0.004,0.000) (0.012,-0.000) (0.020,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.018,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.017,-0.000) (0.016,-0.000) (0.016,-0.000) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.018,-0.002) (0.018,-0.002) (0.018,-0.002) (0.017,-0.002) (0.018,-0.003) (0.008,-0.009) (-0.001,-0.016) (0.001,-0.017)
(0.023,0.002) (0.022,0.001) (0.022,0.001) (0.021,0.001) (0.021,0.001) (0.020,0.001) (0.020,0.002) (0.020,0.001) (0.019,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.001) (0.014,-0.001) (0.014,-0.001) (0.013,-0.001) (0.011,-0.001) (0.009,-0.001) (0.016,-0.001) (0.020,-0.001) (0.019,-0.001) (0.018,-0.001) (0.018,-0.001) (0.017,-0.001) (0.017,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.008,-0.008) (0.009,-0.008) (0.009,-0.009) (0.009,-0.009) (0.009,-0.009) (0.009,-0.009) (0.009,-0.009) (0.009,-0.009) (0.030,0.007) (0.030,0.006) (0.001,-0.017)
(0.022,0.001) (0.021,0.000) (0.021,-0.000) (0.020,-0.001) (0.019,-0.000) (0.019,-0.000) (0.018,-0.001) (0.018,-0.001) (0.018,-0.002) (0.017,-0.002) (0.017,-0.002) (0.017,-0.002) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.017,-0.001) (0.016,-0.001) (0.016,-0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.013,-0.000) (0.014,-0.000) (0.017,-0.000) (0.020,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.017,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.001) (0.017,-0.002) (0.010,-0.010) (0.017,-0.002) (0.017,-0.002) (0.018,-0.002) (0.010,-0.010) (0.010,-0.011) (0.003,-0.018) (0.002,-0.018)
(0.010,0.006) (0.009,0.006) (0.009,0.006) (0.008,0.006) (0.008,0.006) (0.007,0.007) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.018,0.001) (0.017,0.001) (0.017,0.001) (0.018,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.017,-0.001) (0.017,-0.002) (0.024,0.007) (0.024,0.006) (0.025,0.006) (0.017,-0.002) (0.017,-0.003) (0.006,-0.013) (0.005,-0.014) (-0.002,-0.021)
(0.000,0.015) (0.000,0.015) (0.009,0.009) (0.009,0.008) (0.017,0.001) (0.017,0.001) (0.008,0.008) (0.007,0.008) (0.007,0.008) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,0.000) (0.016,0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.002) (0.023,0.008) (0.023,0.008) (0.023,0.008) (0.023,0.008) (0.024,0.007) (0.007,-0.015) (0.007,-0.015) (0.007,-0.015) (0.007,-0.016)
(0.001,0.016) (0.001,0.016) (0.000,0.016) (0.000,0.016) (0.017,0.001) (0.017,0.001) (-0.001,0.015) (0.017,0.000) (0.008,0.008) (0.008,0.008) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.000) (0.015,-0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.002) (0.016,-0.002) (0.016,-0.002) (0.023,0.009) (0.016,-0.002) (0.017,-0.002) (0.008,-0.016) (0.008,-0.016) (0.008,-0.016) (-0.002,-0.029)
(0.003,0.017) (-0.007,0.023) (-0.007,0.024) (0.001,0.016) (0.000,0.016) (0.000,0.016) (-0.000,0.015) (0.008,0.008) (0.008,0.008) (0.008,0.008) (0.017,0.001) (0.008,0.008) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.016,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.001) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.001) (0.015,-0.001) (0.016,-0.001) (0.016,-0.000) (0.016,-0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.002) (0.016,-0.002) (0.016,-0.003) (0.016,-0.002) (0.016,-0.002) (0.016,-0.002) (0.017,-0.002) (0.023,0.009) (0.009,-0.017) (0.000,-0.031)
(-0.004,0.024) (-0.014,0.032) (-0.014,0.032) (-0.015,0.032) (0.017,0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.017,0.001) (0.008,0.008) (0.017,0.001) (0.008,0.007) (0.008,0.007) (0.007,0.007) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.000) (0.015,-0.000) (0.015,-0.000) (0.007,0.007) (0.015,-0.001) (0.015,-0.001) (0.008,0.008) (0.015,-0.001) (0.015,-0.001) (0.015,-0.001) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,0.000) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.001) (0.016,-0.000) (0.016,-0.001) (0.015,-0.001) (0.015,-0.001) (0.016,-0.001) (0.015,-0.000) (0.016,0.000) (0.016,-0.000) (0.016,-0.001) (0.016,-0.002) (0.016,-0.003) (0.016,-0.003) (0.016,-0.003) (0.016,-0.003) (0.016,-0.002) (0.016,-0.003) (0.017,-0.003) (0.015,-0.005) (0.015,-0.007) (0.001,-0.039)
