09-11 09:48:36.995 12926 23884 I WiVRn   : [2026-09-11 09:48:36.995] [WiVRn] [info] nxwarp[0]: 1 frames in 4.0 s: 133872 B/frame, wait-prev 0.0 ms, wall 1275.0 ms, nxvc passA 2.7 passB 7.1 gpu 9.8 ms; holes 30, refused 0
09-11 09:48:39.007 12926 23884 I WiVRn   : [2026-09-11 09:48:39.007] [WiVRn] [info] nxwarp[0]: 78 frames in 2.0 s: 272701 B/frame, wait-prev 0.0 ms, wall 19.6 ms, nxvc passA 5.8 passB 9.7 gpu 15.5 ms; holes 34, refused 0
09-11 09:48:41.022 12926 23884 I WiVRn   : [2026-09-11 09:48:41.022] [WiVRn] [info] nxwarp[0]: 90 frames in 2.0 s: 289629 B/frame, wait-prev 0.0 ms, wall 19.4 ms, nxvc passA 5.9 passB 9.6 gpu 15.5 ms; holes 34, refused 0
09-11 09:48:43.031 12926 23884 I WiVRn   : [2026-09-11 09:48:43.031] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 268532 B/frame, wait-prev 0.0 ms, wall 18.8 ms, nxvc passA 5.3 passB 9.3 gpu 14.6 ms; holes 34, refused 0
09-11 09:48:45.050 12926 23884 I WiVRn   : [2026-09-11 09:48:45.050] [WiVRn] [info] nxwarp[0]: 93 frames in 2.0 s: 262793 B/frame, wait-prev 0.0 ms, wall 19.1 ms, nxvc passA 5.2 passB 9.3 gpu 14.5 ms; holes 34, refused 0
09-11 09:48:47.085 12926 23884 I WiVRn   : [2026-09-11 09:48:47.085] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 271165 B/frame, wait-prev 0.0 ms, wall 19.5 ms, nxvc passA 5.2 passB 9.5 gpu 14.6 ms; holes 34, refused 0
09-11 09:48:49.095 12926 23884 I WiVRn   : [2026-09-11 09:48:49.095] [WiVRn] [info] nxwarp[0]: 90 frames in 2.0 s: 273054 B/frame, wait-prev 0.0 ms, wall 19.5 ms, nxvc passA 5.4 passB 9.7 gpu 15.1 ms; holes 34, refused 0
09-11 09:48:51.098 12926 23884 I WiVRn   : [2026-09-11 09:48:51.098] [WiVRn] [info] nxwarp[0]: 90 frames in 2.0 s: 255169 B/frame, wait-prev 0.0 ms, wall 19.3 ms, nxvc passA 5.2 passB 9.5 gpu 14.6 ms; holes 34, refused 0
09-11 09:48:53.119 12926 23884 I WiVRn   : [2026-09-11 09:48:53.119] [WiVRn] [info] nxwarp[0]: 93 frames in 2.0 s: 255891 B/frame, wait-prev 0.0 ms, wall 18.8 ms, nxvc passA 5.5 passB 9.3 gpu 14.8 ms; holes 34, refused 0
09-11 09:48:55.119 12926 23884 I WiVRn   : [2026-09-11 09:48:55.119] [WiVRn] [info] nxwarp[0]: 90 frames in 2.0 s: 263787 B/frame, wait-prev 0.0 ms, wall 19.3 ms, nxvc passA 5.9 passB 9.6 gpu 15.5 ms; holes 34, refused 0
09-11 09:48:57.140 12926 23884 I WiVRn   : [2026-09-11 09:48:57.140] [WiVRn] [info] nxwarp[0]: 90 frames in 2.0 s: 291803 B/frame, wait-prev 0.0 ms, wall 19.7 ms, nxvc passA 5.7 passB 9.8 gpu 15.5 ms; holes 34, refused 0
09-11 09:48:59.151 12926 23884 I WiVRn   : [2026-09-11 09:48:59.151] [WiVRn] [info] nxwarp[0]: 88 frames in 2.0 s: 303260 B/frame, wait-prev 0.0 ms, wall 19.9 ms, nxvc passA 5.6 passB 9.9 gpu 15.4 ms; holes 34, refused 0
09-11 09:49:01.151 12926 23884 I WiVRn   : [2026-09-11 09:49:01.151] [WiVRn] [info] nxwarp[0]: 88 frames in 2.0 s: 295675 B/frame, wait-prev 0.0 ms, wall 19.6 ms, nxvc passA 5.5 passB 9.8 gpu 15.4 ms; holes 34, refused 0
09-11 09:49:03.162 12926 23884 I WiVRn   : [2026-09-11 09:49:03.162] [WiVRn] [info] nxwarp[0]: 88 frames in 2.0 s: 283435 B/frame, wait-prev 0.0 ms, wall 19.8 ms, nxvc passA 6.2 passB 9.8 gpu 16.0 ms; holes 34, refused 0
09-11 09:49:05.180 12926 23884 I WiVRn   : [2026-09-11 09:49:05.180] [WiVRn] [info] nxwarp[0]: 89 frames in 2.0 s: 279596 B/frame, wait-prev 0.0 ms, wall 19.7 ms, nxvc passA 5.9 passB 9.7 gpu 15.6 ms; holes 34, refused 0
