09-11 09:50:48.185 19735 24724 I WiVRn   : [2026-09-11 09:50:48.185] [WiVRn] [info] nxwarp[0]: 1 frames in 3.8 s: 133872 B/frame, wait-prev 0.0 ms, wall 1177.5 ms, nxvc passA 1.1 passB 7.4 gpu 8.5 ms; holes 30, refused 0
09-11 09:50:50.203 19735 24724 I WiVRn   : [2026-09-11 09:50:50.203] [WiVRn] [info] nxwarp[0]: 79 frames in 2.0 s: 271895 B/frame, wait-prev 0.0 ms, wall 19.5 ms, nxvc passA 5.7 passB 9.6 gpu 15.3 ms; holes 34, refused 0
09-11 09:50:52.218 19735 24724 I WiVRn   : [2026-09-11 09:50:52.217] [WiVRn] [info] nxwarp[0]: 88 frames in 2.0 s: 289409 B/frame, wait-prev 0.0 ms, wall 19.8 ms, nxvc passA 5.8 passB 9.5 gpu 15.3 ms; holes 34, refused 0
09-11 09:50:54.236 19735 24724 I WiVRn   : [2026-09-11 09:50:54.236] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 269409 B/frame, wait-prev 0.0 ms, wall 19.2 ms, nxvc passA 5.7 passB 9.3 gpu 15.0 ms; holes 34, refused 0
09-11 09:50:56.250 19735 24724 I WiVRn   : [2026-09-11 09:50:56.250] [WiVRn] [info] nxwarp[0]: 93 frames in 2.0 s: 262448 B/frame, wait-prev 0.0 ms, wall 18.8 ms, nxvc passA 5.9 passB 9.1 gpu 15.0 ms; holes 34, refused 0
09-11 09:50:58.261 19735 24724 I WiVRn   : [2026-09-11 09:50:58.261] [WiVRn] [info] nxwarp[0]: 90 frames in 2.0 s: 270745 B/frame, wait-prev 0.0 ms, wall 19.5 ms, nxvc passA 6.1 passB 9.4 gpu 15.5 ms; holes 34, refused 0
09-11 09:51:00.280 19735 24724 I WiVRn   : [2026-09-11 09:51:00.280] [WiVRn] [info] nxwarp[0]: 89 frames in 2.0 s: 273728 B/frame, wait-prev 0.0 ms, wall 19.5 ms, nxvc passA 6.3 passB 9.5 gpu 15.8 ms; holes 34, refused 0
09-11 09:51:02.284 19735 24724 I WiVRn   : [2026-09-11 09:51:02.284] [WiVRn] [info] nxwarp[0]: 93 frames in 2.0 s: 255719 B/frame, wait-prev 0.0 ms, wall 18.8 ms, nxvc passA 5.6 passB 8.9 gpu 14.5 ms; holes 34, refused 0
09-11 09:51:04.284 19735 24724 I WiVRn   : [2026-09-11 09:51:04.284] [WiVRn] [info] nxwarp[0]: 94 frames in 2.0 s: 256007 B/frame, wait-prev 0.0 ms, wall 18.4 ms, nxvc passA 5.4 passB 8.9 gpu 14.3 ms; holes 34, refused 0
09-11 09:51:06.296 19735 24724 I WiVRn   : [2026-09-11 09:51:06.296] [WiVRn] [info] nxwarp[0]: 95 frames in 2.0 s: 262483 B/frame, wait-prev 0.0 ms, wall 18.4 ms, nxvc passA 5.5 passB 9.0 gpu 14.5 ms; holes 34, refused 0
09-11 09:51:08.313 19735 24724 I WiVRn   : [2026-09-11 09:51:08.313] [WiVRn] [info] nxwarp[0]: 92 frames in 2.0 s: 290331 B/frame, wait-prev 0.0 ms, wall 19.1 ms, nxvc passA 6.5 passB 9.2 gpu 15.6 ms; holes 34, refused 0
09-11 09:51:10.341 19735 24724 I WiVRn   : [2026-09-11 09:51:10.341] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 303190 B/frame, wait-prev 0.0 ms, wall 19.4 ms, nxvc passA 6.2 passB 9.0 gpu 15.2 ms; holes 34, refused 0
09-11 09:51:12.359 19735 24724 I WiVRn   : [2026-09-11 09:51:12.359] [WiVRn] [info] nxwarp[0]: 88 frames in 2.0 s: 296289 B/frame, wait-prev 0.0 ms, wall 20.0 ms, nxvc passA 6.7 passB 9.5 gpu 16.1 ms; holes 34, refused 0
09-11 09:51:14.366 19735 24724 I WiVRn   : [2026-09-11 09:51:14.366] [WiVRn] [info] nxwarp[0]: 87 frames in 2.0 s: 283533 B/frame, wait-prev 0.0 ms, wall 19.9 ms, nxvc passA 6.5 passB 9.1 gpu 15.6 ms; holes 34, refused 0
09-11 09:51:16.367 19735 24724 I WiVRn   : [2026-09-11 09:51:16.367] [WiVRn] [info] nxwarp[0]: 92 frames in 2.0 s: 279629 B/frame, wait-prev 0.0 ms, wall 18.9 ms, nxvc passA 5.9 passB 9.3 gpu 15.2 ms; holes 34, refused 0
