09-11 09:50:12.986 19730 24362 I WiVRn   : [2026-09-11 09:50:12.986] [WiVRn] [info] nxwarp[0]: 1 frames in 4.0 s: 133872 B/frame, wait-prev 0.0 ms, wall 1322.3 ms, nxvc passA 1.1 passB 9.2 gpu 10.3 ms; holes 31, refused 0
09-11 09:50:14.993 19730 24362 I WiVRn   : [2026-09-11 09:50:14.993] [WiVRn] [info] nxwarp[0]: 76 frames in 2.0 s: 273208 B/frame, wait-prev 0.0 ms, wall 20.0 ms, nxvc passA 5.7 passB 9.9 gpu 15.7 ms; holes 33, refused 0
09-11 09:50:17.004 19730 24362 I WiVRn   : [2026-09-11 09:50:17.004] [WiVRn] [info] nxwarp[0]: 87 frames in 2.0 s: 289601 B/frame, wait-prev 0.0 ms, wall 20.2 ms, nxvc passA 6.1 passB 9.8 gpu 15.9 ms; holes 33, refused 0
09-11 09:50:19.008 19730 24362 I WiVRn   : [2026-09-11 09:50:19.008] [WiVRn] [info] nxwarp[0]: 92 frames in 2.0 s: 267811 B/frame, wait-prev 0.0 ms, wall 18.9 ms, nxvc passA 5.8 passB 9.1 gpu 14.9 ms; holes 33, refused 0
09-11 09:50:21.018 19730 24362 I WiVRn   : [2026-09-11 09:50:21.018] [WiVRn] [info] nxwarp[0]: 92 frames in 2.0 s: 263056 B/frame, wait-prev 0.0 ms, wall 18.9 ms, nxvc passA 5.6 passB 9.3 gpu 15.0 ms; holes 33, refused 0
09-11 09:50:23.030 19730 24362 I WiVRn   : [2026-09-11 09:50:23.030] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 271206 B/frame, wait-prev 0.0 ms, wall 19.2 ms, nxvc passA 5.6 passB 9.5 gpu 15.2 ms; holes 33, refused 0
09-11 09:50:25.034 19730 24362 I WiVRn   : [2026-09-11 09:50:25.034] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 272943 B/frame, wait-prev 0.0 ms, wall 19.1 ms, nxvc passA 5.9 passB 9.5 gpu 15.4 ms; holes 33, refused 0
09-11 09:50:27.037 19730 24362 I WiVRn   : [2026-09-11 09:50:27.037] [WiVRn] [info] nxwarp[0]: 92 frames in 2.0 s: 255183 B/frame, wait-prev 0.0 ms, wall 18.9 ms, nxvc passA 5.5 passB 9.1 gpu 14.6 ms; holes 33, refused 0
09-11 09:50:29.056 19730 24362 I WiVRn   : [2026-09-11 09:50:29.055] [WiVRn] [info] nxwarp[0]: 95 frames in 2.0 s: 255899 B/frame, wait-prev 0.0 ms, wall 18.3 ms, nxvc passA 5.6 passB 9.0 gpu 14.6 ms; holes 33, refused 0
09-11 09:50:31.067 19730 24362 I WiVRn   : [2026-09-11 09:50:31.067] [WiVRn] [info] nxwarp[0]: 94 frames in 2.0 s: 264034 B/frame, wait-prev 0.0 ms, wall 18.8 ms, nxvc passA 5.5 passB 9.5 gpu 15.0 ms; holes 33, refused 0
09-11 09:50:33.079 19730 24362 I WiVRn   : [2026-09-11 09:50:33.079] [WiVRn] [info] nxwarp[0]: 88 frames in 2.0 s: 292022 B/frame, wait-prev 0.0 ms, wall 20.0 ms, nxvc passA 6.0 passB 9.5 gpu 15.5 ms; holes 33, refused 0
09-11 09:50:35.091 19730 24362 I WiVRn   : [2026-09-11 09:50:35.091] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 303343 B/frame, wait-prev 0.0 ms, wall 19.2 ms, nxvc passA 5.7 passB 9.6 gpu 15.3 ms; holes 33, refused 0
09-11 09:50:37.093 19730 24362 I WiVRn   : [2026-09-11 09:50:37.093] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 295608 B/frame, wait-prev 0.0 ms, wall 19.1 ms, nxvc passA 5.8 passB 9.5 gpu 15.2 ms; holes 33, refused 0
09-11 09:50:39.101 19730 24362 I WiVRn   : [2026-09-11 09:50:39.101] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 283308 B/frame, wait-prev 0.0 ms, wall 19.4 ms, nxvc passA 5.9 passB 9.5 gpu 15.4 ms; holes 33, refused 0
09-11 09:50:41.102 19730 24362 I WiVRn   : [2026-09-11 09:50:41.102] [WiVRn] [info] nxwarp[0]: 91 frames in 2.0 s: 279564 B/frame, wait-prev 0.0 ms, wall 18.9 ms, nxvc passA 5.9 passB 9.4 gpu 15.3 ms; holes 33, refused 0
