frame,method,phase,rmse,centroid_dx,centroid_dy
0,cap,forward,29.29561,-13.396932212941103,5.835309118257612
1,cap,forward,32.13502,-29.08853061210082,1.5607608999231388
2,cap,forward,32.186635,-35.6351099342591,-0.3892652970104109
3,cap,forward,29.69945,-32.57003843458229,-2.2580933191690065
4,cap,forward,28.188843,-22.388969378065568,0.805173589970309
5,cap,forward,29.578902,-22.58624331818733,1.7979472060436024
6,cap,forward,31.807803,-28.79772420623209,-3.205417747694696
7,cap,forward,31.584564,-30.548805829123665,-5.2072063444068135
8,cap,forward,32.769925,-25.896343919532114,4.080660123351379
9,cap,forward,34.054827,-24.74648431098234,5.761202816369462
10,cap,forward,33.31559,-32.4047403982556,-1.0480797814625475
11,cap,forward,30.276244,-32.58233200957574,-2.311278353276009
12,cap,forward,33.172498,-28.05381985100152,-1.0679916154644502
13,cap,forward,29.894955,-27.776635366527273,1.8917765813449137
14,cap,forward,28.477731,-28.38313861830244,1.8654416083040815
15,cap,forward,34.352114,-31.23050457640261,-0.21906150825481063
16,cap,forward,34.134607,-26.210710178214526,-2.713002729976722
17,cap,forward,33.724477,-26.052841188064008,-2.757871685892212
18,cap,forward,33.66268,-24.687509865621678,-5.212165683925377
19,cap,forward,30.253924,-30.87649511086073,-3.6839881082042893
20,cap,forward,27.664488,-40.92234740942945,-0.8700919141648455
21,cap,forward,22.032972,-39.986899638752504,1.0776348725912044
22,cap,forward,21.135918,-22.383837120647513,0.711093323120167
23,cap,forward,18.347596,-2.193416373476566,0.4201352427146503
24,cap,stop,20.908613,4.343580926543211,-2.1456620381842413
25,cap,stop,20.002923,-1.4827468570867381,-2.7278451492852014
26,cap,stop,21.002357,-1.281061059037313,-2.7073678710651734
27,cap,stop,18.312841,3.3645661798015,-2.604645784304637
28,cap,stop,15.548914,5.423852263183676,-1.2181923039089497
29,cap,stop,18.686505,12.027174108070767,-0.1429033290360735
30,cap,reverse,20.75909,25.297655632190526,-0.4042413579103368
31,cap,reverse,20.277581,29.268975256762076,-3.107567875146742
32,cap,reverse,18.799994,26.158441930064782,-1.9846523072768605
33,cap,reverse,22.550427,22.227285819526344,-0.7100219659428717
34,cap,reverse,25.442316,23.324597567865794,1.009601680404046
35,cap,reverse,25.960947,27.452879241805874,2.421493586151371
36,cap,reverse,27.951979,31.416084562087065,2.2771730153017415
37,cap,reverse,26.869256,29.567744484827756,1.6552394660241703
38,cap,reverse,29.668801,27.44641491535242,1.8410289445521357
39,cap,reverse,31.048467,33.3904108184189,0.3451538911952525
40,cap,reverse,28.74596,27.964511356526884,0.5127646020691259
41,cap,reverse,27.845983,26.239391799779412,1.5154311725165712
42,cap,reverse,28.204441,26.146543281602504,0.4132197085629059
43,cap,reverse,29.134638,24.41092359997822,-5.5648611679025635
44,cap,reverse,30.136622,25.73836858536191,-3.806063132260249
45,cap,reverse,28.721942,24.644651176042117,7.098676574564024
46,cap,reverse,31.242577,25.039366509580304,9.188185255877102
47,cap,reverse,27.874463,26.070227777816797,3.347345967262868
48,cap,reverse,27.017666,20.807545745543493,1.095024585257761
49,cap,reverse,25.083728,19.56486376457768,1.5780854676314107
50,cap,reverse,22.108128,22.4962067220777,0.6164592941512979
51,cap,reverse,21.584643,23.769502563653035,0.5882253639866235
52,cap,reverse,21.043377,19.608884323448834,-0.7515764937018048
53,cap,reverse,22.967788,13.610583023747786,0.9031827256710017
54,cap,reverse,24.847071,14.76880553375566,1.8535846579359259
55,cap,reverse,23.807593,15.120160083353625,1.5036322072546682
56,cap,reverse,20.151042,15.160835294050035,2.499236282566983
0,medium,forward,30.151018,-10.305495781360555,15.402952586103481
1,medium,forward,31.413512,-28.48551223939741,2.4737981374559013
2,medium,forward,30.965928,-34.20768468152585,-0.4704040268051699
3,medium,forward,27.040346,-30.613745044436072,-2.742581255422465
4,medium,forward,26.602001,-16.350562578070267,-1.1301896985236795
5,medium,forward,30.105098,-16.19554861184656,-0.17917778495990433
6,medium,forward,31.105995,-22.646117539425916,-3.0093244875101277
7,medium,forward,29.56171,-24.25962151888004,-4.2888114724784145
8,medium,forward,31.727678,-17.123553460697337,4.544695202026048
9,medium,forward,32.809163,-19.729541951261353,7.407208955303645
10,medium,forward,33.564826,-28.30212016989671,-0.9375488653640787
11,medium,forward,29.89393,-30.89815315846917,-2.9796017808346846
12,medium,forward,31.867254,-24.883325712849853,-0.45185346513488867
13,medium,forward,27.975034,-18.98872872945759,4.622805386514074
14,medium,forward,28.348113,-19.140578916400273,3.64843629184071
15,medium,forward,34.24837,-28.832480929340534,-0.10082779676679365
16,medium,forward,33.407663,-21.7003822784327,-4.838044781593396
17,medium,forward,31.71255,-23.68666730624807,-4.620124247700744
18,medium,forward,31.435293,-16.450281924481203,-9.753254456101445
19,medium,forward,27.42187,-19.36238143204622,-7.36300680632678
20,medium,forward,25.162747,-28.55729729100858,0.6630502245952812
21,medium,forward,21.085713,-32.11550565442883,1.6149692254308547
22,medium,forward,22.089367,-20.122556533838292,1.458680498846661
23,medium,forward,18.901471,-0.9305100964234043,1.0347097356720383
24,medium,stop,21.408816,7.034510530991383,-3.108983386809143
25,medium,stop,20.160557,-1.9409035666693057,-2.6955124538310997
26,medium,stop,20.49801,-1.2354062445432419,-2.438326569662024
27,medium,stop,18.364518,2.728666343883674,-2.367370903190988
28,medium,stop,14.713583,5.56637053447713,-1.1675827394310545
29,medium,stop,19.069803,12.68410526222209,-0.5534162621994483
30,medium,reverse,19.664936,24.552934995215708,-0.06747492417872536
31,medium,reverse,17.702814,23.607423889997563,-5.3393049049431625
32,medium,reverse,17.072394,20.087054367505402,-1.488756058170793
33,medium,reverse,21.491647,15.622267237062488,0.3974685037248946
34,medium,reverse,22.591248,16.843667054574155,1.950752693193408
35,medium,reverse,23.924046,19.99356572244534,3.742310936224669
36,medium,reverse,29.021646,22.023510222031177,1.615858186048797
37,medium,reverse,28.565679,17.314705098455818,-2.5389254610761327
38,medium,reverse,29.355611,14.57622779707583,-2.5410300653315403
39,medium,reverse,29.917665,28.178005611558604,-1.26996925874613
40,medium,reverse,27.163546,17.84623281488956,0.5922206696938019
41,medium,reverse,24.915999,18.93671726300937,2.564393236570538
42,medium,reverse,27.1041,22.55402446418833,1.3274451532198555
43,medium,reverse,27.478797,20.476307727641966,-5.030305237995151
44,medium,reverse,28.404791,21.280058412958425,-3.802180317905936
45,medium,reverse,27.437268,20.137337729634964,8.146833212691433
46,medium,reverse,30.44069,18.78933275218725,9.116527321979277
47,medium,reverse,27.114665,21.41550348409413,1.9952362879440102
48,medium,reverse,25.9268,14.934692824376,0.4993486857067069
49,medium,reverse,24.241578,14.73609616279009,1.222547403582098
50,medium,reverse,19.634045,16.745731100286292,0.1641839186684706
51,medium,reverse,19.717492,19.138172899694055,0.5347352855219469
52,medium,reverse,20.251751,14.086859787575335,-0.561478695123526
53,medium,reverse,22.491246,6.483059040310977,1.1133030586042878
54,medium,reverse,23.601596,8.770430607105439,1.3559143313447635
55,medium,reverse,21.429941,6.670861692564529,-1.3800719835256814
56,medium,reverse,19.119732,8.766433501031248,-0.3632429046723473
0,history,forward,30.151018,-10.305495781360555,15.402952586103481
1,history,forward,33.844258,-26.903082604937886,5.597718247687169
2,history,forward,33.115793,-35.493378443517926,0.9688803876861698
3,history,forward,29.955801,-31.179469758459845,-2.067506543344109
4,history,forward,27.666722,-21.714947733288028,0.62788352739517
5,history,forward,30.079278,-19.092770671258933,1.6769872053928339
6,history,forward,32.294013,-24.388731606992508,-2.4545390875249495
7,history,forward,31.590733,-28.11128418720611,-4.32525673622041
8,history,forward,32.008619,-22.101173136706706,4.147267495698145
9,history,forward,33.828884,-19.720531518800527,5.883956163504308
10,history,forward,34.039205,-26.16551296498389,-2.610930204972476
11,history,forward,31.145815,-29.62880854564969,-3.0926297858055136
12,history,forward,33.738548,-26.374531338075258,-1.4394358403063165
13,history,forward,30.266269,-23.53866963191905,1.6605823143294174
14,history,forward,28.563682,-23.860628526356095,4.440702612696157
15,history,forward,34.721495,-29.2207321644604,1.4955936507467982
16,history,forward,34.791394,-27.18243724787061,-1.8049763086807502
17,history,forward,33.284393,-23.93724731948214,-3.676158933348006
18,history,forward,32.573317,-20.312869503643356,-8.539060796030356
19,history,forward,29.668617,-22.77850463223149,-7.62516076543676
20,history,forward,26.890225,-31.547636290336357,-1.8493093259665443
21,history,forward,21.308906,-32.50181007596257,1.234580691095971
22,history,forward,23.36818,-15.463113030996738,1.1747475470887139
23,history,forward,20.870088,-0.23926181274788405,0.2667796246940384
24,history,stop,22.941589,4.774300206389398,-1.6672506832994713
25,history,stop,21.25958,1.163299752746866,-2.0344116720398233
26,history,stop,21.192489,-0.10533994779279965,-2.2482537090529604
27,history,stop,18.12921,3.9377446775723115,-2.1036597532800556
28,history,stop,16.361349,5.46108896059684,-0.6981687620924504
29,history,stop,19.48719,12.995188996916966,0.12002860355300982
30,history,reverse,21.054952,25.666973498588106,0.25972948507211413
31,history,reverse,19.916426,28.908747710818773,-2.41733681202021
32,history,reverse,18.107576,24.6435641210349,-2.044020451497204
33,history,reverse,22.037401,19.007866393652876,-0.2989987771522351
34,history,reverse,23.214064,16.403120917989042,2.434766303371987
35,history,reverse,26.126591,17.78579028874168,4.561306774174739
36,history,reverse,29.330287,20.94921713785186,3.8608487580686415
37,history,reverse,28.954093,15.683582148011226,0.07407973094882436
38,history,reverse,30.431544,14.09801209023567,-1.6270862213625605
39,history,reverse,29.369316,21.086267144859505,-1.596083072413876
40,history,reverse,29.648996,20.013469546034173,-0.07389274630435239
41,history,reverse,28.571097,19.51257340849486,2.1767812208207147
42,history,reverse,28.675848,23.286574555792726,1.5548799836834633
43,history,reverse,29.121309,22.117116184354927,-4.0448949845452375
44,history,reverse,29.951999,23.17539176822757,-3.0169872290454123
45,history,reverse,28.667359,22.107115571078396,7.2886030963226744
46,history,reverse,31.855628,22.0422960046524,8.462607850968652
47,history,reverse,28.681039,22.94525809877075,2.5352411794418117
48,history,reverse,27.298737,18.32764859635101,1.3251125769981513
49,history,reverse,25.409664,17.681324596292043,2.4288854918641505
50,history,reverse,21.654431,20.644028160047966,1.3750146979811575
51,history,reverse,20.672727,21.022650168129246,1.5314897770514335
52,history,reverse,20.403842,16.70681363334988,0.7944598971723735
53,history,reverse,23.865032,7.644978146656513,2.492773670213978
54,history,reverse,25.778423,10.55670345720722,1.3074132876513431
55,history,reverse,23.640176,9.217076387054675,0.005204645637149952
56,history,reverse,20.818564,9.897580375486495,-0.07046500541810019
0,reject,forward,30.151018,-10.305495781360555,15.402952586103481
1,reject,forward,32.926718,-28.63843302134638,2.573481238863451
2,reject,forward,32.135216,-34.757549355879,0.49703465244044764
3,reject,forward,28.506601,-31.312541338175194,-2.56012893066179
4,reject,forward,26.994661,-17.389768379723364,-0.9018701376496665
5,reject,forward,30.033453,-16.977897897733058,-0.13866141548027144
6,reject,forward,31.682964,-22.23553342234348,-3.160471440769925
7,reject,forward,30.866127,-25.493408054864915,-5.129008059802175
8,reject,forward,32.50397,-20.399256861894344,4.2639513831426825
9,reject,forward,34.1233,-19.40389178830054,6.143388876808956
10,reject,forward,33.361964,-26.858278683379808,-2.421604105409642
11,reject,forward,30.709846,-30.63602081037817,-3.608637013837665
12,reject,forward,33.232827,-25.184402617993555,-0.45969305555667006
13,reject,forward,29.137429,-21.198041841723125,2.0784602543002393
14,reject,forward,28.628595,-21.692778304277113,3.195667686610477
