operation,file,chunk_bytes,raw_bytes,packed_bytes,chunks,p50_ms,p95_ms
encode,/tmp/nx-lz4-proof/noise-160.nxdf,1024,164848,166293,161,0.046468,0.047168
encode,/tmp/nx-lz4-proof/noise-160.nxdf,16384,164848,163032,11,0.054348,0.071267
encode,/tmp/nx-lz4-proof/noise-160.nxdf,65536,164848,161267,3,0.076627,0.081156
encode,/tmp/nx-lz4-proof/noise-160.nxdf,10000000,164848,164030,1,0.021369,0.021429
encode,/tmp/nx-lz4-proof/noise-200.nxdf,1024,221968,224572,217,0.049188,0.051417
encode,/tmp/nx-lz4-proof/noise-200.nxdf,16384,221968,222094,14,0.040838,0.044408
encode,/tmp/nx-lz4-proof/noise-200.nxdf,65536,221968,220703,4,0.070146,0.074717
encode,/tmp/nx-lz4-proof/noise-200.nxdf,10000000,221968,221980,1,0.004650,0.004770
encode,/tmp/nx-lz4-proof/noise-500.nxdf,1024,511408,517408,500,0.113425,0.131434
encode,/tmp/nx-lz4-proof/noise-500.nxdf,16384,511408,511792,32,0.069577,0.071946
encode,/tmp/nx-lz4-proof/noise-500.nxdf,65536,511408,510945,8,0.132814,0.135504
encode,/tmp/nx-lz4-proof/noise-500.nxdf,10000000,511408,511420,1,0.009720,0.009960
encode,/tmp/nx-lz4-proof/photo-160.nxdf,1024,164848,151118,161,0.075866,0.099936
encode,/tmp/nx-lz4-proof/photo-160.nxdf,16384,164848,143797,11,0.080447,0.103095
encode,/tmp/nx-lz4-proof/photo-160.nxdf,65536,164848,142057,3,0.084506,0.093665
encode,/tmp/nx-lz4-proof/photo-160.nxdf,10000000,164848,146024,1,0.072327,0.099646
encode,/tmp/nx-lz4-proof/photo-200.nxdf,1024,221968,200993,217,0.105675,0.108665
encode,/tmp/nx-lz4-proof/photo-200.nxdf,16384,221968,189916,14,0.131993,0.146383
encode,/tmp/nx-lz4-proof/photo-200.nxdf,65536,221968,187208,4,0.152983,0.155553
encode,/tmp/nx-lz4-proof/photo-200.nxdf,10000000,221968,193182,1,0.094796,0.105095
encode,/tmp/nx-lz4-proof/photo-500.nxdf,1024,511408,456230,500,0.391472,0.405891
encode,/tmp/nx-lz4-proof/photo-500.nxdf,16384,511408,422529,32,0.519766,0.572844
encode,/tmp/nx-lz4-proof/photo-500.nxdf,65536,511408,411481,8,0.584374,0.783384
encode,/tmp/nx-lz4-proof/photo-500.nxdf,10000000,511408,431614,1,0.386263,0.413791
encode,/tmp/nx-lz4-proof/scene-160.nxdf,1024,164848,123323,161,0.084616,0.131914
encode,/tmp/nx-lz4-proof/scene-160.nxdf,16384,164848,110027,11,0.136534,0.149943
encode,/tmp/nx-lz4-proof/scene-160.nxdf,65536,164848,108146,3,0.146664,0.176222
encode,/tmp/nx-lz4-proof/scene-160.nxdf,10000000,164848,109193,1,0.076036,0.095186
encode,/tmp/nx-lz4-proof/scene-200.nxdf,1024,221968,162533,217,0.171653,0.187642
encode,/tmp/nx-lz4-proof/scene-200.nxdf,16384,221968,144918,14,0.202270,0.209650
encode,/tmp/nx-lz4-proof/scene-200.nxdf,65536,221968,142067,4,0.212240,0.215300
encode,/tmp/nx-lz4-proof/scene-200.nxdf,10000000,221968,142744,1,0.160363,0.192731
encode,/tmp/nx-lz4-proof/scene-500.nxdf,1024,511408,282252,500,0.520116,0.522236
encode,/tmp/nx-lz4-proof/scene-500.nxdf,16384,511408,254174,32,0.516227,0.684709
encode,/tmp/nx-lz4-proof/scene-500.nxdf,65536,511408,246598,8,0.505827,0.636811
encode,/tmp/nx-lz4-proof/scene-500.nxdf,10000000,511408,238470,1,0.507797,0.725316
