run,operation,file,chunk_bytes,raw_bytes,packed_bytes,chunks,p50_ms,p95_ms
0,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.10000000.lz4b,10000000,164848,164030,1,0.011303,0.012396
0,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.1024.lz4b,1024,164848,166293,161,0.036303,0.037136
0,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.16384.lz4b,16384,164848,163032,11,0.017968,0.020625
0,decode,/data/local/tmp/nx-lz4-proof/noise-160.nxdf.65536.lz4b,65536,164848,161267,3,0.152396,0.194480
0,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.10000000.lz4b,10000000,221968,221980,1,0.012083,0.013803
0,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.1024.lz4b,1024,221968,224572,217,0.039739,0.044115
0,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.16384.lz4b,16384,221968,222094,14,0.043854,0.050938
0,decode,/data/local/tmp/nx-lz4-proof/noise-200.nxdf.65536.lz4b,65536,221968,220703,4,0.025468,0.027656
0,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.10000000.lz4b,10000000,511408,511420,1,0.030052,0.039636
0,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.1024.lz4b,1024,511408,517408,500,0.073750,0.075157
0,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.16384.lz4b,16384,511408,511792,32,0.070105,0.087552
0,decode,/data/local/tmp/nx-lz4-proof/noise-500.nxdf.65536.lz4b,65536,511408,510945,8,0.049895,0.161979
0,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.10000000.lz4b,10000000,164848,146024,1,0.133854,0.184480
0,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.1024.lz4b,1024,164848,151118,161,0.149323,0.184896
0,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.16384.lz4b,16384,164848,143797,11,0.211614,0.251562
0,decode,/data/local/tmp/nx-lz4-proof/photo-160.nxdf.65536.lz4b,65536,164848,142057,3,0.226771,0.228437
0,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.10000000.lz4b,10000000,221968,193182,1,0.188385,0.224687
0,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.1024.lz4b,1024,221968,200993,217,0.065469,0.238438
0,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.16384.lz4b,16384,221968,189916,14,0.080677,0.082396
0,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.65536.lz4b,65536,221968,187208,4,0.084375,0.317396
0,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.10000000.lz4b,10000000,511408,431614,1,0.191354,0.196146
0,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.1024.lz4b,1024,511408,456230,500,0.242604,0.249375
0,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.16384.lz4b,16384,511408,422529,32,0.249791,0.253281
0,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.65536.lz4b,65536,511408,411481,8,0.248542,0.250573
0,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.10000000.lz4b,10000000,164848,109193,1,0.054011,0.069063
0,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.1024.lz4b,1024,164848,123323,161,0.259010,0.275677
0,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.16384.lz4b,16384,164848,110027,11,0.297239,0.328438
0,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.65536.lz4b,65536,164848,108146,3,0.312291,0.362188
0,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.10000000.lz4b,10000000,221968,142744,1,0.306927,0.316407
0,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.1024.lz4b,1024,221968,162533,217,0.102552,0.388906
0,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.16384.lz4b,16384,221968,144918,14,0.100521,0.441354
0,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.65536.lz4b,65536,221968,142067,4,0.104011,0.424375
0,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.10000000.lz4b,10000000,511408,238470,1,0.236614,0.240625
0,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.1024.lz4b,1024,511408,282252,500,0.303958,0.309218
0,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.16384.lz4b,16384,511408,254174,32,0.292135,0.295834
0,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.65536.lz4b,65536,511408,246598,8,0.271250,0.298490
1,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.65536.lz4b,65536,511408,246598,8,0.287813,0.298021
1,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.16384.lz4b,16384,511408,254174,32,0.291927,0.294063
1,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.1024.lz4b,1024,511408,282252,500,0.273854,0.307656
1,decode,/data/local/tmp/nx-lz4-proof/scene-500.nxdf.10000000.lz4b,10000000,511408,238470,1,0.236302,0.239896
1,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.65536.lz4b,65536,221968,142067,4,0.103073,0.424375
1,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.16384.lz4b,16384,221968,144918,14,0.099739,0.394010
1,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.1024.lz4b,1024,221968,162533,217,0.101250,0.347292
1,decode,/data/local/tmp/nx-lz4-proof/scene-200.nxdf.10000000.lz4b,10000000,221968,142744,1,0.076875,0.470572
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.65536.lz4b,65536,164848,108146,3,0.312917,0.334427
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.16384.lz4b,16384,164848,110027,11,0.297448,0.299739
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.1024.lz4b,1024,164848,123323,161,0.072917,0.425260
1,decode,/data/local/tmp/nx-lz4-proof/scene-160.nxdf.10000000.lz4b,10000000,164848,109193,1,0.229011,0.264375
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.65536.lz4b,65536,511408,411481,8,0.249896,0.252552
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.16384.lz4b,16384,511408,422529,32,0.250364,0.253281
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.1024.lz4b,1024,511408,456230,500,0.244427,0.250052
1,decode,/data/local/tmp/nx-lz4-proof/photo-500.nxdf.10000000.lz4b,10000000,511408,431614,1,0.192031,0.198541
1,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.65536.lz4b,65536,221968,187208,4,0.085053,0.316146
1,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.16384.lz4b,16384,221968,189916,14,0.082240,0.313750
1,decode,/data/local/tmp/nx-lz4-proof/photo-200.nxdf.1024.lz4b,1024,221968,200993,217,0.062604,0.373333
