frame,history_age_frames,lost_chunk,retained_tiles,hold_mse_vs_target,partial_mse_vs_target,guarded_mse_vs_target,guard_accepted
0,0,-1,0,0,0,0,0
1,1,7,2,7710.12,919.203,7710.12,0
2,0,-1,0,0,0,0,0
3,1,8,2,6665.37,550.88,6665.37,0
4,0,-1,0,0,0,0,0
5,1,8,2,7999.28,555.766,7999.28,0
6,0,-1,0,0,0,0,0
7,1,8,2,7957.53,798.996,7957.53,0
8,0,-1,0,0,0,0,0
9,1,8,2,7944.49,716.782,7944.49,0
10,0,-1,0,0,0,0,0
11,1,8,2,7134.66,554.756,7134.66,0
12,0,-1,0,0,0,0,0
13,1,8,2,7083.71,678.553,7083.71,0
14,0,-1,0,0,0,0,0
15,1,8,2,7989.51,678.553,7989.51,0
16,0,-1,0,0,0,0,0
17,1,8,2,8078.09,881.61,8078.09,0
18,0,-1,0,0,0,0,0
19,1,8,2,8051.56,794.239,8051.56,0
20,0,-1,0,0,0,0,0
21,1,9,2,6627.87,481.484,6627.87,0
22,0,-1,0,0,0,0,0
23,1,9,2,7505.52,473.398,7505.52,0
24,0,-1,0,0,0,0,0
25,1,9,2,8209.08,1058.21,8209.08,0
26,0,-1,0,0,0,0,0
27,1,9,2,8074.9,728.893,8074.9,0
28,0,-1,0,0,0,0,0
29,1,9,2,7595.94,607.095,7595.94,0
30,0,-1,0,0,0,0,0
31,1,8,2,6566.53,682.018,6566.53,0
32,0,-1,0,0,0,0,0
33,1,8,2,7955.21,678.553,7955.21,0
34,0,-1,0,0,0,0,0
35,1,8,2,8050.66,759.49,8050.66,0
36,0,-1,0,0,0,0,0
37,1,8,2,7958.59,699.387,7958.59,0
38,0,-1,0,0,0,0,0
39,1,8,2,7165.37,579.345,7165.37,0
40,0,-1,0,0,0,0,0
41,1,8,2,7220.71,631.976,7220.71,0
42,0,-1,0,0,0,0,0
43,1,8,2,8082.63,685.55,8082.63,0
44,0,-1,0,0,0,0,0
45,1,8,2,8236.18,1091.43,8236.18,0
46,0,-1,0,0,0,0,0
47,1,7,2,53.9806,0,53.9806,0
48,0,-1,0,0,0,0,0
49,1,7,2,29.9169,0,29.9169,0
50,0,-1,0,0,0,0,0
51,1,7,2,54.3061,8.08652,54.3061,0
52,0,-1,0,0,0,0,0
53,1,7,2,78.827,8.08652,78.827,0
54,0,-1,0,0,0,0,0
55,1,7,2,54.7633,8.86927,54.7633,0
56,0,-1,0,0,0,0,0
57,1,7,2,54.2427,40.7619,54.2427,0
58,0,-1,0,0,0,0,0
59,1,7,2,37.8311,16.173,37.8311,0
60,0,-1,0,0,0,0,0
61,1,7,2,29.1342,8.08652,8.08652,1
62,0,-1,0,0,0,0,0
63,1,6,2,57.0538,25.4824,25.4824,1
64,0,-1,0,0,0,0,0
65,1,6,2,29.9169,0,29.9169,0
66,0,-1,0,0,0,0,0
67,1,6,2,18.9359,0,18.9359,0
68,0,-1,0,0,0,0,0
69,1,6,2,29.1342,0,29.1342,0
70,0,-1,0,0,0,0,0
71,1,6,2,21.0477,0,0,1
72,0,-1,0,0,0,0,0
73,1,6,2,10.5238,0,0,1
74,0,-1,0,0,0,0,0
75,1,6,2,0,0,0,1
76,0,-1,0,0,0,0,0
77,1,6,2,8.08652,0,8.08652,0
78,0,-1,0,0,0,0,0
79,1,6,2,8.08652,0,8.08652,0
80,0,-1,0,0,0,0,0
81,1,6,2,8.86927,0,8.86927,0
82,0,-1,0,0,0,0,0
83,1,6,2,25.4824,25.4824,25.4824,1
84,0,-1,0,0,0,0,0
85,1,7,2,18.6104,8.08652,8.08652,1
86,0,-1,0,0,0,0,0
87,1,7,2,37.2207,16.173,16.173,1
88,0,-1,0,0,0,0,0
89,1,7,2,61.8096,40.7619,40.7619,1
